cell	mapping_rate
cd4_sorttag_100	97.03
cd4_sorttag_101	97.40
cd4_sorttag_102	97.41
cd4_sorttag_103	97.58
cd4_sorttag_104	97.49
cd4_sorttag_105	97.18
cd4_sorttag_106	97.68
cd4_sorttag_107	97.76
cd4_sorttag_108	97.33
cd4_sorttag_109	97.72
cd4_sorttag_10	97.50
cd4_sorttag_110	97.14
cd4_sorttag_111	97.24
cd4_sorttag_112	97.77
cd4_sorttag_113	97.70
cd4_sorttag_114	96.67
cd4_sorttag_115	96.77
cd4_sorttag_116	97.03
cd4_sorttag_117	97.54
cd4_sorttag_118	97.37
cd4_sorttag_119	97.32
cd4_sorttag_11	97.64
cd4_sorttag_120	97.60
cd4_sorttag_121	97.02
cd4_sorttag_122	97.64
cd4_sorttag_123	97.83
cd4_sorttag_124	97.36
cd4_sorttag_125	97.55
cd4_sorttag_126	97.18
cd4_sorttag_127	97.86
cd4_sorttag_128	97.69
cd4_sorttag_129	97.82
cd4_sorttag_12	96.55
cd4_sorttag_130	98.00
cd4_sorttag_131	97.49
cd4_sorttag_132	97.66
cd4_sorttag_133	97.12
cd4_sorttag_134	97.21
cd4_sorttag_135	96.71
cd4_sorttag_136	97.03
cd4_sorttag_137	97.50
cd4_sorttag_138	96.89
cd4_sorttag_139	97.18
cd4_sorttag_13	97.60
cd4_sorttag_140	97.67
cd4_sorttag_141	97.06
cd4_sorttag_142	97.23
cd4_sorttag_143	98.01
cd4_sorttag_144	97.11
cd4_sorttag_145	96.76
cd4_sorttag_146	96.88
cd4_sorttag_147	97.70
cd4_sorttag_148	97.53
cd4_sorttag_149	97.20
cd4_sorttag_14	97.59
cd4_sorttag_150	96.47
cd4_sorttag_151	97.66
cd4_sorttag_152	97.79
cd4_sorttag_153	97.69
cd4_sorttag_154	96.83
cd4_sorttag_155	94.72
cd4_sorttag_156	95.38
cd4_sorttag_157	97.14
cd4_sorttag_158	97.61
cd4_sorttag_159	97.17
cd4_sorttag_15	97.26
cd4_sorttag_160	97.00
cd4_sorttag_161	97.31
cd4_sorttag_162	97.99
cd4_sorttag_163	97.08
cd4_sorttag_164	97.27
cd4_sorttag_165	97.50
cd4_sorttag_166	97.63
cd4_sorttag_167	97.38
cd4_sorttag_168	97.23
cd4_sorttag_169	96.87
cd4_sorttag_16	97.30
cd4_sorttag_170	97.52
cd4_sorttag_171	97.65
cd4_sorttag_172	97.47
cd4_sorttag_173	96.76
cd4_sorttag_174	96.54
cd4_sorttag_175	97.43
cd4_sorttag_176	97.48
cd4_sorttag_177	97.66
cd4_sorttag_178	96.46
cd4_sorttag_179	97.43
cd4_sorttag_17	97.60
cd4_sorttag_180	97.79
cd4_sorttag_181	97.06
cd4_sorttag_182	97.63
cd4_sorttag_183	96.53
cd4_sorttag_184	97.34
cd4_sorttag_185	97.53
cd4_sorttag_186	97.51
cd4_sorttag_187	96.32
cd4_sorttag_188	97.23
cd4_sorttag_189	96.80
cd4_sorttag_18	97.75
cd4_sorttag_190	97.40
cd4_sorttag_191	97.17
cd4_sorttag_192	97.10
cd4_sorttag_193	96.66
cd4_sorttag_194	97.39
cd4_sorttag_195	97.79
cd4_sorttag_196	97.85
cd4_sorttag_197	97.23
cd4_sorttag_198	97.64
cd4_sorttag_199	97.33
cd4_sorttag_19	97.13
cd4_sorttag_1	97.70
cd4_sorttag_200	97.15
cd4_sorttag_201	97.72
cd4_sorttag_202	96.83
cd4_sorttag_203	97.36
cd4_sorttag_204	96.85
cd4_sorttag_205	96.20
cd4_sorttag_206	96.94
cd4_sorttag_207	97.34
cd4_sorttag_208	97.79
cd4_sorttag_209	97.82
cd4_sorttag_20	97.63
cd4_sorttag_210	97.54
cd4_sorttag_211	96.16
cd4_sorttag_212	97.23
cd4_sorttag_213	96.70
cd4_sorttag_214	97.79
cd4_sorttag_215	97.45
cd4_sorttag_216	97.38
cd4_sorttag_217	97.35
cd4_sorttag_218	97.23
cd4_sorttag_219	97.57
cd4_sorttag_21	96.80
cd4_sorttag_220	96.03
cd4_sorttag_221	97.26
cd4_sorttag_222	96.94
cd4_sorttag_223	97.60
cd4_sorttag_224	97.37
cd4_sorttag_225	97.51
cd4_sorttag_226	97.09
cd4_sorttag_227	97.75
cd4_sorttag_228	97.62
cd4_sorttag_229	97.26
cd4_sorttag_22	97.37
cd4_sorttag_230	97.63
cd4_sorttag_231	96.92
cd4_sorttag_232	97.82
cd4_sorttag_233	96.53
cd4_sorttag_234	97.63
cd4_sorttag_235	97.59
cd4_sorttag_236	98.04
cd4_sorttag_237	97.45
cd4_sorttag_238	97.26
cd4_sorttag_239	95.54
cd4_sorttag_23	97.32
cd4_sorttag_240	66.25
cd4_sorttag_241	97.72
cd4_sorttag_242	96.81
cd4_sorttag_243	97.12
cd4_sorttag_244	97.77
cd4_sorttag_245	97.00
cd4_sorttag_246	97.35
cd4_sorttag_247	97.42
cd4_sorttag_248	97.79
cd4_sorttag_249	97.22
cd4_sorttag_24	97.53
cd4_sorttag_250	96.78
cd4_sorttag_251	96.52
cd4_sorttag_252	97.02
cd4_sorttag_253	97.01
cd4_sorttag_254	97.44
cd4_sorttag_255	96.52
cd4_sorttag_256	96.82
cd4_sorttag_257	97.77
cd4_sorttag_258	97.05
cd4_sorttag_259	97.50
cd4_sorttag_25	97.71
cd4_sorttag_260	97.46
cd4_sorttag_261	97.26
cd4_sorttag_262	97.59
cd4_sorttag_263	96.64
cd4_sorttag_264	97.23
cd4_sorttag_265	97.19
cd4_sorttag_266	96.81
cd4_sorttag_267	95.43
cd4_sorttag_268	97.02
cd4_sorttag_269	97.72
cd4_sorttag_26	97.37
cd4_sorttag_270	97.31
cd4_sorttag_271	97.48
cd4_sorttag_272	97.53
cd4_sorttag_273	97.50
cd4_sorttag_274	96.67
cd4_sorttag_275	96.71
cd4_sorttag_276	97.30
cd4_sorttag_277	97.08
cd4_sorttag_278	96.70
cd4_sorttag_279	97.22
cd4_sorttag_27	97.98
cd4_sorttag_280	96.87
cd4_sorttag_281	97.32
cd4_sorttag_282	96.95
cd4_sorttag_283	97.41
cd4_sorttag_284	95.89
cd4_sorttag_285	97.02
cd4_sorttag_286	97.18
cd4_sorttag_287	97.27
cd4_sorttag_288	97.77
cd4_sorttag_289	97.39
cd4_sorttag_28	97.35
cd4_sorttag_290	96.01
cd4_sorttag_291	65.45
cd4_sorttag_292	97.54
cd4_sorttag_293	97.17
cd4_sorttag_294	97.46
cd4_sorttag_295	97.62
cd4_sorttag_296	97.82
cd4_sorttag_297	96.57
cd4_sorttag_298	97.01
cd4_sorttag_299	97.84
cd4_sorttag_29	96.10
cd4_sorttag_2	96.58
cd4_sorttag_300	96.89
cd4_sorttag_301	97.38
cd4_sorttag_302	97.45
cd4_sorttag_303	66.67
cd4_sorttag_304	78.33
cd4_sorttag_305	59.26
cd4_sorttag_306	76.67
cd4_sorttag_307	72.92
cd4_sorttag_308	97.29
cd4_sorttag_309	97.64
cd4_sorttag_30	97.51
cd4_sorttag_310	97.59
cd4_sorttag_311	97.81
cd4_sorttag_312	97.80
cd4_sorttag_313	97.51
cd4_sorttag_314	97.11
cd4_sorttag_315	97.74
cd4_sorttag_316	97.50
cd4_sorttag_317	96.55
cd4_sorttag_318	96.31
cd4_sorttag_319	97.07
cd4_sorttag_31	97.81
cd4_sorttag_320	97.54
cd4_sorttag_321	97.44
cd4_sorttag_322	97.03
cd4_sorttag_323	97.34
cd4_sorttag_324	96.74
cd4_sorttag_325	97.47
cd4_sorttag_326	97.59
cd4_sorttag_327	96.69
cd4_sorttag_328	97.25
cd4_sorttag_329	97.44
cd4_sorttag_32	98.04
cd4_sorttag_330	96.73
cd4_sorttag_331	97.66
cd4_sorttag_332	97.59
cd4_sorttag_333	98.05
cd4_sorttag_334	97.59
cd4_sorttag_335	97.24
cd4_sorttag_336	96.70
cd4_sorttag_337	97.42
cd4_sorttag_338	97.74
cd4_sorttag_339	96.94
cd4_sorttag_33	97.38
cd4_sorttag_340	97.50
cd4_sorttag_341	96.69
cd4_sorttag_342	97.28
cd4_sorttag_343	97.70
cd4_sorttag_344	97.34
cd4_sorttag_345	97.66
cd4_sorttag_346	96.86
cd4_sorttag_347	97.46
cd4_sorttag_348	97.68
cd4_sorttag_349	95.22
cd4_sorttag_34	97.13
cd4_sorttag_350	96.93
cd4_sorttag_351	97.28
cd4_sorttag_352	97.85
cd4_sorttag_353	97.46
cd4_sorttag_354	97.06
cd4_sorttag_355	75.00
cd4_sorttag_356	97.56
cd4_sorttag_357	97.64
cd4_sorttag_358	97.34
cd4_sorttag_359	97.27
cd4_sorttag_35	98.02
cd4_sorttag_360	97.79
cd4_sorttag_361	65.28
cd4_sorttag_362	97.32
cd4_sorttag_363	97.61
cd4_sorttag_364	97.41
cd4_sorttag_365	97.36
cd4_sorttag_366	97.93
cd4_sorttag_367	97.18
cd4_sorttag_368	97.63
cd4_sorttag_369	97.24
cd4_sorttag_36	97.52
cd4_sorttag_370	96.79
cd4_sorttag_371	97.31
cd4_sorttag_372	96.74
cd4_sorttag_373	98.02
cd4_sorttag_374	98.06
cd4_sorttag_375	88.10
cd4_sorttag_376	69.15
cd4_sorttag_377	97.36
cd4_sorttag_378	96.69
cd4_sorttag_379	96.49
cd4_sorttag_37	97.19
cd4_sorttag_380	97.64
cd4_sorttag_381	97.54
cd4_sorttag_382	97.63
cd4_sorttag_383	97.81
cd4_sorttag_384	72.28
cd4_sorttag_38	97.94
cd4_sorttag_39	97.77
cd4_sorttag_3	97.69
cd4_sorttag_40	97.33
cd4_sorttag_41	97.72
cd4_sorttag_42	97.67
cd4_sorttag_43	96.00
cd4_sorttag_44	97.69
cd4_sorttag_45	97.62
cd4_sorttag_46	97.61
cd4_sorttag_47	96.41
cd4_sorttag_48	95.99
cd4_sorttag_49	98.02
cd4_sorttag_4	97.48
cd4_sorttag_50	97.55
cd4_sorttag_51	97.25
cd4_sorttag_52	97.37
cd4_sorttag_53	97.58
cd4_sorttag_54	97.58
cd4_sorttag_55	96.88
cd4_sorttag_56	97.80
cd4_sorttag_57	97.41
cd4_sorttag_58	97.70
cd4_sorttag_59	96.77
cd4_sorttag_5	96.87
cd4_sorttag_60	97.71
cd4_sorttag_61	96.86
cd4_sorttag_62	97.43
cd4_sorttag_63	97.53
cd4_sorttag_64	97.38
cd4_sorttag_65	96.20
cd4_sorttag_66	97.27
cd4_sorttag_67	97.52
cd4_sorttag_68	96.92
cd4_sorttag_69	97.17
cd4_sorttag_6	97.40
cd4_sorttag_70	97.51
cd4_sorttag_71	96.39
cd4_sorttag_72	97.54
cd4_sorttag_73	97.23
cd4_sorttag_74	96.94
cd4_sorttag_75	97.47
cd4_sorttag_76	97.50
cd4_sorttag_77	65.27
cd4_sorttag_78	96.51
cd4_sorttag_79	97.64
cd4_sorttag_7	98.02
cd4_sorttag_80	96.98
cd4_sorttag_81	97.86
cd4_sorttag_82	97.46
cd4_sorttag_83	97.33
cd4_sorttag_84	97.18
