cell	mt_content
cd4_sorttag_100	0.008409
cd4_sorttag_101	0.018406
cd4_sorttag_102	0.023821
cd4_sorttag_103	0.026667
cd4_sorttag_104	0.004039
cd4_sorttag_105	0.008785
cd4_sorttag_106	0.010018
cd4_sorttag_107	0.034109
cd4_sorttag_108	0.018411
cd4_sorttag_109	0.062331
cd4_sorttag_10	0.052714
cd4_sorttag_110	0.001338
cd4_sorttag_111	0.012006
cd4_sorttag_112	0.032379
cd4_sorttag_113	0.016653
cd4_sorttag_114	0.004780
cd4_sorttag_115	0.003806
cd4_sorttag_116	0.015002
cd4_sorttag_117	0.015313
cd4_sorttag_118	0.011718
cd4_sorttag_119	0.019807
cd4_sorttag_11	0.024639
cd4_sorttag_120	0.012939
cd4_sorttag_121	0.022137
cd4_sorttag_122	0.043445
cd4_sorttag_123	0.085014
cd4_sorttag_124	0.023901
cd4_sorttag_125	0.009853
cd4_sorttag_126	0.035429
cd4_sorttag_127	0.012729
cd4_sorttag_128	0.008480
cd4_sorttag_129	0.024353
cd4_sorttag_12	0.020579
cd4_sorttag_130	0.005211
cd4_sorttag_131	0.031210
cd4_sorttag_132	0.029999
cd4_sorttag_133	0.142115
cd4_sorttag_134	0.010089
cd4_sorttag_135	0.006300
cd4_sorttag_136	0.004428
cd4_sorttag_137	0.003420
cd4_sorttag_138	0.005409
cd4_sorttag_139	0.005128
cd4_sorttag_13	0.006624
cd4_sorttag_140	0.024751
cd4_sorttag_141	0.071185
cd4_sorttag_142	0.035289
cd4_sorttag_143	0.061514
cd4_sorttag_144	0.032605
cd4_sorttag_145	0.005760
cd4_sorttag_146	0.013022
cd4_sorttag_147	0.020629
cd4_sorttag_148	0.011828
cd4_sorttag_149	0.009591
cd4_sorttag_14	0.013998
cd4_sorttag_150	0.018212
cd4_sorttag_151	0.012829
cd4_sorttag_152	0.033016
cd4_sorttag_153	0.007471
cd4_sorttag_154	0.011621
cd4_sorttag_155	0.028395
cd4_sorttag_156	0.011649
cd4_sorttag_157	0.012485
cd4_sorttag_158	0.034681
cd4_sorttag_159	0.029270
cd4_sorttag_15	0.011501
cd4_sorttag_160	0.060606
cd4_sorttag_161	0.006679
cd4_sorttag_162	0.012559
cd4_sorttag_163	0.016168
cd4_sorttag_164	0.011651
cd4_sorttag_165	0.048532
cd4_sorttag_166	0.030060
cd4_sorttag_167	0.005302
cd4_sorttag_168	0.030908
cd4_sorttag_169	0.007608
cd4_sorttag_16	0.005628
cd4_sorttag_170	0.013537
cd4_sorttag_171	0.033955
cd4_sorttag_172	0.010587
cd4_sorttag_173	0.086539
cd4_sorttag_174	0.002946
cd4_sorttag_175	0.059239
cd4_sorttag_176	0.001141
cd4_sorttag_177	0.017927
cd4_sorttag_178	0.036782
cd4_sorttag_179	0.007510
cd4_sorttag_17	0.004954
cd4_sorttag_180	0.033646
cd4_sorttag_181	0.029855
cd4_sorttag_182	0.015320
cd4_sorttag_183	0.001843
cd4_sorttag_184	0.005412
cd4_sorttag_185	0.026854
cd4_sorttag_186	0.015901
cd4_sorttag_187	0.016614
cd4_sorttag_188	0.006672
cd4_sorttag_189	0.122185
cd4_sorttag_18	0.042547
cd4_sorttag_190	0.007617
cd4_sorttag_191	0.028338
cd4_sorttag_192	0.010336
cd4_sorttag_193	0.053659
cd4_sorttag_194	0.025615
cd4_sorttag_195	0.008108
cd4_sorttag_196	0.043538
cd4_sorttag_197	0.008272
cd4_sorttag_198	0.022212
cd4_sorttag_199	0.060459
cd4_sorttag_19	0.004146
cd4_sorttag_1	0.030115
cd4_sorttag_200	0.017087
cd4_sorttag_201	0.032062
cd4_sorttag_202	0.066667
cd4_sorttag_203	0.041023
cd4_sorttag_204	0.015067
cd4_sorttag_205	0.009204
cd4_sorttag_206	0.008848
cd4_sorttag_207	0.013062
cd4_sorttag_208	0.025023
cd4_sorttag_209	0.007128
cd4_sorttag_20	0.023981
cd4_sorttag_210	0.005078
cd4_sorttag_211	0.015237
cd4_sorttag_212	0.039605
cd4_sorttag_213	0.021604
cd4_sorttag_214	0.009673
cd4_sorttag_215	0.004148
cd4_sorttag_216	0.022415
cd4_sorttag_217	0.020805
cd4_sorttag_218	0.033802
cd4_sorttag_219	0.034858
cd4_sorttag_21	0.013330
cd4_sorttag_220	0.005077
cd4_sorttag_221	0.007898
cd4_sorttag_222	0.001540
cd4_sorttag_223	0.004518
cd4_sorttag_224	0.036720
cd4_sorttag_225	0.020795
cd4_sorttag_226	0.023121
cd4_sorttag_227	0.019090
cd4_sorttag_228	0.010972
cd4_sorttag_229	0.008406
cd4_sorttag_22	0.016731
cd4_sorttag_230	0.050123
cd4_sorttag_231	0.008009
cd4_sorttag_232	0.061543
cd4_sorttag_233	0.021332
cd4_sorttag_234	0.041094
cd4_sorttag_235	0.000486
cd4_sorttag_236	0.211320
cd4_sorttag_237	0.022787
cd4_sorttag_238	0.023812
cd4_sorttag_239	0.006058
cd4_sorttag_23	0.026206
cd4_sorttag_240	0.000000
cd4_sorttag_241	0.034999
cd4_sorttag_242	0.009654
cd4_sorttag_243	0.001829
cd4_sorttag_244	0.011558
cd4_sorttag_245	0.030650
cd4_sorttag_246	0.023954
cd4_sorttag_247	0.013884
cd4_sorttag_248	0.011258
cd4_sorttag_249	0.020876
cd4_sorttag_24	0.000373
cd4_sorttag_250	0.012947
cd4_sorttag_251	0.003900
