cell	sequencing_depth
cd4_sorttag_100	369049
cd4_sorttag_101	658837
cd4_sorttag_102	351145
cd4_sorttag_103	458071
cd4_sorttag_104	868293
cd4_sorttag_105	816198
cd4_sorttag_106	1263491
cd4_sorttag_107	732267
cd4_sorttag_108	646522
cd4_sorttag_109	451091
cd4_sorttag_10	857528
cd4_sorttag_110	1063787
cd4_sorttag_111	1271350
cd4_sorttag_112	563470
cd4_sorttag_113	721265
cd4_sorttag_114	975549
cd4_sorttag_115	658541
cd4_sorttag_116	1132290
cd4_sorttag_117	825203
cd4_sorttag_118	886666
cd4_sorttag_119	259623
cd4_sorttag_11	574406
cd4_sorttag_120	730105
cd4_sorttag_121	923472
cd4_sorttag_122	528100
cd4_sorttag_123	431084
cd4_sorttag_124	953385
cd4_sorttag_125	904857
cd4_sorttag_126	599469
cd4_sorttag_127	951361
cd4_sorttag_128	709077
cd4_sorttag_129	726182
cd4_sorttag_12	999108
cd4_sorttag_130	901107
cd4_sorttag_131	1182973
cd4_sorttag_132	508905
cd4_sorttag_133	252390
cd4_sorttag_134	607655
cd4_sorttag_135	915524
cd4_sorttag_136	722830
cd4_sorttag_137	1059128
cd4_sorttag_138	837678
cd4_sorttag_139	502940
cd4_sorttag_13	608556
cd4_sorttag_140	385666
cd4_sorttag_141	217375
cd4_sorttag_142	703931
cd4_sorttag_143	403910
cd4_sorttag_144	972378
cd4_sorttag_145	1079061
cd4_sorttag_146	699000
cd4_sorttag_147	420889
cd4_sorttag_148	549373
cd4_sorttag_149	1792814
cd4_sorttag_14	557139
cd4_sorttag_150	551499
cd4_sorttag_151	979889
cd4_sorttag_152	308574
cd4_sorttag_153	806214
cd4_sorttag_154	588151
cd4_sorttag_155	770918
cd4_sorttag_156	734489
cd4_sorttag_157	679265
cd4_sorttag_158	595067
cd4_sorttag_159	627866
cd4_sorttag_15	684468
cd4_sorttag_160	482195
cd4_sorttag_161	537575
cd4_sorttag_162	311170
cd4_sorttag_163	495493
cd4_sorttag_164	619093
cd4_sorttag_165	438075
cd4_sorttag_166	610613
cd4_sorttag_167	828466
cd4_sorttag_168	1142611
cd4_sorttag_169	724571
cd4_sorttag_16	699425
cd4_sorttag_170	616198
cd4_sorttag_171	847774
cd4_sorttag_172	719089
cd4_sorttag_173	271311
cd4_sorttag_174	622595
cd4_sorttag_175	449076
cd4_sorttag_176	805607
cd4_sorttag_177	712396
cd4_sorttag_178	550693
cd4_sorttag_179	768853
cd4_sorttag_17	680141
cd4_sorttag_180	453023
cd4_sorttag_181	607930
cd4_sorttag_182	709789
cd4_sorttag_183	895057
cd4_sorttag_184	882996
cd4_sorttag_185	821803
cd4_sorttag_186	631975
cd4_sorttag_187	1145405
cd4_sorttag_188	807880
cd4_sorttag_189	243811
cd4_sorttag_18	670103
cd4_sorttag_190	818507
cd4_sorttag_191	1278543
cd4_sorttag_192	824181
cd4_sorttag_193	492280
cd4_sorttag_194	1036256
cd4_sorttag_195	877121
cd4_sorttag_196	248034
cd4_sorttag_197	730912
cd4_sorttag_198	966033
cd4_sorttag_199	348961
cd4_sorttag_19	1003225
cd4_sorttag_1	934315
cd4_sorttag_200	601465
cd4_sorttag_201	879045
cd4_sorttag_202	678572
cd4_sorttag_203	268820
cd4_sorttag_204	759828
cd4_sorttag_205	849282
cd4_sorttag_206	730892
cd4_sorttag_207	674900
cd4_sorttag_208	415622
cd4_sorttag_209	844931
cd4_sorttag_20	527870
cd4_sorttag_210	779717
cd4_sorttag_211	1022799
cd4_sorttag_212	571033
cd4_sorttag_213	556347
cd4_sorttag_214	646419
cd4_sorttag_215	677074
cd4_sorttag_216	312031
cd4_sorttag_217	809228
cd4_sorttag_218	598381
cd4_sorttag_219	782288
cd4_sorttag_21	697793
cd4_sorttag_220	811867
cd4_sorttag_221	711976
cd4_sorttag_222	684309
cd4_sorttag_223	764300
cd4_sorttag_224	406246
cd4_sorttag_225	464646
cd4_sorttag_226	665576
cd4_sorttag_227	881843
cd4_sorttag_228	728434
cd4_sorttag_229	484088
cd4_sorttag_22	867495
cd4_sorttag_230	287928
cd4_sorttag_231	1043938
cd4_sorttag_232	404545
cd4_sorttag_233	607319
cd4_sorttag_234	681146
cd4_sorttag_235	784907
cd4_sorttag_236	104123
cd4_sorttag_237	734455
cd4_sorttag_238	577823
cd4_sorttag_239	869985
cd4_sorttag_23	528726
cd4_sorttag_240	160
cd4_sorttag_241	645675
cd4_sorttag_242	715267
cd4_sorttag_243	553482
cd4_sorttag_244	686011
cd4_sorttag_245	299250
cd4_sorttag_246	923541
cd4_sorttag_247	914391
cd4_sorttag_248	364694
cd4_sorttag_249	1027184
cd4_sorttag_24	811532
cd4_sorttag_250	573127
cd4_sorttag_251	930134
cd4_sorttag_252	821961
cd4_sorttag_253	509571
cd4_sorttag_254	831403
cd4_sorttag_255	833232
cd4_sorttag_256	793369
cd4_sorttag_257	579479
cd4_sorttag_258	934534
cd4_sorttag_259	980035
cd4_sorttag_25	589246
cd4_sorttag_260	834071
cd4_sorttag_261	980924
cd4_sorttag_262	721793
cd4_sorttag_263	976675
cd4_sorttag_264	238847
cd4_sorttag_265	777309
cd4_sorttag_266	795303
cd4_sorttag_267	602458
cd4_sorttag_268	824556
cd4_sorttag_269	399096
cd4_sorttag_26	650037
cd4_sorttag_270	444783
cd4_sorttag_271	589302
cd4_sorttag_272	730579
cd4_sorttag_273	705418
cd4_sorttag_274	943945
cd4_sorttag_275	894492
cd4_sorttag_276	871449
cd4_sorttag_277	873412
cd4_sorttag_278	245801
cd4_sorttag_279	737012
cd4_sorttag_27	524237
cd4_sorttag_280	964013
cd4_sorttag_281	584581
cd4_sorttag_282	597846
cd4_sorttag_283	578732
cd4_sorttag_284	899535
cd4_sorttag_285	809881
cd4_sorttag_286	994700
cd4_sorttag_287	760784
cd4_sorttag_288	680420
cd4_sorttag_289	743780
cd4_sorttag_28	341450
cd4_sorttag_290	738183
cd4_sorttag_291	55
cd4_sorttag_292	455173
cd4_sorttag_293	613370
cd4_sorttag_294	562595
cd4_sorttag_295	450934
cd4_sorttag_296	559301
cd4_sorttag_297	847941
cd4_sorttag_298	557184
cd4_sorttag_299	393034
cd4_sorttag_29	811942
cd4_sorttag_2	1856117
cd4_sorttag_300	456235
cd4_sorttag_301	579184
cd4_sorttag_302	686954
cd4_sorttag_303	57
cd4_sorttag_304	90
cd4_sorttag_305	189
cd4_sorttag_306	90
cd4_sorttag_307	120
cd4_sorttag_308	824401
cd4_sorttag_309	571350
cd4_sorttag_30	769756
cd4_sorttag_310	512441
cd4_sorttag_311	516074
cd4_sorttag_312	457458
cd4_sorttag_313	639919
cd4_sorttag_314	805620
cd4_sorttag_315	539445
cd4_sorttag_316	822118
cd4_sorttag_317	430078
cd4_sorttag_318	1008317
cd4_sorttag_319	1318980
cd4_sorttag_31	704009
cd4_sorttag_320	504297
cd4_sorttag_321	768022
cd4_sorttag_322	864268
cd4_sorttag_323	849479
cd4_sorttag_324	868623
cd4_sorttag_325	516936
cd4_sorttag_326	649674
cd4_sorttag_327	686646
cd4_sorttag_328	483580
cd4_sorttag_329	831996
cd4_sorttag_32	414454
cd4_sorttag_330	869573
cd4_sorttag_331	827148
cd4_sorttag_332	941782
cd4_sorttag_333	394616
cd4_sorttag_334	523916
cd4_sorttag_335	832332
cd4_sorttag_336	688455
cd4_sorttag_337	525322
cd4_sorttag_338	211833
cd4_sorttag_339	459929
cd4_sorttag_33	764085
cd4_sorttag_340	406885
cd4_sorttag_341	670618
cd4_sorttag_342	821195
cd4_sorttag_343	412176
cd4_sorttag_344	542769
cd4_sorttag_345	792142
cd4_sorttag_346	987830
cd4_sorttag_347	338449
cd4_sorttag_348	519084
cd4_sorttag_349	1013580
cd4_sorttag_34	818512
cd4_sorttag_350	826022
cd4_sorttag_351	978021
cd4_sorttag_352	692467
cd4_sorttag_353	379988
cd4_sorttag_354	978497
cd4_sorttag_355	188
cd4_sorttag_356	703214
cd4_sorttag_357	595717
cd4_sorttag_358	737360
cd4_sorttag_359	503028
cd4_sorttag_35	448341
cd4_sorttag_360	680697
cd4_sorttag_361	108
cd4_sorttag_362	673715
cd4_sorttag_363	618543
cd4_sorttag_364	710829
cd4_sorttag_365	634842
cd4_sorttag_366	562106
cd4_sorttag_367	1004367
cd4_sorttag_368	944277
cd4_sorttag_369	816971
cd4_sorttag_36	476477
cd4_sorttag_370	814650
cd4_sorttag_371	974887
cd4_sorttag_372	1239020
cd4_sorttag_373	392434
cd4_sorttag_374	74129
cd4_sorttag_375	189
cd4_sorttag_376	94
cd4_sorttag_377	816218
cd4_sorttag_378	748764
cd4_sorttag_379	393940
cd4_sorttag_37	609928
cd4_sorttag_380	475536
cd4_sorttag_381	494487
cd4_sorttag_382	813892
cd4_sorttag_383	401003
cd4_sorttag_384	92
cd4_sorttag_38	880195
cd4_sorttag_39	573770
cd4_sorttag_3	339583
cd4_sorttag_40	827275
cd4_sorttag_41	540969
cd4_sorttag_42	993636
cd4_sorttag_43	940068
cd4_sorttag_44	801866
cd4_sorttag_45	1051886
cd4_sorttag_46	783226
cd4_sorttag_47	254074
cd4_sorttag_48	702571
cd4_sorttag_49	333049
cd4_sorttag_4	556120
cd4_sorttag_50	643608
cd4_sorttag_51	900733
cd4_sorttag_52	527753
cd4_sorttag_53	960457
cd4_sorttag_54	667908
cd4_sorttag_55	1027014
