cell	uniq_frags
cd4_sorttag_100	17452.000000
cd4_sorttag_101	23465.000000
cd4_sorttag_102	12212.000000
cd4_sorttag_103	14965.000000
cd4_sorttag_104	32305.000000
cd4_sorttag_105	28997.000000
cd4_sorttag_106	44171.000000
cd4_sorttag_107	23107.000000
cd4_sorttag_108	22019.000000
cd4_sorttag_109	14938.000000
cd4_sorttag_10	28968.000000
cd4_sorttag_110	38063.000000
cd4_sorttag_111	43121.000000
cd4_sorttag_112	20381.000000
cd4_sorttag_113	25805.000000
cd4_sorttag_114	35392.000000
cd4_sorttag_115	23298.000000
cd4_sorttag_116	39527.000000
cd4_sorttag_117	28294.000000
cd4_sorttag_118	28760.000000
cd4_sorttag_119	9056.000000
cd4_sorttag_11	20110.000000
cd4_sorttag_120	25784.000000
cd4_sorttag_121	33483.000000
cd4_sorttag_122	17724.000000
cd4_sorttag_123	12883.000000
cd4_sorttag_124	32876.000000
cd4_sorttag_125	31757.000000
cd4_sorttag_126	20419.000000
cd4_sorttag_127	32343.000000
cd4_sorttag_128	25606.000000
cd4_sorttag_129	26522.000000
cd4_sorttag_12	35076.000000
cd4_sorttag_130	31880.000000
cd4_sorttag_131	37529.000000
cd4_sorttag_132	17396.000000
cd4_sorttag_133	7268.000000
cd4_sorttag_134	22469.000000
cd4_sorttag_135	32018.000000
cd4_sorttag_136	27877.000000
cd4_sorttag_137	40210.000000
cd4_sorttag_138	31808.000000
cd4_sorttag_139	18818.000000
cd4_sorttag_13	22645.000000
cd4_sorttag_140	13988.000000
cd4_sorttag_141	7085.000000
cd4_sorttag_142	23073.000000
cd4_sorttag_143	13441.000000
cd4_sorttag_144	32845.000000
cd4_sorttag_145	39355.000000
cd4_sorttag_146	25618.000000
cd4_sorttag_147	15002.000000
cd4_sorttag_148	20969.000000
cd4_sorttag_149	67947.000000
cd4_sorttag_14	20779.000000
cd4_sorttag_150	19784.000000
cd4_sorttag_151	34396.000000
cd4_sorttag_152	11686.000000
cd4_sorttag_153	30688.000000
cd4_sorttag_154	21348.000000
cd4_sorttag_155	25458.000000
cd4_sorttag_156	26216.000000
cd4_sorttag_157	26260.000000
cd4_sorttag_158	22685.000000
cd4_sorttag_159	22519.000000
cd4_sorttag_15	23807.000000
cd4_sorttag_160	17050.000000
cd4_sorttag_161	22160.000000
cd4_sorttag_162	12894.000000
cd4_sorttag_163	18499.000000
cd4_sorttag_164	24770.000000
cd4_sorttag_165	16135.000000
cd4_sorttag_166	21812.000000
cd4_sorttag_167	31708.000000
cd4_sorttag_168	42861.000000
cd4_sorttag_169	27524.000000
cd4_sorttag_16	25971.000000
cd4_sorttag_170	22955.000000
cd4_sorttag_171	29475.000000
cd4_sorttag_172	27101.000000
cd4_sorttag_173	8951.000000
cd4_sorttag_174	23687.000000
cd4_sorttag_175	15182.000000
