cell	dup_level
cd4_tagsort_100	0.928086
cd4_tagsort_101	0.955195
cd4_tagsort_102	0.957988
cd4_tagsort_103	0.958194
cd4_tagsort_104	0.956368
cd4_tagsort_105	0.955922
cd4_tagsort_106	0.957527
cd4_tagsort_107	0.960152
cd4_tagsort_108	0.957076
cd4_tagsort_109	0.953688
cd4_tagsort_10	0.957105
cd4_tagsort_110	0.954862
cd4_tagsort_111	0.954631
cd4_tagsort_112	0.954797
cd4_tagsort_113	0.954713
cd4_tagsort_114	0.953813
cd4_tagsort_115	0.955828
cd4_tagsort_116	0.956505
cd4_tagsort_117	0.955722
cd4_tagsort_118	0.958212
cd4_tagsort_119	0.954481
cd4_tagsort_11	0.955689
cd4_tagsort_120	0.955303
cd4_tagsort_121	0.954652
cd4_tagsort_122	0.95673
cd4_tagsort_123	0.956779
cd4_tagsort_124	0.956619
cd4_tagsort_125	0.955386
cd4_tagsort_126	0.956834
cd4_tagsort_127	0.957989
cd4_tagsort_128	0.955305
cd4_tagsort_129	0.954555
cd4_tagsort_12	0.955203
cd4_tagsort_130	0.957312
cd4_tagsort_131	0.957926
cd4_tagsort_132	0.956425
cd4_tagsort_133	0.95224
cd4_tagsort_134	0.953454
cd4_tagsort_135	0.95534
cd4_tagsort_136	0.952526
cd4_tagsort_137	0.95317
cd4_tagsort_138	0.953778
cd4_tagsort_139	0.955617
cd4_tagsort_13	0.954676
cd4_tagsort_140	0.085366
cd4_tagsort_141	0.955209
cd4_tagsort_142	0.956975
cd4_tagsort_143	0.954469
cd4_tagsort_144	0.955625
cd4_tagsort_145	0.52518
cd4_tagsort_146	0.955563
cd4_tagsort_147	0.954267
cd4_tagsort_148	0.953053
cd4_tagsort_149	0.953655
cd4_tagsort_14	0.953906
cd4_tagsort_150	0.486957
cd4_tagsort_151	0.95571
cd4_tagsort_152	0.951803
cd4_tagsort_153	0.954019
cd4_tagsort_154	0.95432
cd4_tagsort_155	0.956844
cd4_tagsort_156	0.954066
cd4_tagsort_157	0.952144
cd4_tagsort_158	0.407407
cd4_tagsort_159	0.951973
cd4_tagsort_15	0.95674
cd4_tagsort_160	0.953171
cd4_tagsort_161	0.949229
cd4_tagsort_162	0.951032
cd4_tagsort_163	0.954134
cd4_tagsort_164	0.951532
cd4_tagsort_165	0.949995
cd4_tagsort_166	0.955858
cd4_tagsort_167	0.950748
cd4_tagsort_168	0.952482
cd4_tagsort_169	0.951984
cd4_tagsort_16	0.953964
cd4_tagsort_170	0.953101
cd4_tagsort_171	0.952481
cd4_tagsort_172	0.952853
cd4_tagsort_173	0.952116
cd4_tagsort_174	0.953696
cd4_tagsort_175	0.953322
cd4_tagsort_176	0.953169
cd4_tagsort_177	0.953226
cd4_tagsort_178	0.954463
cd4_tagsort_179	0.952155
cd4_tagsort_17	0.954063
cd4_tagsort_180	0.951759
cd4_tagsort_181	0.949753
cd4_tagsort_182	0.948295
cd4_tagsort_183	0.95261
cd4_tagsort_184	0.949988
cd4_tagsort_185	0.248521
cd4_tagsort_186	0.948697
cd4_tagsort_187	0.951784
cd4_tagsort_188	0.950102
cd4_tagsort_189	0.950794
cd4_tagsort_18	0.955724
cd4_tagsort_190	0.954243
cd4_tagsort_191	0.952351
cd4_tagsort_192	0.950488
cd4_tagsort_193	0.949143
cd4_tagsort_194	0.951551
cd4_tagsort_195	0.953198
cd4_tagsort_196	0.95014
cd4_tagsort_197	0.951368
cd4_tagsort_198	0.952811
cd4_tagsort_199	0.953786
cd4_tagsort_19	0.954133
cd4_tagsort_1	0.952574
cd4_tagsort_200	0.950865
cd4_tagsort_201	0.952255
cd4_tagsort_202	0.954068
cd4_tagsort_203	0.955715
cd4_tagsort_204	0.951837
cd4_tagsort_205	0.950187
cd4_tagsort_206	0.949562
cd4_tagsort_207	0.951358
cd4_tagsort_208	0.950841
cd4_tagsort_209	0.949791
cd4_tagsort_20	0.954328
cd4_tagsort_210	0.947292
cd4_tagsort_211	0.396552
cd4_tagsort_212	0.949069
cd4_tagsort_213	0.949243
cd4_tagsort_214	0.953005
cd4_tagsort_215	0.949129
cd4_tagsort_216	0.948491
cd4_tagsort_217	0.954074
cd4_tagsort_218	0.953289
cd4_tagsort_219	0.953829
cd4_tagsort_21	0.955742
cd4_tagsort_220	0.952631
cd4_tagsort_221	0.95411
cd4_tagsort_222	0.955914
cd4_tagsort_223	0.956681
cd4_tagsort_224	0.952633
cd4_tagsort_225	0.950612
cd4_tagsort_226	0.955765
cd4_tagsort_227	0.955783
cd4_tagsort_228	0.952692
cd4_tagsort_229	0.954292
cd4_tagsort_22	0.957178
