cell	frac_open
cd4_tagsort_100	0.299001
cd4_tagsort_101	0.012890
cd4_tagsort_102	0.254362
cd4_tagsort_103	0.289401
cd4_tagsort_104	0.208650
cd4_tagsort_105	0.302485
cd4_tagsort_106	0.210941
cd4_tagsort_107	0.106116
cd4_tagsort_108	0.269030
cd4_tagsort_109	0.018226
cd4_tagsort_10	0.313012
cd4_tagsort_110	0.324610
cd4_tagsort_111	0.109942
cd4_tagsort_112	0.339888
cd4_tagsort_113	0.324756
cd4_tagsort_114	0.025439
cd4_tagsort_115	0.312086
cd4_tagsort_116	0.249172
cd4_tagsort_117	0.362183
cd4_tagsort_118	0.346735
cd4_tagsort_119	0.198051
cd4_tagsort_11	0.293689
cd4_tagsort_120	0.311818
cd4_tagsort_121	0.348952
cd4_tagsort_122	0.365107
cd4_tagsort_123	0.216959
cd4_tagsort_124	0.347100
cd4_tagsort_125	0.033650
cd4_tagsort_126	0.088548
cd4_tagsort_127	0.097247
cd4_tagsort_128	0.100999
cd4_tagsort_129	0.191204
cd4_tagsort_12	0.332383
cd4_tagsort_130	0.305458
cd4_tagsort_131	0.195712
cd4_tagsort_132	0.038645
cd4_tagsort_133	0.324147
cd4_tagsort_134	0.328850
cd4_tagsort_135	0.461257
cd4_tagsort_136	0.016862
cd4_tagsort_137	0.333650
cd4_tagsort_138	0.154167
cd4_tagsort_139	0.315448
cd4_tagsort_13	0.352217
cd4_tagsort_140	0.009284
cd4_tagsort_141	0.311574
cd4_tagsort_142	0.122831
cd4_tagsort_143	0.309893
cd4_tagsort_144	0.332334
cd4_tagsort_145	0.001218
cd4_tagsort_146	0.273319
cd4_tagsort_147	0.111891
cd4_tagsort_148	0.348806
cd4_tagsort_149	0.320224
cd4_tagsort_14	0.339669
cd4_tagsort_150	0.001218
cd4_tagsort_151	0.305166
cd4_tagsort_152	0.401486
cd4_tagsort_153	0.328947
cd4_tagsort_154	0.169615
cd4_tagsort_155	0.297052
cd4_tagsort_156	0.310721
cd4_tagsort_157	0.321369
cd4_tagsort_158	0.000828
cd4_tagsort_159	0.088523
cd4_tagsort_15	0.312792
cd4_tagsort_160	0.331311
cd4_tagsort_161	0.056360
cd4_tagsort_162	0.243177
cd4_tagsort_163	0.255799
cd4_tagsort_164	0.338938
cd4_tagsort_165	0.042788
cd4_tagsort_166	0.197978
cd4_tagsort_167	0.027632
cd4_tagsort_168	0.309040
cd4_tagsort_169	0.280580
cd4_tagsort_16	0.289669
cd4_tagsort_170	0.282115
cd4_tagsort_171	0.352973
cd4_tagsort_172	0.038060
cd4_tagsort_173	0.344201
cd4_tagsort_174	0.120906
cd4_tagsort_175	0.319591
cd4_tagsort_176	0.283041
