cell	frip
cd4_tagsort_100	0.687629
cd4_tagsort_101	0.603873
cd4_tagsort_102	0.729818
cd4_tagsort_103	0.696911
cd4_tagsort_104	0.705264
cd4_tagsort_105	0.686736
cd4_tagsort_106	0.697874
cd4_tagsort_107	0.722786
cd4_tagsort_108	0.736799
cd4_tagsort_109	0.533745
cd4_tagsort_10	0.707436
cd4_tagsort_110	0.680675
cd4_tagsort_111	0.692504
cd4_tagsort_112	0.647474
cd4_tagsort_113	0.695747
cd4_tagsort_114	0.531730
cd4_tagsort_115	0.703657
cd4_tagsort_116	0.528262
cd4_tagsort_117	0.640620
cd4_tagsort_118	0.687454
cd4_tagsort_119	0.537354
cd4_tagsort_11	0.692712
cd4_tagsort_120	0.700254
cd4_tagsort_121	0.678841
cd4_tagsort_122	0.669089
cd4_tagsort_123	0.741054
cd4_tagsort_124	0.688476
cd4_tagsort_125	0.504459
cd4_tagsort_126	0.670788
cd4_tagsort_127	0.752215
cd4_tagsort_128	0.659939
cd4_tagsort_129	0.748274
cd4_tagsort_12	0.701952
cd4_tagsort_130	0.697139
cd4_tagsort_131	0.702283
cd4_tagsort_132	0.628954
cd4_tagsort_133	0.704924
cd4_tagsort_134	0.689911
cd4_tagsort_135	0.635998
cd4_tagsort_136	0.586177
cd4_tagsort_137	0.701555
cd4_tagsort_138	0.739404
cd4_tagsort_139	0.692145
cd4_tagsort_13	0.693829
cd4_tagsort_140	0.863333
cd4_tagsort_141	0.672784
cd4_tagsort_142	0.730239
cd4_tagsort_143	0.692112
cd4_tagsort_144	0.684956
cd4_tagsort_145	0.742424
cd4_tagsort_146	0.729228
cd4_tagsort_147	0.752416
cd4_tagsort_148	0.685800
cd4_tagsort_149	0.714085
cd4_tagsort_14	0.682186
cd4_tagsort_150	0.805085
cd4_tagsort_151	0.716351
cd4_tagsort_152	0.704210
cd4_tagsort_153	0.696247
cd4_tagsort_154	0.723651
cd4_tagsort_155	0.694437
cd4_tagsort_156	0.694396
cd4_tagsort_157	0.688372
cd4_tagsort_158	0.656250
cd4_tagsort_159	0.697376
cd4_tagsort_15	0.705976
cd4_tagsort_160	0.692365
cd4_tagsort_161	0.593632
cd4_tagsort_162	0.719501
cd4_tagsort_163	0.704797
cd4_tagsort_164	0.687588
cd4_tagsort_165	0.643096
cd4_tagsort_166	0.712090
cd4_tagsort_167	0.485829
cd4_tagsort_168	0.688378
cd4_tagsort_169	0.598887
cd4_tagsort_16	0.690785
cd4_tagsort_170	0.677876
cd4_tagsort_171	0.637708
cd4_tagsort_172	0.674695
cd4_tagsort_173	0.697096
cd4_tagsort_174	0.717121
cd4_tagsort_175	0.707022
cd4_tagsort_176	0.708661
cd4_tagsort_177	0.657372
cd4_tagsort_178	0.704555
cd4_tagsort_179	0.713839
cd4_tagsort_17	0.728043
cd4_tagsort_180	0.679815
cd4_tagsort_181	0.710654
cd4_tagsort_182	0.686884
cd4_tagsort_183	0.697655
cd4_tagsort_184	0.680322
cd4_tagsort_185	0.795276
cd4_tagsort_186	0.699898
cd4_tagsort_187	0.716495
cd4_tagsort_188	0.701006
cd4_tagsort_189	0.705733
cd4_tagsort_18	0.731808
cd4_tagsort_190	0.689160
cd4_tagsort_191	0.608635
cd4_tagsort_192	0.704951
cd4_tagsort_193	0.690565
cd4_tagsort_194	0.688579
cd4_tagsort_195	0.711448
cd4_tagsort_196	0.734571
cd4_tagsort_197	0.693916
cd4_tagsort_198	0.711810
cd4_tagsort_199	0.724426
cd4_tagsort_19	0.696341
cd4_tagsort_1	0.677661
cd4_tagsort_200	0.691420
cd4_tagsort_201	0.694922
cd4_tagsort_202	0.708473
cd4_tagsort_203	0.679358
cd4_tagsort_204	0.717085
