cell	library_size
cd4_tagsort_100	30142
cd4_tagsort_101	1420
cd4_tagsort_102	22198
cd4_tagsort_103	27162
cd4_tagsort_104	17363
cd4_tagsort_105	30851
cd4_tagsort_106	17261
cd4_tagsort_107	8470
cd4_tagsort_108	24183
cd4_tagsort_109	2267
cd4_tagsort_10	30971
cd4_tagsort_110	35359
cd4_tagsort_111	8605
cd4_tagsort_112	38583
cd4_tagsort_113	33298
cd4_tagsort_114	2994
cd4_tagsort_115	31720
cd4_tagsort_116	37772
cd4_tagsort_117	44055
cd4_tagsort_118	38180
cd4_tagsort_119	28377
cd4_tagsort_11	30543
cd4_tagsort_120	32646
cd4_tagsort_121	39496
cd4_tagsort_122	41014
cd4_tagsort_123	19087
cd4_tagsort_124	39509
cd4_tagsort_125	3700
cd4_tagsort_126	7644
cd4_tagsort_127	7335
cd4_tagsort_128	8919
cd4_tagsort_129	15205
cd4_tagsort_12	35855
cd4_tagsort_130	30476
cd4_tagsort_131	16210
cd4_tagsort_132	3699
cd4_tagsort_133	33083
cd4_tagsort_134	34574
cd4_tagsort_135	74045
cd4_tagsort_136	1729
cd4_tagsort_137	35509
cd4_tagsort_138	12080
cd4_tagsort_139	31864
cd4_tagsort_13	37773
cd4_tagsort_140	2715
cd4_tagsort_141	35556
cd4_tagsort_142	9134
cd4_tagsort_143	31492
cd4_tagsort_144	33735
cd4_tagsort_145	80
cd4_tagsort_146	24901
cd4_tagsort_147	7658
cd4_tagsort_148	37527
cd4_tagsort_149	31602
cd4_tagsort_14	36685
cd4_tagsort_150	75
cd4_tagsort_151	30261
cd4_tagsort_152	54008
cd4_tagsort_153	35812
cd4_tagsort_154	13454
cd4_tagsort_155	29480
cd4_tagsort_156	31855
cd4_tagsort_157	35037
cd4_tagsort_158	70
cd4_tagsort_159	6936
cd4_tagsort_15	31193
cd4_tagsort_160	34684
cd4_tagsort_161	5543
cd4_tagsort_162	23189
cd4_tagsort_163	22930
cd4_tagsort_164	36852
cd4_tagsort_165	3288
