cell	mapping_rate
cd4_tagsort_100	96.95
cd4_tagsort_101	95.86
cd4_tagsort_102	96.91
cd4_tagsort_103	97.32
cd4_tagsort_104	97.39
cd4_tagsort_105	96.91
cd4_tagsort_106	97.07
cd4_tagsort_107	97.58
cd4_tagsort_108	96.80
cd4_tagsort_109	94.07
cd4_tagsort_10	96.89
cd4_tagsort_110	95.68
cd4_tagsort_111	95.37
cd4_tagsort_112	97.51
cd4_tagsort_113	96.28
cd4_tagsort_114	95.48
cd4_tagsort_115	95.69
cd4_tagsort_116	97.50
cd4_tagsort_117	96.09
cd4_tagsort_118	96.16
cd4_tagsort_119	96.77
cd4_tagsort_11	95.77
cd4_tagsort_120	96.37
cd4_tagsort_121	95.60
cd4_tagsort_122	96.31
cd4_tagsort_123	95.46
cd4_tagsort_124	96.83
cd4_tagsort_125	96.46
cd4_tagsort_126	96.75
cd4_tagsort_127	96.82
cd4_tagsort_128	96.76
cd4_tagsort_129	97.42
cd4_tagsort_12	96.49
cd4_tagsort_130	97.45
cd4_tagsort_131	97.09
cd4_tagsort_132	96.45
cd4_tagsort_133	96.83
cd4_tagsort_134	96.90
cd4_tagsort_135	96.71
cd4_tagsort_136	96.40
cd4_tagsort_137	96.31
cd4_tagsort_138	97.32
cd4_tagsort_139	97.09
cd4_tagsort_13	97.29
cd4_tagsort_140	89.59
cd4_tagsort_141	93.29
cd4_tagsort_142	97.16
cd4_tagsort_143	96.71
cd4_tagsort_144	96.95
cd4_tagsort_145	64.39
cd4_tagsort_146	96.49
cd4_tagsort_147	97.76
cd4_tagsort_148	97.20
cd4_tagsort_149	95.34
cd4_tagsort_14	96.08
cd4_tagsort_150	82.68
cd4_tagsort_151	96.38
cd4_tagsort_152	96.36
cd4_tagsort_153	97.36
cd4_tagsort_154	96.45
cd4_tagsort_155	96.95
cd4_tagsort_156	95.80
cd4_tagsort_157	96.71
cd4_tagsort_158	82.00
cd4_tagsort_159	96.75
cd4_tagsort_15	96.37
cd4_tagsort_160	96.26
cd4_tagsort_161	96.59
cd4_tagsort_162	96.45
cd4_tagsort_163	96.95
cd4_tagsort_164	95.13
cd4_tagsort_165	96.50
cd4_tagsort_166	96.96
cd4_tagsort_167	94.80
cd4_tagsort_168	95.20
cd4_tagsort_169	95.81
cd4_tagsort_16	95.85
cd4_tagsort_170	96.04
cd4_tagsort_171	95.74
cd4_tagsort_172	95.49
cd4_tagsort_173	97.13
cd4_tagsort_174	97.04
cd4_tagsort_175	96.50
cd4_tagsort_176	97.03
cd4_tagsort_177	96.01
cd4_tagsort_178	97.42
cd4_tagsort_179	95.85
cd4_tagsort_17	96.71
cd4_tagsort_180	96.69
cd4_tagsort_181	97.28
cd4_tagsort_182	97.48
cd4_tagsort_183	97.52
cd4_tagsort_184	96.55
cd4_tagsort_185	77.07
cd4_tagsort_186	95.23
cd4_tagsort_187	97.08
cd4_tagsort_188	96.57
cd4_tagsort_189	96.41
cd4_tagsort_18	97.42
cd4_tagsort_190	97.38
cd4_tagsort_191	97.44
cd4_tagsort_192	97.41
cd4_tagsort_193	92.00
cd4_tagsort_194	95.15
cd4_tagsort_195	97.54
cd4_tagsort_196	97.30
cd4_tagsort_197	96.92
cd4_tagsort_198	97.06
cd4_tagsort_199	97.14
cd4_tagsort_19	96.60
cd4_tagsort_1	96.14
cd4_tagsort_200	96.09
cd4_tagsort_201	96.37
cd4_tagsort_202	97.12
cd4_tagsort_203	96.91
cd4_tagsort_204	97.61
cd4_tagsort_205	96.08
cd4_tagsort_206	97.75
cd4_tagsort_207	94.34
cd4_tagsort_208	97.05
cd4_tagsort_209	95.85
cd4_tagsort_20	97.40
cd4_tagsort_210	96.73
cd4_tagsort_211	69.41
cd4_tagsort_212	94.32
cd4_tagsort_213	94.77
cd4_tagsort_214	96.95
