cell	mt_content
cd4_tagsort_100	0.021001
cd4_tagsort_101	0.132394
cd4_tagsort_102	0.025047
cd4_tagsort_103	0.017377
cd4_tagsort_104	0.012728
cd4_tagsort_105	0.021458
cd4_tagsort_106	0.007473
cd4_tagsort_107	0.084888
cd4_tagsort_108	0.023115
cd4_tagsort_109	0.104543
cd4_tagsort_10	0.006393
cd4_tagsort_110	0.014480
cd4_tagsort_111	0.005694
cd4_tagsort_112	0.006842
cd4_tagsort_113	0.008049
cd4_tagsort_114	0.082832
cd4_tagsort_115	0.004508
cd4_tagsort_116	0.013926
cd4_tagsort_117	0.006242
cd4_tagsort_118	0.016972
cd4_tagsort_119	0.002573
cd4_tagsort_11	0.005861
cd4_tagsort_120	0.007198
cd4_tagsort_121	0.026863
cd4_tagsort_122	0.012557
cd4_tagsort_123	0.031802
cd4_tagsort_124	0.033157
cd4_tagsort_125	0.022703
cd4_tagsort_126	0.011251
cd4_tagsort_127	0.055487
cd4_tagsort_128	0.018051
cd4_tagsort_129	0.033476
cd4_tagsort_12	0.017180
cd4_tagsort_130	0.026152
cd4_tagsort_131	0.009870
cd4_tagsort_132	0.074885
cd4_tagsort_133	0.018197
cd4_tagsort_134	0.013739
cd4_tagsort_135	0.008090
cd4_tagsort_136	0.099479
cd4_tagsort_137	0.004140
cd4_tagsort_138	0.052732
cd4_tagsort_139	0.024950
cd4_tagsort_13	0.030922
cd4_tagsort_140	0.008889
cd4_tagsort_141	0.014850
cd4_tagsort_142	0.037880
cd4_tagsort_143	0.029849
cd4_tagsort_144	0.003290
cd4_tagsort_145	0.015152
cd4_tagsort_146	0.014979
cd4_tagsort_147	0.012797
cd4_tagsort_148	0.010952
cd4_tagsort_149	0.003924
cd4_tagsort_14	0.008968
cd4_tagsort_150	0.016949
cd4_tagsort_151	0.009022
cd4_tagsort_152	0.019867
cd4_tagsort_153	0.034290
cd4_tagsort_154	0.014420
cd4_tagsort_155	0.027239
cd4_tagsort_156	0.014283
cd4_tagsort_157	0.035791
cd4_tagsort_158	0.000000
cd4_tagsort_159	0.002451
cd4_tagsort_15	0.015805
cd4_tagsort_160	0.014762
cd4_tagsort_161	0.065849
cd4_tagsort_162	0.030704
cd4_tagsort_163	0.001832
cd4_tagsort_164	0.013269
cd4_tagsort_165	0.002129
cd4_tagsort_166	0.017307
cd4_tagsort_167	0.031115
cd4_tagsort_168	0.016181
cd4_tagsort_169	0.002544
cd4_tagsort_16	0.003413
cd4_tagsort_170	0.005166
cd4_tagsort_171	0.011586
cd4_tagsort_172	0.120986
cd4_tagsort_173	0.005321
cd4_tagsort_174	0.079487
cd4_tagsort_175	0.012243
cd4_tagsort_176	0.027615
cd4_tagsort_177	0.012730
cd4_tagsort_178	0.017860
cd4_tagsort_179	0.006875
cd4_tagsort_17	0.044241
cd4_tagsort_180	0.014083
cd4_tagsort_181	0.014812
cd4_tagsort_182	0.042104
cd4_tagsort_183	0.020678
cd4_tagsort_184	0.009035
cd4_tagsort_185	0.023622
cd4_tagsort_186	0.027131
cd4_tagsort_187	0.012768
cd4_tagsort_188	0.011417
cd4_tagsort_189	0.016509
cd4_tagsort_18	0.192852
cd4_tagsort_190	0.021272
cd4_tagsort_191	0.003295
cd4_tagsort_192	0.034162
cd4_tagsort_193	0.042348
cd4_tagsort_194	0.007511
cd4_tagsort_195	0.005188
cd4_tagsort_196	0.008557
cd4_tagsort_197	0.099973
cd4_tagsort_198	0.016358
cd4_tagsort_199	0.014505
cd4_tagsort_19	0.068496
cd4_tagsort_1	0.006361
cd4_tagsort_200	0.024543
cd4_tagsort_201	0.024438
cd4_tagsort_202	0.011379
cd4_tagsort_203	0.012623
cd4_tagsort_204	0.004803
cd4_tagsort_205	0.011270
cd4_tagsort_206	0.026099
cd4_tagsort_207	0.001048
cd4_tagsort_208	0.017920
cd4_tagsort_209	0.012728
cd4_tagsort_20	0.015259
cd4_tagsort_210	0.063152
cd4_tagsort_211	0.000000
cd4_tagsort_212	0.049955
cd4_tagsort_213	0.007663
cd4_tagsort_214	0.011118
cd4_tagsort_215	0.011813
cd4_tagsort_216	0.008256
cd4_tagsort_217	0.047412
cd4_tagsort_218	0.029571
cd4_tagsort_219	0.022927
cd4_tagsort_21	0.013661
cd4_tagsort_220	0.014130
cd4_tagsort_221	0.019853
cd4_tagsort_222	0.041371
cd4_tagsort_223	0.049953
cd4_tagsort_224	0.018422
cd4_tagsort_225	0.041955
cd4_tagsort_226	0.006095
cd4_tagsort_227	0.022051
cd4_tagsort_228	0.047385
cd4_tagsort_229	0.004990
cd4_tagsort_22	0.023631
cd4_tagsort_230	0.089246
cd4_tagsort_231	0.010535
cd4_tagsort_232	0.062300
cd4_tagsort_233	0.007720
cd4_tagsort_234	0.004887
cd4_tagsort_235	0.011302
cd4_tagsort_236	0.021619
cd4_tagsort_237	0.014038
cd4_tagsort_238	0.001566
cd4_tagsort_239	0.008776
cd4_tagsort_23	0.064935
cd4_tagsort_240	0.010963
cd4_tagsort_241	0.087107
cd4_tagsort_242	0.026148
cd4_tagsort_243	0.031507
cd4_tagsort_244	0.028368
cd4_tagsort_245	0.023301
cd4_tagsort_246	0.057148
cd4_tagsort_247	0.031410
cd4_tagsort_248	0.018269
cd4_tagsort_249	0.013830
cd4_tagsort_24	0.024991
cd4_tagsort_250	0.016800
cd4_tagsort_251	0.009997
cd4_tagsort_252	0.011077
cd4_tagsort_253	0.015550
cd4_tagsort_254	0.002808
cd4_tagsort_255	0.005060
cd4_tagsort_256	0.023148
cd4_tagsort_257	0.006025
cd4_tagsort_258	0.019844
cd4_tagsort_259	0.017098
cd4_tagsort_25	0.008493
cd4_tagsort_260	0.007192
cd4_tagsort_261	0.013930
cd4_tagsort_262	0.031167
cd4_tagsort_263	0.010018
cd4_tagsort_264	0.008778
cd4_tagsort_265	0.005841
cd4_tagsort_266	0.033881
cd4_tagsort_267	0.017857
cd4_tagsort_268	0.011892
cd4_tagsort_269	0.024390
cd4_tagsort_26	0.017857
cd4_tagsort_270	0.006156
cd4_tagsort_271	0.049019
cd4_tagsort_272	0.015756
cd4_tagsort_273	0.009745
cd4_tagsort_274	0.005233
cd4_tagsort_275	0.000158
cd4_tagsort_276	0.003496
cd4_tagsort_277	0.010439
cd4_tagsort_278	0.293160
cd4_tagsort_279	0.003166
cd4_tagsort_27	0.029198
cd4_tagsort_280	0.013659
cd4_tagsort_281	0.018055
cd4_tagsort_282	0.010812
cd4_tagsort_283	0.175395
cd4_tagsort_284	0.031824
cd4_tagsort_285	0.028726
cd4_tagsort_286	0.033383
cd4_tagsort_287	0.014432
cd4_tagsort_288	0.015421
cd4_tagsort_289	0.031946
cd4_tagsort_28	0.013094
cd4_tagsort_290	0.013448
cd4_tagsort_291	0.005053
cd4_tagsort_292	0.009174
cd4_tagsort_293	0.023144
cd4_tagsort_294	0.029529
cd4_tagsort_295	0.096500
cd4_tagsort_296	0.031007
cd4_tagsort_297	0.025324
cd4_tagsort_298	0.025484
cd4_tagsort_299	0.178068
cd4_tagsort_29	0.010638
cd4_tagsort_2	0.003450
cd4_tagsort_300	0.017247
cd4_tagsort_301	0.024385
cd4_tagsort_302	0.005741
cd4_tagsort_303	0.040000
cd4_tagsort_304	0.039329
cd4_tagsort_305	0.007306
cd4_tagsort_306	0.008025
cd4_tagsort_307	0.007142
cd4_tagsort_308	0.023256
cd4_tagsort_309	0.009349
cd4_tagsort_30	0.052737
cd4_tagsort_310	0.021797
cd4_tagsort_311	0.014760
cd4_tagsort_312	0.029564
cd4_tagsort_313	0.009907
cd4_tagsort_314	0.022458
cd4_tagsort_315	0.002130
cd4_tagsort_316	0.010796
cd4_tagsort_317	0.022155
cd4_tagsort_318	0.008544
cd4_tagsort_319	0.014395
cd4_tagsort_31	0.022831
cd4_tagsort_320	0.014611
cd4_tagsort_321	0.019145
cd4_tagsort_322	0.015039
cd4_tagsort_323	0.022719
cd4_tagsort_324	0.006962
cd4_tagsort_325	0.183143
cd4_tagsort_326	0.029036
cd4_tagsort_327	0.024914
cd4_tagsort_328	0.099787
cd4_tagsort_329	0.039962
cd4_tagsort_32	0.052803
cd4_tagsort_330	0.013961
cd4_tagsort_331	0.014415
cd4_tagsort_332	0.013347
cd4_tagsort_333	0.011884
cd4_tagsort_334	0.027854
cd4_tagsort_335	0.011743
cd4_tagsort_336	0.023621
cd4_tagsort_337	0.010691
cd4_tagsort_338	0.006742
cd4_tagsort_339	0.026628
cd4_tagsort_33	0.012104
cd4_tagsort_340	0.144246
cd4_tagsort_341	0.027079
cd4_tagsort_342	0.014012
cd4_tagsort_343	0.016544
cd4_tagsort_344	0.022657
cd4_tagsort_345	0.009645
cd4_tagsort_346	0.019424
cd4_tagsort_347	0.006753
cd4_tagsort_348	0.017742
cd4_tagsort_349	0.005028
cd4_tagsort_34	0.041353
cd4_tagsort_350	0.062105
cd4_tagsort_351	0.015335
cd4_tagsort_352	0.019245
cd4_tagsort_353	0.018069
cd4_tagsort_354	0.025566
cd4_tagsort_355	0.054625
cd4_tagsort_356	0.027488
cd4_tagsort_357	0.069363
cd4_tagsort_358	0.000081
cd4_tagsort_359	0.028793
cd4_tagsort_35	0.012282
cd4_tagsort_360	0.011051
cd4_tagsort_361	0.005689
cd4_tagsort_362	0.014983
cd4_tagsort_363	0.012617
cd4_tagsort_364	0.004719
cd4_tagsort_365	0.011160
cd4_tagsort_366	0.004574
cd4_tagsort_367	0.005566
cd4_tagsort_368	0.003243
cd4_tagsort_369	0.004479
cd4_tagsort_36	0.000194
cd4_tagsort_370	0.000000
cd4_tagsort_371	0.007029
cd4_tagsort_372	0.010348
cd4_tagsort_373	0.021968
cd4_tagsort_374	0.005011
cd4_tagsort_375	0.012409
cd4_tagsort_376	0.012770
cd4_tagsort_377	0.053097
cd4_tagsort_378	0.011293
cd4_tagsort_379	0.016336
