cell	sequencing_depth
cd4_tagsort_100	478500
cd4_tagsort_101	38105
cd4_tagsort_102	580006
cd4_tagsort_103	705742
cd4_tagsort_104	429165
cd4_tagsort_105	764884
cd4_tagsort_106	439774
cd4_tagsort_107	235772
cd4_tagsort_108	616079
cd4_tagsort_109	59261
cd4_tagsort_10	784030
cd4_tagsort_110	866731
cd4_tagsort_111	210833
cd4_tagsort_112	916481
cd4_tagsort_113	803248
cd4_tagsort_114	75781
cd4_tagsort_115	791720
cd4_tagsort_116	935519
cd4_tagsort_117	1091728
cd4_tagsort_118	1004718
cd4_tagsort_119	674430
cd4_tagsort_11	756059
cd4_tagsort_120	797203
cd4_tagsort_121	974987
cd4_tagsort_122	1042336
cd4_tagsort_123	493788
cd4_tagsort_124	1006705
cd4_tagsort_125	90520
cd4_tagsort_126	192710
cd4_tagsort_127	195622
cd4_tagsort_128	219932
cd4_tagsort_129	364698
cd4_tagsort_12	877918
cd4_tagsort_130	775940
cd4_tagsort_131	416274
cd4_tagsort_132	95810
cd4_tagsort_133	756633
cd4_tagsort_134	807208
cd4_tagsort_135	1801519
cd4_tagsort_136	42486
cd4_tagsort_137	829352
cd4_tagsort_138	288109
cd4_tagsort_139	785399
cd4_tagsort_13	908922
cd4_tagsort_140	629
cd4_tagsort_141	907746
cd4_tagsort_142	232936
cd4_tagsort_143	764309
cd4_tagsort_144	822029
cd4_tagsort_145	469
cd4_tagsort_146	617021
cd4_tagsort_147	181498
cd4_tagsort_148	866164
cd4_tagsort_149	756444
cd4_tagsort_14	869074
cd4_tagsort_150	179
cd4_tagsort_151	748855
cd4_tagsort_152	1236818
cd4_tagsort_153	854329
cd4_tagsort_154	325019
cd4_tagsort_155	748910
cd4_tagsort_156	769341
cd4_tagsort_157	810122
cd4_tagsort_158	125
cd4_tagsort_159	157542
cd4_tagsort_15	790819
cd4_tagsort_160	811816
cd4_tagsort_161	124447
cd4_tagsort_162	524953
cd4_tagsort_163	542176
cd4_tagsort_164	852241
cd4_tagsort_165	71849
cd4_tagsort_166	400222
cd4_tagsort_167	75308
cd4_tagsort_168	748397
cd4_tagsort_169	805223
cd4_tagsort_16	660243
cd4_tagsort_170	750553
cd4_tagsort_171	999699
cd4_tagsort_172	91216
cd4_tagsort_173	818834
cd4_tagsort_174	257406
cd4_tagsort_175	754047
cd4_tagsort_176	646731
cd4_tagsort_177	911224
cd4_tagsort_178	764748
cd4_tagsort_179	716632
cd4_tagsort_17	697787
cd4_tagsort_180	814683
cd4_tagsort_181	614361
cd4_tagsort_182	275917
cd4_tagsort_183	801226
cd4_tagsort_184	756210
cd4_tagsort_185	314
cd4_tagsort_186	805670
cd4_tagsort_187	241925
cd4_tagsort_188	735231
cd4_tagsort_189	627331
cd4_tagsort_18	103919
cd4_tagsort_190	716745
cd4_tagsort_191	1097888
cd4_tagsort_192	618639
cd4_tagsort_193	67313
cd4_tagsort_194	669366
cd4_tagsort_195	537673
cd4_tagsort_196	332655
cd4_tagsort_197	180906
cd4_tagsort_198	565069
cd4_tagsort_199	538535
cd4_tagsort_19	116279
cd4_tagsort_1	605229
cd4_tagsort_200	893619
cd4_tagsort_201	631798
cd4_tagsort_202	765778
cd4_tagsort_203	1042264
cd4_tagsort_204	209468
cd4_tagsort_205	776822
cd4_tagsort_206	428687
cd4_tagsort_207	45406
cd4_tagsort_208	716809
cd4_tagsort_209	912728
cd4_tagsort_20	689103
cd4_tagsort_210	85669
cd4_tagsort_211	188
cd4_tagsort_212	51515
cd4_tagsort_213	860070
cd4_tagsort_214	669130
cd4_tagsort_215	602523
cd4_tagsort_216	611289
cd4_tagsort_217	153066
cd4_tagsort_218	241916
cd4_tagsort_219	860529
cd4_tagsort_21	955516
cd4_tagsort_220	696777
cd4_tagsort_221	768396
cd4_tagsort_222	492487
cd4_tagsort_223	518638
cd4_tagsort_224	804801
cd4_tagsort_225	374766
cd4_tagsort_226	925319
cd4_tagsort_227	1899110
cd4_tagsort_228	214920
cd4_tagsort_229	800097
cd4_tagsort_22	1013922
cd4_tagsort_230	73245
cd4_tagsort_231	1469469
cd4_tagsort_232	149678
cd4_tagsort_233	694068
cd4_tagsort_234	810405
cd4_tagsort_235	804121
cd4_tagsort_236	329728
cd4_tagsort_237	801447
cd4_tagsort_238	643504
cd4_tagsort_239	842723
cd4_tagsort_23	52166
cd4_tagsort_240	797491
cd4_tagsort_241	148789
cd4_tagsort_242	913342
cd4_tagsort_243	961491
cd4_tagsort_244	585820
cd4_tagsort_245	749907
cd4_tagsort_246	138660
cd4_tagsort_247	471200
cd4_tagsort_248	1014162
cd4_tagsort_249	1127302
cd4_tagsort_24	582066
cd4_tagsort_250	763199
cd4_tagsort_251	551884
cd4_tagsort_252	776551
cd4_tagsort_253	161611
cd4_tagsort_254	109462
cd4_tagsort_255	745694
cd4_tagsort_256	779579
cd4_tagsort_257	817392
cd4_tagsort_258	847121
cd4_tagsort_259	388940
cd4_tagsort_25	806433
cd4_tagsort_260	500873
cd4_tagsort_261	479934
cd4_tagsort_262	841715
cd4_tagsort_263	857958
cd4_tagsort_264	1410522
cd4_tagsort_265	800241
cd4_tagsort_266	551056
cd4_tagsort_267	139
cd4_tagsort_268	720244
cd4_tagsort_269	224
cd4_tagsort_26	829019
cd4_tagsort_270	785809
cd4_tagsort_271	506633
cd4_tagsort_272	802187
cd4_tagsort_273	921362
cd4_tagsort_274	853868
cd4_tagsort_275	880850
cd4_tagsort_276	800313
cd4_tagsort_277	667820
cd4_tagsort_278	59771
cd4_tagsort_279	906151
cd4_tagsort_27	799605
cd4_tagsort_280	752484
cd4_tagsort_281	864557
cd4_tagsort_282	778667
cd4_tagsort_283	91618
cd4_tagsort_284	572116
cd4_tagsort_285	298779
cd4_tagsort_286	1188518
cd4_tagsort_287	850968
cd4_tagsort_288	926251
cd4_tagsort_289	759108
cd4_tagsort_28	1018566
cd4_tagsort_290	1555104
cd4_tagsort_291	201717
cd4_tagsort_292	299
cd4_tagsort_293	778352
cd4_tagsort_294	107903
cd4_tagsort_295	129357
cd4_tagsort_296	817525
cd4_tagsort_297	380716
cd4_tagsort_298	689309
cd4_tagsort_299	102166
cd4_tagsort_29	224
cd4_tagsort_2	802446
cd4_tagsort_300	770383
cd4_tagsort_301	830429
cd4_tagsort_302	613520
cd4_tagsort_303	135
cd4_tagsort_304	200492
cd4_tagsort_305	672131
cd4_tagsort_306	1453124
cd4_tagsort_307	762376
cd4_tagsort_308	183126
cd4_tagsort_309	756581
cd4_tagsort_30	210230
cd4_tagsort_310	382252
cd4_tagsort_311	875973
cd4_tagsort_312	353980
cd4_tagsort_313	710100
cd4_tagsort_314	805297
cd4_tagsort_315	707355
cd4_tagsort_316	704299
cd4_tagsort_317	768596
cd4_tagsort_318	592194
cd4_tagsort_319	910113
cd4_tagsort_31	961235
cd4_tagsort_320	742211
cd4_tagsort_321	889944
cd4_tagsort_322	738754
cd4_tagsort_323	716403
cd4_tagsort_324	717983
cd4_tagsort_325	65744
cd4_tagsort_326	690942
cd4_tagsort_327	90078
cd4_tagsort_328	88536
cd4_tagsort_329	133727
cd4_tagsort_32	217855
cd4_tagsort_330	582181
cd4_tagsort_331	255514
cd4_tagsort_332	845181
cd4_tagsort_333	798884
cd4_tagsort_334	821159
cd4_tagsort_335	875165
cd4_tagsort_336	994513
cd4_tagsort_337	1290335
cd4_tagsort_338	554228
cd4_tagsort_339	840419
