cell	uniq_frags
cd4_tagsort_100	29509.000000
cd4_tagsort_101	1232.000000
cd4_tagsort_102	21642.000000
cd4_tagsort_103	26690.000000
cd4_tagsort_104	17142.000000
cd4_tagsort_105	30189.000000
cd4_tagsort_106	17132.000000
cd4_tagsort_107	7751.000000
cd4_tagsort_108	23624.000000
cd4_tagsort_109	2030.000000
cd4_tagsort_10	30773.000000
cd4_tagsort_110	34847.000000
cd4_tagsort_111	8556.000000
cd4_tagsort_112	38319.000000
cd4_tagsort_113	33030.000000
cd4_tagsort_114	2746.000000
cd4_tagsort_115	31577.000000
cd4_tagsort_116	37246.000000
cd4_tagsort_117	43780.000000
cd4_tagsort_118	37532.000000
cd4_tagsort_119	28304.000000
cd4_tagsort_11	30364.000000
cd4_tagsort_120	32411.000000
cd4_tagsort_121	38435.000000
cd4_tagsort_122	40499.000000
cd4_tagsort_123	18480.000000
cd4_tagsort_124	38199.000000
cd4_tagsort_125	3616.000000
cd4_tagsort_126	7558.000000
cd4_tagsort_127	6928.000000
cd4_tagsort_128	8758.000000
cd4_tagsort_129	14696.000000
cd4_tagsort_12	35239.000000
cd4_tagsort_130	29679.000000
cd4_tagsort_131	16050.000000
cd4_tagsort_132	3422.000000
cd4_tagsort_133	32481.000000
cd4_tagsort_134	34099.000000
cd4_tagsort_135	73446.000000
cd4_tagsort_136	1557.000000
cd4_tagsort_137	35362.000000
cd4_tagsort_138	11443.000000
cd4_tagsort_139	31069.000000
cd4_tagsort_13	36605.000000
cd4_tagsort_140	446.000000
cd4_tagsort_141	35028.000000
cd4_tagsort_142	8788.000000
cd4_tagsort_143	30552.000000
cd4_tagsort_144	33624.000000
cd4_tagsort_145	65.000000
cd4_tagsort_146	24528.000000
cd4_tagsort_147	7560.000000
cd4_tagsort_148	37116.000000
cd4_tagsort_149	31478.000000
cd4_tagsort_14	36356.000000
cd4_tagsort_150	58.000000
cd4_tagsort_151	29988.000000
cd4_tagsort_152	52935.000000
cd4_tagsort_153	34584.000000
cd4_tagsort_154	13260.000000
cd4_tagsort_155	28677.000000
cd4_tagsort_156	31400.000000
