cell	dup_level
human_skin_fibr_001	0.863585
human_skin_fibr_002	0.871766
human_skin_fibr_003	0.86973
human_skin_fibr_004	0.86382
human_skin_fibr_005	0.868589
human_skin_fibr_006	0.870617
human_skin_fibr_007	0.880534
human_skin_fibr_008	0.872684
human_skin_fibr_009	0.863018
human_skin_fibr_010	0.874818
human_skin_fibr_011	0.878811
human_skin_fibr_012	0.874653
human_skin_fibr_013	0.878735
human_skin_fibr_014	0.875484
human_skin_fibr_015	0.88433
human_skin_fibr_016	0.876074
human_skin_fibr_017	0.876376
human_skin_fibr_018	0.878683
human_skin_fibr_019	0.876844
human_skin_fibr_020	0.878992
human_skin_fibr_021	0.882299
human_skin_fibr_022	0.885916
human_skin_fibr_023	0.87651
human_skin_fibr_024	0.879618
human_skin_fibr_025	0.873075
human_skin_fibr_026	0.875156
human_skin_fibr_027	0.877871
human_skin_fibr_028	0.87518
human_skin_fibr_029	0.879405
human_skin_fibr_030	0.868836
human_skin_fibr_031	0.884955
human_skin_fibr_032	0.881533
human_skin_fibr_033	0.876069
human_skin_fibr_034	0.879807
human_skin_fibr_035	0.881134
human_skin_fibr_036	0.877391
human_skin_fibr_037	0.881387
human_skin_fibr_038	0.879309
human_skin_fibr_039	0.883369
human_skin_fibr_040	0.87608
human_skin_fibr_041	0.878604
human_skin_fibr_042	0.882732
human_skin_fibr_043	0.882577
human_skin_fibr_044	0.878166
human_skin_fibr_045	0.879463
human_skin_fibr_046	0.887574
human_skin_fibr_047	0.884556
human_skin_fibr_048	0
human_skin_fibr_049	0.875821
human_skin_fibr_050	0.876794
human_skin_fibr_051	0.87754
human_skin_fibr_052	0.879695
human_skin_fibr_053	0.87843
human_skin_fibr_054	0.880979
human_skin_fibr_055	0.878307
human_skin_fibr_056	0.879648
human_skin_fibr_057	0.879463
human_skin_fibr_058	0.882266
human_skin_fibr_059	0.883818
human_skin_fibr_060	0.878382
human_skin_fibr_061	0.879884
human_skin_fibr_062	0.87819
human_skin_fibr_063	0.881523
human_skin_fibr_064	0.880855
human_skin_fibr_065	0.876688
human_skin_fibr_066	0.876963
human_skin_fibr_067	0.880903
human_skin_fibr_068	0.878306
human_skin_fibr_069	0.88184
human_skin_fibr_070	0.886709
human_skin_fibr_071	0.882442
human_skin_fibr_072	0.884636
human_skin_fibr_073	0.862826
human_skin_fibr_074	0.862966
human_skin_fibr_075	0.870422
human_skin_fibr_076	0.869377
human_skin_fibr_077	0.867229
human_skin_fibr_078	0.86929
human_skin_fibr_079	0.872736
human_skin_fibr_080	0.870177
human_skin_fibr_081	0.865161
human_skin_fibr_082	0.867136
human_skin_fibr_083	0.870993
human_skin_fibr_084	0.867826
human_skin_fibr_085	0.868793
human_skin_fibr_086	0.873531
human_skin_fibr_087	0.873597
human_skin_fibr_088	0.870612
human_skin_fibr_089	0.865008
human_skin_fibr_090	0.866474
human_skin_fibr_091	0.869448
human_skin_fibr_092	0.87064
human_skin_fibr_093	0.872193
human_skin_fibr_094	0.878538
human_skin_fibr_095	0.878054
human_skin_fibr_096	0.874683
human_skin_fibr_097	0.880814
human_skin_fibr_098	0.87773
human_skin_fibr_099	0.881734
human_skin_fibr_100	0.850831
human_skin_fibr_101	0.879624
human_skin_fibr_102	0.880363
human_skin_fibr_103	0.880852
human_skin_fibr_104	0.871315
human_skin_fibr_105	0.875712
human_skin_fibr_106	0.881665
human_skin_fibr_107	0.881051
human_skin_fibr_108	0.873126
human_skin_fibr_109	0.874095
human_skin_fibr_110	0.873259
human_skin_fibr_111	0.880824
human_skin_fibr_112	0.874236
human_skin_fibr_113	0.873881
human_skin_fibr_114	0.87298
