cell	frac_open
human_skin_fibr_001	0.241461
human_skin_fibr_002	0.103869
human_skin_fibr_003	0.413263
human_skin_fibr_004	0.231923
human_skin_fibr_005	0.171774
human_skin_fibr_006	0.171204
human_skin_fibr_007	0.296327
human_skin_fibr_008	0.304726
human_skin_fibr_009	0.250145
human_skin_fibr_010	0.280173
human_skin_fibr_011	0.221265
human_skin_fibr_012	0.224242
human_skin_fibr_013	0.212802
human_skin_fibr_014	0.171710
human_skin_fibr_015	0.173106
human_skin_fibr_016	0.307887
human_skin_fibr_017	0.192155
human_skin_fibr_018	0.276599
human_skin_fibr_019	0.039999
human_skin_fibr_020	0.282452
human_skin_fibr_021	0.135754
human_skin_fibr_022	0.117698
human_skin_fibr_023	0.168760
human_skin_fibr_024	0.262844
human_skin_fibr_025	0.195821
human_skin_fibr_026	0.232098
human_skin_fibr_027	0.186191
human_skin_fibr_028	0.117744
human_skin_fibr_029	0.297531
human_skin_fibr_030	0.127907
human_skin_fibr_031	0.292771
human_skin_fibr_032	0.254565
human_skin_fibr_033	0.164928
human_skin_fibr_034	0.266730
human_skin_fibr_035	0.249630
human_skin_fibr_036	0.215595
human_skin_fibr_037	0.147764
human_skin_fibr_038	0.190087
human_skin_fibr_039	0.174540
human_skin_fibr_040	0.181725
human_skin_fibr_041	0.259324
human_skin_fibr_042	0.311002
human_skin_fibr_043	0.223442
human_skin_fibr_044	0.166334
human_skin_fibr_045	0.218480
human_skin_fibr_046	0.181036
human_skin_fibr_047	0.241158
human_skin_fibr_048	0.000809
human_skin_fibr_049	0.217267
human_skin_fibr_050	0.269349
human_skin_fibr_051	0.046771
human_skin_fibr_052	0.277656
human_skin_fibr_053	0.171645
human_skin_fibr_054	0.104099
human_skin_fibr_055	0.054296
human_skin_fibr_056	0.379752
human_skin_fibr_057	0.218600
human_skin_fibr_058	0.315651
human_skin_fibr_059	0.219859
human_skin_fibr_060	0.227081
human_skin_fibr_061	0.202060
human_skin_fibr_062	0.208851
human_skin_fibr_063	0.269652
human_skin_fibr_064	0.334828
