cell	frip
human_skin_fibr_001	0.655034
human_skin_fibr_002	0.553457
human_skin_fibr_003	0.584710
human_skin_fibr_004	0.620541
human_skin_fibr_005	0.638624
human_skin_fibr_006	0.674366
human_skin_fibr_007	0.564900
human_skin_fibr_008	0.655549
human_skin_fibr_009	0.526673
human_skin_fibr_010	0.563319
human_skin_fibr_011	0.576213
human_skin_fibr_012	0.577798
human_skin_fibr_013	0.656277
human_skin_fibr_014	0.571743
human_skin_fibr_015	0.634910
human_skin_fibr_016	0.633006
human_skin_fibr_017	0.624267
human_skin_fibr_018	0.544292
human_skin_fibr_019	0.665089
human_skin_fibr_020	0.579733
human_skin_fibr_021	0.620756
human_skin_fibr_022	0.624961
human_skin_fibr_023	0.596430
human_skin_fibr_024	0.728085
human_skin_fibr_025	0.586485
human_skin_fibr_026	0.589612
human_skin_fibr_027	0.641650
human_skin_fibr_028	0.679080
human_skin_fibr_029	0.528785
human_skin_fibr_030	0.541420
human_skin_fibr_031	0.572811
human_skin_fibr_032	0.657261
human_skin_fibr_033	0.602656
human_skin_fibr_034	0.567054
human_skin_fibr_035	0.637069
human_skin_fibr_036	0.665675
human_skin_fibr_037	0.663566
human_skin_fibr_038	0.567553
human_skin_fibr_039	0.614923
human_skin_fibr_040	0.615232
human_skin_fibr_041	0.567847
human_skin_fibr_042	0.586865
human_skin_fibr_043	0.690573
human_skin_fibr_044	0.654675
human_skin_fibr_045	0.576669
human_skin_fibr_046	0.668952
human_skin_fibr_047	0.615076
human_skin_fibr_048	0.674419
human_skin_fibr_049	0.599828
human_skin_fibr_050	0.671635
human_skin_fibr_051	0.714918
human_skin_fibr_052	0.558738
human_skin_fibr_053	0.637977
human_skin_fibr_054	0.629830
human_skin_fibr_055	0.714905
human_skin_fibr_056	0.636376
human_skin_fibr_057	0.573633
human_skin_fibr_058	0.667769
human_skin_fibr_059	0.553759
human_skin_fibr_060	0.590647
human_skin_fibr_061	0.589057
human_skin_fibr_062	0.559277
human_skin_fibr_063	0.547432
human_skin_fibr_064	0.541492
human_skin_fibr_065	0.635208
human_skin_fibr_066	0.642121
human_skin_fibr_067	0.692869
human_skin_fibr_068	0.595331
human_skin_fibr_069	0.655492
human_skin_fibr_070	0.585491
human_skin_fibr_071	0.589028
human_skin_fibr_072	0.663513
human_skin_fibr_073	0.688185
human_skin_fibr_074	0.647713
human_skin_fibr_075	0.624632
human_skin_fibr_076	0.672186
