cell	library_size
human_skin_fibr_001	63456
human_skin_fibr_002	37559
human_skin_fibr_003	163652
human_skin_fibr_004	65223
human_skin_fibr_005	41290
human_skin_fibr_006	37572
human_skin_fibr_007	91099
human_skin_fibr_008	88659
human_skin_fibr_009	76046
human_skin_fibr_010	91045
human_skin_fibr_011	83917
human_skin_fibr_012	72050
human_skin_fibr_013	56046
human_skin_fibr_014	42491
human_skin_fibr_015	39726
human_skin_fibr_016	93333
human_skin_fibr_017	48595
human_skin_fibr_018	82023
human_skin_fibr_019	7080
human_skin_fibr_020	78545
human_skin_fibr_021	32791
human_skin_fibr_022	25355
human_skin_fibr_023	43459
human_skin_fibr_024	72775
human_skin_fibr_025	55412
human_skin_fibr_026	58175
human_skin_fibr_027	45381
human_skin_fibr_028	23798
human_skin_fibr_029	96100
human_skin_fibr_030	41594
human_skin_fibr_031	90201
human_skin_fibr_032	69743
human_skin_fibr_033	39021
human_skin_fibr_034	75412
human_skin_fibr_035	73986
human_skin_fibr_036	56319
human_skin_fibr_037	30425
human_skin_fibr_038	53364
human_skin_fibr_039	41587
human_skin_fibr_040	45123
human_skin_fibr_041	74827
human_skin_fibr_042	99979
human_skin_fibr_043	57716
human_skin_fibr_044	40052
human_skin_fibr_045	57084
human_skin_fibr_046	41653
human_skin_fibr_047	66085
human_skin_fibr_048	
human_skin_fibr_049	53639
human_skin_fibr_050	77082
human_skin_fibr_051	8133
human_skin_fibr_052	83833
human_skin_fibr_053	40727
human_skin_fibr_054	23220
human_skin_fibr_055	9120
human_skin_fibr_056	140825
human_skin_fibr_057	57529
human_skin_fibr_058	117811
human_skin_fibr_059	63424
human_skin_fibr_060	60178
human_skin_fibr_061	54147
human_skin_fibr_062	62967
human_skin_fibr_063	79162
human_skin_fibr_064	105285
human_skin_fibr_065	14711
human_skin_fibr_066	45893
human_skin_fibr_067	74953
human_skin_fibr_068	51670
human_skin_fibr_069	29612
human_skin_fibr_070	81528
human_skin_fibr_071	60942
human_skin_fibr_072	91283
human_skin_fibr_073	101323
human_skin_fibr_074	58578
human_skin_fibr_075	65923
human_skin_fibr_076	37674
human_skin_fibr_077	63025
human_skin_fibr_078	61041
human_skin_fibr_079	107878
human_skin_fibr_080	115912
human_skin_fibr_081	50094
human_skin_fibr_082	76364
human_skin_fibr_083	80175
human_skin_fibr_084	47177
human_skin_fibr_085	56699
human_skin_fibr_086	86398
human_skin_fibr_087	90609
human_skin_fibr_088	72010
human_skin_fibr_089	127601
human_skin_fibr_090	41988
human_skin_fibr_091	55227
human_skin_fibr_092	47845
human_skin_fibr_093	58351
human_skin_fibr_094	130757
human_skin_fibr_095	120680
human_skin_fibr_096	64848
human_skin_fibr_097	60384
human_skin_fibr_098	97158
human_skin_fibr_099	71508
human_skin_fibr_100	61720
human_skin_fibr_101	53804
human_skin_fibr_102	53082
human_skin_fibr_103	166742
human_skin_fibr_104	8030
human_skin_fibr_105	78939
human_skin_fibr_106	70285
human_skin_fibr_107	62788
human_skin_fibr_108	41276
human_skin_fibr_109	43915
human_skin_fibr_110	76795
human_skin_fibr_111	33244
human_skin_fibr_112	75718
human_skin_fibr_113	68998
human_skin_fibr_114	35875
human_skin_fibr_115	34756
human_skin_fibr_116	49437
human_skin_fibr_117	55145
human_skin_fibr_118	57951
human_skin_fibr_119	58187
human_skin_fibr_120	54168
human_skin_fibr_121	41440
human_skin_fibr_122	35802
human_skin_fibr_123	60376
human_skin_fibr_124	100749
human_skin_fibr_125	632
human_skin_fibr_126	44967
human_skin_fibr_127	77385
human_skin_fibr_128	50757
human_skin_fibr_129	96438
human_skin_fibr_130	62342
human_skin_fibr_131	44301
human_skin_fibr_132	70345
human_skin_fibr_133	240358
human_skin_fibr_134	69027
human_skin_fibr_135	32875
human_skin_fibr_136	70522
human_skin_fibr_137	55705
human_skin_fibr_138	95443
human_skin_fibr_139	69866
human_skin_fibr_140	114491
human_skin_fibr_141	68251
human_skin_fibr_142	31367
human_skin_fibr_143	50533
human_skin_fibr_144	42259
human_skin_fibr_145	352
human_skin_fibr_146	46908
human_skin_fibr_147	28335
human_skin_fibr_148	87190
human_skin_fibr_149	81691
human_skin_fibr_150	65063
human_skin_fibr_151	87026
human_skin_fibr_152	47883
human_skin_fibr_153	104527
human_skin_fibr_154	43847
human_skin_fibr_155	62457
human_skin_fibr_156	116320
human_skin_fibr_157	66788
human_skin_fibr_158	57998
human_skin_fibr_159	28033
human_skin_fibr_160	59157
human_skin_fibr_161	82075
human_skin_fibr_162	84460
human_skin_fibr_163	39935
human_skin_fibr_164	67826
human_skin_fibr_165	87092
human_skin_fibr_166	67793
human_skin_fibr_167	94233
human_skin_fibr_168	51694
human_skin_fibr_169	51631
human_skin_fibr_170	28147
human_skin_fibr_171	55381
human_skin_fibr_172	16756
human_skin_fibr_173	128617
human_skin_fibr_174	60944
human_skin_fibr_175	30718
human_skin_fibr_176	46337
human_skin_fibr_177	22310
human_skin_fibr_178	44163
human_skin_fibr_179	27956
human_skin_fibr_180	23955
human_skin_fibr_181	47327
human_skin_fibr_182	55337
human_skin_fibr_183	59901
human_skin_fibr_184	79398
human_skin_fibr_185	49354
human_skin_fibr_186	
human_skin_fibr_187	42243
human_skin_fibr_188	47643
human_skin_fibr_189	146794
human_skin_fibr_190	46173
human_skin_fibr_191	88534
human_skin_fibr_192	58524
human_skin_fibr_193	8970
human_skin_fibr_194	57617
human_skin_fibr_195	75903
human_skin_fibr_196	56815
human_skin_fibr_197	82433
human_skin_fibr_198	23905
human_skin_fibr_199	44635
human_skin_fibr_200	65036
human_skin_fibr_201	65727
human_skin_fibr_202	85100
human_skin_fibr_203	33656
human_skin_fibr_204	116320
human_skin_fibr_205	82447
human_skin_fibr_206	154303
human_skin_fibr_207	35096
human_skin_fibr_208	50773
human_skin_fibr_209	101635
human_skin_fibr_210	23535
human_skin_fibr_211	85068
human_skin_fibr_212	99244
human_skin_fibr_213	92595
human_skin_fibr_214	26829
human_skin_fibr_215	2242
human_skin_fibr_216	128976
human_skin_fibr_217	21488
human_skin_fibr_218	146045
human_skin_fibr_219	47089
human_skin_fibr_220	70116
human_skin_fibr_221	50764
human_skin_fibr_222	44946
human_skin_fibr_223	56701
human_skin_fibr_224	53621
human_skin_fibr_225	75770
human_skin_fibr_226	86778
human_skin_fibr_227	49197
human_skin_fibr_228	60008
human_skin_fibr_229	128206
human_skin_fibr_230	55581
human_skin_fibr_231	48832
human_skin_fibr_232	60824
human_skin_fibr_233	79529
human_skin_fibr_234	49375
human_skin_fibr_235	24458
human_skin_fibr_236	80007
human_skin_fibr_237	54467
human_skin_fibr_238	44416
human_skin_fibr_239	112770
human_skin_fibr_240	54157
