cell	mapping_rate
human_skin_fibr_001	97.98
human_skin_fibr_002	94.99
human_skin_fibr_003	97.95
human_skin_fibr_004	97.72
human_skin_fibr_005	97.91
human_skin_fibr_006	97.98
human_skin_fibr_007	98.01
human_skin_fibr_008	98.10
human_skin_fibr_009	97.80
human_skin_fibr_010	97.83
human_skin_fibr_011	98.13
human_skin_fibr_012	97.53
human_skin_fibr_013	97.70
human_skin_fibr_014	97.98
human_skin_fibr_015	97.95
human_skin_fibr_016	97.70
human_skin_fibr_017	97.79
human_skin_fibr_018	97.83
human_skin_fibr_019	97.86
human_skin_fibr_020	97.97
human_skin_fibr_021	97.54
human_skin_fibr_022	98.04
human_skin_fibr_023	97.93
human_skin_fibr_024	98.34
human_skin_fibr_025	97.41
human_skin_fibr_026	98.03
human_skin_fibr_027	97.87
human_skin_fibr_028	98.09
human_skin_fibr_029	97.82
human_skin_fibr_030	96.60
human_skin_fibr_031	97.90
human_skin_fibr_032	98.23
human_skin_fibr_033	98.01
human_skin_fibr_034	97.99
human_skin_fibr_035	97.76
human_skin_fibr_036	97.79
human_skin_fibr_037	98.13
human_skin_fibr_038	97.73
human_skin_fibr_039	98.04
human_skin_fibr_040	97.97
human_skin_fibr_041	97.98
human_skin_fibr_042	98.08
human_skin_fibr_043	97.63
human_skin_fibr_044	98.02
human_skin_fibr_045	97.88
human_skin_fibr_046	98.04
human_skin_fibr_047	98.34
human_skin_fibr_048	74.81
human_skin_fibr_049	98.03
human_skin_fibr_050	97.71
human_skin_fibr_051	98.06
human_skin_fibr_052	97.90
human_skin_fibr_053	98.02
human_skin_fibr_054	97.86
human_skin_fibr_055	97.91
human_skin_fibr_056	97.89
human_skin_fibr_057	98.08
human_skin_fibr_058	97.73
human_skin_fibr_059	97.94
human_skin_fibr_060	97.88
human_skin_fibr_061	97.98
human_skin_fibr_062	97.78
human_skin_fibr_063	97.75
human_skin_fibr_064	97.95
human_skin_fibr_065	98.01
human_skin_fibr_066	97.94
human_skin_fibr_067	97.91
human_skin_fibr_068	98.04
human_skin_fibr_069	97.69
human_skin_fibr_070	98.00
human_skin_fibr_071	97.82
human_skin_fibr_072	97.96
human_skin_fibr_073	97.97
human_skin_fibr_074	97.56
human_skin_fibr_075	97.69
human_skin_fibr_076	98.03
human_skin_fibr_077	97.80
human_skin_fibr_078	97.73
human_skin_fibr_079	97.92
human_skin_fibr_080	97.87
human_skin_fibr_081	97.93
human_skin_fibr_082	98.05
human_skin_fibr_083	59.65
human_skin_fibr_084	98.13
human_skin_fibr_085	97.77
human_skin_fibr_086	97.76
human_skin_fibr_087	97.94
human_skin_fibr_088	97.30
human_skin_fibr_089	97.68
human_skin_fibr_090	97.97
human_skin_fibr_091	97.65
human_skin_fibr_092	98.08
human_skin_fibr_093	97.88
human_skin_fibr_094	97.68
human_skin_fibr_095	92.71
human_skin_fibr_096	97.37
human_skin_fibr_097	98.03
human_skin_fibr_098	97.75
human_skin_fibr_099	97.88
human_skin_fibr_100	97.99
human_skin_fibr_101	98.10
human_skin_fibr_102	97.75
human_skin_fibr_103	97.91
human_skin_fibr_104	97.31
human_skin_fibr_105	97.88
human_skin_fibr_106	98.01
human_skin_fibr_107	97.77
human_skin_fibr_108	97.90
human_skin_fibr_109	97.78
human_skin_fibr_110	97.87
human_skin_fibr_111	98.08
human_skin_fibr_112	98.03
human_skin_fibr_113	98.01
human_skin_fibr_114	97.92
human_skin_fibr_115	98.10
human_skin_fibr_116	97.86
human_skin_fibr_117	98.00
human_skin_fibr_118	97.78
human_skin_fibr_119	97.85
human_skin_fibr_120	97.71
human_skin_fibr_121	97.68
human_skin_fibr_122	97.88
human_skin_fibr_123	97.86
human_skin_fibr_124	97.92
human_skin_fibr_125	72.29
human_skin_fibr_126	97.92
human_skin_fibr_127	97.32
human_skin_fibr_128	97.82
human_skin_fibr_129	94.68
human_skin_fibr_130	97.83
human_skin_fibr_131	98.07
human_skin_fibr_132	97.65
human_skin_fibr_133	95.85
human_skin_fibr_134	97.92
human_skin_fibr_135	97.92
human_skin_fibr_136	97.77
human_skin_fibr_137	97.89
human_skin_fibr_138	98.04
human_skin_fibr_139	67.75
human_skin_fibr_140	97.87
human_skin_fibr_141	97.72
human_skin_fibr_142	98.12
human_skin_fibr_143	96.48
human_skin_fibr_144	97.89
human_skin_fibr_145	54.92
human_skin_fibr_146	97.85
human_skin_fibr_147	98.13
human_skin_fibr_148	98.08
human_skin_fibr_149	97.98
human_skin_fibr_150	97.92
human_skin_fibr_151	98.12
human_skin_fibr_152	98.14
human_skin_fibr_153	97.61
human_skin_fibr_154	98.09
human_skin_fibr_155	98.05
human_skin_fibr_156	97.73
human_skin_fibr_157	98.12
human_skin_fibr_158	97.68
human_skin_fibr_159	97.91
human_skin_fibr_160	97.77
human_skin_fibr_161	97.94
human_skin_fibr_162	97.73
human_skin_fibr_163	97.98
human_skin_fibr_164	97.98
human_skin_fibr_165	97.88
human_skin_fibr_166	97.64
human_skin_fibr_167	97.89
human_skin_fibr_168	97.90
human_skin_fibr_169	97.95
human_skin_fibr_170	97.87
human_skin_fibr_171	97.81
human_skin_fibr_172	97.88
human_skin_fibr_173	98.00
human_skin_fibr_174	98.07
human_skin_fibr_175	97.95
human_skin_fibr_176	97.97
human_skin_fibr_177	97.92
human_skin_fibr_178	97.80
human_skin_fibr_179	98.03
human_skin_fibr_180	97.94
human_skin_fibr_181	97.16
human_skin_fibr_182	97.91
human_skin_fibr_183	98.07
human_skin_fibr_184	93.66
human_skin_fibr_185	97.89
human_skin_fibr_186	72.28
human_skin_fibr_187	97.84
human_skin_fibr_188	98.06
human_skin_fibr_189	97.89
human_skin_fibr_190	97.76
human_skin_fibr_191	98.25
human_skin_fibr_192	97.75
human_skin_fibr_193	98.08
human_skin_fibr_194	98.10
human_skin_fibr_195	97.96
human_skin_fibr_196	97.88
human_skin_fibr_197	98.04
human_skin_fibr_198	97.88
human_skin_fibr_199	97.85
human_skin_fibr_200	97.75
human_skin_fibr_201	97.60
human_skin_fibr_202	97.75
human_skin_fibr_203	98.33
human_skin_fibr_204	97.76
human_skin_fibr_205	98.04
human_skin_fibr_206	98.02
human_skin_fibr_207	98.05
human_skin_fibr_208	97.99
human_skin_fibr_209	96.16
human_skin_fibr_210	98.04
human_skin_fibr_211	97.90
human_skin_fibr_212	97.93
human_skin_fibr_213	97.89
human_skin_fibr_214	97.62
human_skin_fibr_215	97.07
human_skin_fibr_216	97.92
human_skin_fibr_217	95.64
human_skin_fibr_218	96.44
human_skin_fibr_219	97.95
human_skin_fibr_220	97.94
human_skin_fibr_221	97.92
human_skin_fibr_222	97.91
human_skin_fibr_223	97.90
human_skin_fibr_224	97.61
human_skin_fibr_225	97.47
human_skin_fibr_226	97.99
human_skin_fibr_227	97.88
human_skin_fibr_228	97.77
human_skin_fibr_229	97.64
human_skin_fibr_230	97.75
human_skin_fibr_231	97.80
human_skin_fibr_232	97.48
human_skin_fibr_233	98.18
human_skin_fibr_234	97.85
human_skin_fibr_235	98.10
human_skin_fibr_236	97.82
human_skin_fibr_237	97.92
human_skin_fibr_238	97.86
human_skin_fibr_239	97.83
human_skin_fibr_240	97.85
human_skin_fibr_241	97.82
human_skin_fibr_242	97.39
human_skin_fibr_243	97.93
human_skin_fibr_244	97.73
human_skin_fibr_245	97.61
human_skin_fibr_246	97.89
human_skin_fibr_247	97.97
human_skin_fibr_248	97.78
human_skin_fibr_249	97.91
human_skin_fibr_250	97.97
human_skin_fibr_251	97.86
human_skin_fibr_252	97.78
human_skin_fibr_253	97.91
human_skin_fibr_254	97.68
human_skin_fibr_255	98.00
human_skin_fibr_256	97.79
human_skin_fibr_257	97.90
human_skin_fibr_258	97.84
human_skin_fibr_259	97.81
human_skin_fibr_260	97.55
human_skin_fibr_261	97.61
human_skin_fibr_262	97.69
human_skin_fibr_263	97.80
human_skin_fibr_264	97.93
human_skin_fibr_265	97.88
human_skin_fibr_266	97.05
human_skin_fibr_267	97.71
human_skin_fibr_268	97.82
human_skin_fibr_269	97.80
human_skin_fibr_270	97.85
human_skin_fibr_271	97.90
human_skin_fibr_272	97.36
human_skin_fibr_273	97.37
human_skin_fibr_274	97.83
human_skin_fibr_275	97.74
human_skin_fibr_276	97.44
human_skin_fibr_277	97.61
human_skin_fibr_278	97.90
human_skin_fibr_279	97.72
human_skin_fibr_280	97.91
human_skin_fibr_281	97.54
human_skin_fibr_282	97.74
human_skin_fibr_283	97.36
human_skin_fibr_284	97.72
human_skin_fibr_285	97.54
human_skin_fibr_286	97.84
human_skin_fibr_287	97.44
human_skin_fibr_288	97.87
human_skin_fibr_289	97.65
human_skin_fibr_290	96.58
human_skin_fibr_291	97.96
human_skin_fibr_292	97.39
human_skin_fibr_293	98.01
human_skin_fibr_294	98.24
human_skin_fibr_295	97.62
human_skin_fibr_296	97.62
human_skin_fibr_297	97.61
human_skin_fibr_298	97.90
human_skin_fibr_299	97.76
human_skin_fibr_300	98.08
human_skin_fibr_301	97.92
human_skin_fibr_302	68.45
human_skin_fibr_303	97.88
human_skin_fibr_304	97.83
human_skin_fibr_305	97.83
human_skin_fibr_306	97.91
human_skin_fibr_307	97.80
human_skin_fibr_308	97.79
human_skin_fibr_309	97.95
human_skin_fibr_310	97.38
human_skin_fibr_311	97.63
human_skin_fibr_312	97.86
human_skin_fibr_313	97.55
human_skin_fibr_314	97.65
human_skin_fibr_315	97.58
human_skin_fibr_316	97.63
human_skin_fibr_317	97.91
human_skin_fibr_318	98.10
human_skin_fibr_319	97.85
human_skin_fibr_320	97.69
human_skin_fibr_321	97.69
human_skin_fibr_322	98.12
human_skin_fibr_323	97.70
human_skin_fibr_324	97.90
human_skin_fibr_325	97.79
human_skin_fibr_326	97.71
human_skin_fibr_327	97.90
human_skin_fibr_328	97.67
human_skin_fibr_329	98.17
human_skin_fibr_330	98.04
human_skin_fibr_331	97.45
human_skin_fibr_332	97.42
human_skin_fibr_333	97.93
human_skin_fibr_334	98.09
human_skin_fibr_335	97.93
human_skin_fibr_336	97.96
human_skin_fibr_337	97.99
human_skin_fibr_338	97.90
human_skin_fibr_339	97.90
human_skin_fibr_340	97.74
human_skin_fibr_341	97.72
human_skin_fibr_342	97.46
human_skin_fibr_343	97.59
human_skin_fibr_344	97.88
human_skin_fibr_345	97.68
human_skin_fibr_346	97.84
human_skin_fibr_347	97.79
human_skin_fibr_348	98.02
human_skin_fibr_349	98.04
human_skin_fibr_350	97.96
human_skin_fibr_351	97.63
human_skin_fibr_352	97.90
human_skin_fibr_353	97.78
human_skin_fibr_354	97.98
human_skin_fibr_355	97.89
human_skin_fibr_356	98.14
human_skin_fibr_357	98.09
human_skin_fibr_358	79.96
human_skin_fibr_359	97.45
human_skin_fibr_360	98.09
human_skin_fibr_361	97.58
human_skin_fibr_362	97.51
human_skin_fibr_363	97.94
human_skin_fibr_364	98.21
human_skin_fibr_365	97.83
human_skin_fibr_366	98.07
human_skin_fibr_367	97.97
human_skin_fibr_368	97.87
human_skin_fibr_369	97.78
human_skin_fibr_370	97.87
human_skin_fibr_371	97.88
human_skin_fibr_372	97.81
human_skin_fibr_373	98.23
human_skin_fibr_374	44.91
human_skin_fibr_375	97.82
human_skin_fibr_376	97.60
human_skin_fibr_377	97.85
human_skin_fibr_378	88.89
human_skin_fibr_379	97.99
human_skin_fibr_380	97.78
human_skin_fibr_381	97.94
human_skin_fibr_382	98.05
human_skin_fibr_383	97.85
human_skin_fibr_384	69.08
