cell	mt_content
human_skin_fibr_001	0.022503
human_skin_fibr_002	0.168815
human_skin_fibr_003	0.052850
human_skin_fibr_004	0.010785
human_skin_fibr_005	0.030749
human_skin_fibr_006	0.001385
human_skin_fibr_007	0.029700
human_skin_fibr_008	0.002076
human_skin_fibr_009	0.061346
human_skin_fibr_010	0.008471
human_skin_fibr_011	0.006401
human_skin_fibr_012	0.027087
human_skin_fibr_013	0.005586
human_skin_fibr_014	0.007886
human_skin_fibr_015	0.021677
human_skin_fibr_016	0.006699
human_skin_fibr_017	0.006237
human_skin_fibr_018	0.007524
human_skin_fibr_019	0.054111
human_skin_fibr_020	0.001630
human_skin_fibr_021	0.003813
human_skin_fibr_022	0.018342
human_skin_fibr_023	0.014225
human_skin_fibr_024	0.006556
human_skin_fibr_025	0.001083
human_skin_fibr_026	0.006964
human_skin_fibr_027	0.000441
human_skin_fibr_028	0.030642
human_skin_fibr_029	0.017902
human_skin_fibr_030	0.055491
human_skin_fibr_031	0.003426
human_skin_fibr_032	0.022516
human_skin_fibr_033	0.033018
human_skin_fibr_034	0.023543
human_skin_fibr_035	0.004042
human_skin_fibr_036	0.037192
human_skin_fibr_037	0.018640
human_skin_fibr_038	0.018969
human_skin_fibr_039	0.016667
human_skin_fibr_040	0.008801
human_skin_fibr_041	0.030384
human_skin_fibr_042	0.052141
human_skin_fibr_043	0.011056
human_skin_fibr_044	0.023001
human_skin_fibr_045	0.025372
human_skin_fibr_046	0.031526
human_skin_fibr_047	0.083270
human_skin_fibr_048	0.046512
human_skin_fibr_049	0.020029
human_skin_fibr_050	0.014924
human_skin_fibr_051	0.049809
human_skin_fibr_052	0.106952
human_skin_fibr_053	0.019083
human_skin_fibr_054	0.037433
human_skin_fibr_055	0.011735
human_skin_fibr_056	0.033340
human_skin_fibr_057	0.010954
human_skin_fibr_058	0.012624
human_skin_fibr_059	0.013877
human_skin_fibr_060	0.017952
human_skin_fibr_061	0.005967
human_skin_fibr_062	0.012041
human_skin_fibr_063	0.017879
human_skin_fibr_064	0.051795
human_skin_fibr_065	0.145645
human_skin_fibr_066	0.016129
human_skin_fibr_067	0.002269
human_skin_fibr_068	0.042221
human_skin_fibr_069	0.019557
human_skin_fibr_070	0.004318
human_skin_fibr_071	0.015099
human_skin_fibr_072	0.066979
human_skin_fibr_073	0.006726
human_skin_fibr_074	0.019765
human_skin_fibr_075	0.012930
human_skin_fibr_076	0.023555
human_skin_fibr_077	0.008763
human_skin_fibr_078	0.002754
human_skin_fibr_079	0.066786
human_skin_fibr_080	0.019541
human_skin_fibr_081	0.009528
human_skin_fibr_082	0.006564
human_skin_fibr_083	0.009833
human_skin_fibr_084	0.019659
human_skin_fibr_085	0.032415
human_skin_fibr_086	0.008325
human_skin_fibr_087	0.002583
human_skin_fibr_088	0.060156
human_skin_fibr_089	0.015495
human_skin_fibr_090	0.001120
human_skin_fibr_091	0.016521
human_skin_fibr_092	0.006921
human_skin_fibr_093	0.046701
human_skin_fibr_094	0.045141
human_skin_fibr_095	0.019014
human_skin_fibr_096	0.004180
human_skin_fibr_097	0.110517
human_skin_fibr_098	0.008432
human_skin_fibr_099	0.003623
human_skin_fibr_100	0.026150
human_skin_fibr_101	0.079307
human_skin_fibr_102	0.005333
human_skin_fibr_103	0.047239
human_skin_fibr_104	0.084340
human_skin_fibr_105	0.029133
human_skin_fibr_106	0.026612
human_skin_fibr_107	0.009319
human_skin_fibr_108	0.007877
human_skin_fibr_109	0.035923
human_skin_fibr_110	0.020777
human_skin_fibr_111	0.004513
human_skin_fibr_112	0.005390
human_skin_fibr_113	0.057065
human_skin_fibr_114	0.047627
human_skin_fibr_115	0.007138
human_skin_fibr_116	0.008539
human_skin_fibr_117	0.015962
human_skin_fibr_118	0.017362
human_skin_fibr_119	0.035706
human_skin_fibr_120	0.015659
human_skin_fibr_121	0.015689
human_skin_fibr_122	0.022126
human_skin_fibr_123	0.018007
human_skin_fibr_124	0.015189
human_skin_fibr_125	0.032787
human_skin_fibr_126	0.013346
human_skin_fibr_127	0.063784
human_skin_fibr_128	0.009183
human_skin_fibr_129	0.003942
human_skin_fibr_130	0.035151
human_skin_fibr_131	0.015398
human_skin_fibr_132	0.002005
human_skin_fibr_133	0.000012
human_skin_fibr_134	0.010883
human_skin_fibr_135	0.005202
human_skin_fibr_136	0.009744
human_skin_fibr_137	0.004525
human_skin_fibr_138	0.028107
human_skin_fibr_139	0.005282
human_skin_fibr_140	0.012423
human_skin_fibr_141	0.008339
human_skin_fibr_142	0.008768
human_skin_fibr_143	0.003127
human_skin_fibr_144	0.046463
human_skin_fibr_145	0.009901
human_skin_fibr_146	0.012348
human_skin_fibr_147	0.067669
human_skin_fibr_148	0.022139
human_skin_fibr_149	0.013469
human_skin_fibr_150	0.006765
human_skin_fibr_151	0.064095
human_skin_fibr_152	0.031729
human_skin_fibr_153	0.038135
human_skin_fibr_154	0.029496
human_skin_fibr_155	0.009705
human_skin_fibr_156	0.021562
human_skin_fibr_157	0.080155
human_skin_fibr_158	0.009744
human_skin_fibr_159	0.058125
human_skin_fibr_160	0.022356
human_skin_fibr_161	0.011007
human_skin_fibr_162	0.029304
human_skin_fibr_163	0.017935
human_skin_fibr_164	0.028038
human_skin_fibr_165	0.020433
human_skin_fibr_166	0.002833
human_skin_fibr_167	0.008397
human_skin_fibr_168	0.005263
human_skin_fibr_169	0.027222
human_skin_fibr_170	0.001031
human_skin_fibr_171	0.016383
human_skin_fibr_172	0.001373
human_skin_fibr_173	0.010647
human_skin_fibr_174	0.010374
human_skin_fibr_175	0.040345
human_skin_fibr_176	0.029899
human_skin_fibr_177	0.054260
human_skin_fibr_178	0.024687
human_skin_fibr_179	0.031952
human_skin_fibr_180	0.011276
human_skin_fibr_181	0.059669
human_skin_fibr_182	0.014192
human_skin_fibr_183	0.000217
human_skin_fibr_184	0.004183
human_skin_fibr_185	0.034237
human_skin_fibr_186	0.052632
human_skin_fibr_187	0.002108
human_skin_fibr_188	0.019150
human_skin_fibr_189	0.004941
