cell	sequencing_depth
human_skin_fibr_001	505618
human_skin_fibr_002	338129
human_skin_fibr_003	1382554
human_skin_fibr_004	523487
human_skin_fibr_005	350346
human_skin_fibr_006	312656
human_skin_fibr_007	827073
human_skin_fibr_008	760047
human_skin_fibr_009	605455
human_skin_fibr_010	786536
human_skin_fibr_011	770731
human_skin_fibr_012	635462
human_skin_fibr_013	504233
human_skin_fibr_014	375886
human_skin_fibr_015	379055
human_skin_fibr_016	830493
human_skin_fibr_017	432502
human_skin_fibr_018	739764
human_skin_fibr_019	63469
human_skin_fibr_020	703115
human_skin_fibr_021	304492
human_skin_fibr_022	243832
human_skin_fibr_023	383081
human_skin_fibr_024	660295
human_skin_fibr_025	485227
human_skin_fibr_026	516687
human_skin_fibr_027	409591
human_skin_fibr_028	209145
human_skin_fibr_029	895021
human_skin_fibr_030	401139
human_skin_fibr_031	857017
human_skin_fibr_032	633569
human_skin_fibr_033	343397
human_skin_fibr_034	722763
human_skin_fibr_035	687070
human_skin_fibr_036	504843
human_skin_fibr_037	278008
human_skin_fibr_038	490381
human_skin_fibr_039	393200
human_skin_fibr_040	400201
human_skin_fibr_041	677629
human_skin_fibr_042	925662
human_skin_fibr_043	545817
human_skin_fibr_044	361351
human_skin_fibr_045	539442
human_skin_fibr_046	403561
human_skin_fibr_047	620567
human_skin_fibr_048	270
human_skin_fibr_049	469218
human_skin_fibr_050	683413
human_skin_fibr_051	72203
human_skin_fibr_052	771847
human_skin_fibr_053	368046
human_skin_fibr_054	214279
human_skin_fibr_055	82392
human_skin_fibr_056	1288853
human_skin_fibr_057	523499
human_skin_fibr_058	1139587
human_skin_fibr_059	602541
human_skin_fibr_060	552344
human_skin_fibr_061	499489
human_skin_fibr_062	566973
human_skin_fibr_063	734995
human_skin_fibr_064	971960
human_skin_fibr_065	133100
human_skin_fibr_066	410119
human_skin_fibr_067	687536
human_skin_fibr_068	467138
human_skin_fibr_069	279225
human_skin_fibr_070	795447
human_skin_fibr_071	567054
human_skin_fibr_072	862997
human_skin_fibr_073	838289
human_skin_fibr_074	475997
human_skin_fibr_075	575104
human_skin_fibr_076	330046
human_skin_fibr_077	535353
human_skin_fibr_078	529044
human_skin_fibr_079	943924
human_skin_fibr_080	1001290
human_skin_fibr_081	421610
human_skin_fibr_082	649581
human_skin_fibr_083	1145174
human_skin_fibr_084	399264
human_skin_fibr_085	490630
human_skin_fibr_086	773079
human_skin_fibr_087	802275
human_skin_fibr_088	645006
human_skin_fibr_089	1062155
human_skin_fibr_090	348996
human_skin_fibr_091	477634
human_skin_fibr_092	410644
human_skin_fibr_093	512506
human_skin_fibr_094	1207481
human_skin_fibr_095	1196232
human_skin_fibr_096	599634
human_skin_fibr_097	559825
human_skin_fibr_098	879519
human_skin_fibr_099	678153
human_skin_fibr_100	460830
human_skin_fibr_101	490592
human_skin_fibr_102	494516
human_skin_fibr_103	1521348
human_skin_fibr_104	68707
human_skin_fibr_105	710615
human_skin_fibr_106	647340
human_skin_fibr_107	577496
human_skin_fibr_108	357812
human_skin_fibr_109	387060
human_skin_fibr_110	665572
human_skin_fibr_111	302229
human_skin_fibr_112	650305
human_skin_fibr_113	605007
human_skin_fibr_114	307818
