cell	uniq_frags
human_skin_fibr_001	61988.000000
human_skin_fibr_002	31206.000000
human_skin_fibr_003	154931.000000
human_skin_fibr_004	64478.000000
human_skin_fibr_005	40001.000000
human_skin_fibr_006	37504.000000
human_skin_fibr_007	88373.000000
human_skin_fibr_008	88441.000000
human_skin_fibr_009	71333.000000
human_skin_fibr_010	90244.000000
human_skin_fibr_011	83359.000000
human_skin_fibr_012	70075.000000
human_skin_fibr_013	55719.000000
human_skin_fibr_014	42143.000000
human_skin_fibr_015	38858.000000
human_skin_fibr_016	92679.000000
human_skin_fibr_017	48278.000000
human_skin_fibr_018	81385.000000
human_skin_fibr_019	6695.000000
human_skin_fibr_020	78397.000000
human_skin_fibr_021	32660.000000
human_skin_fibr_022	24887.000000
human_skin_fibr_023	42828.000000
human_skin_fibr_024	72281.000000
human_skin_fibr_025	55331.000000
human_skin_fibr_026	57751.000000
human_skin_fibr_027	45349.000000
human_skin_fibr_028	23062.000000
human_skin_fibr_029	94356.000000
human_skin_fibr_030	39267.000000
human_skin_fibr_031	89877.000000
human_skin_fibr_032	68158.000000
human_skin_fibr_033	37721.000000
human_skin_fibr_034	73619.000000
human_skin_fibr_035	73671.000000
human_skin_fibr_036	54209.000000
human_skin_fibr_037	29852.000000
human_skin_fibr_038	52339.000000
human_skin_fibr_039	40887.000000
human_skin_fibr_040	44712.000000
human_skin_fibr_041	72535.000000
human_skin_fibr_042	94748.000000
human_skin_fibr_043	57067.000000
human_skin_fibr_044	39121.000000
human_skin_fibr_045	55622.000000
human_skin_fibr_046	40335.000000
human_skin_fibr_047	60572.000000
human_skin_fibr_048	123.000000
human_skin_fibr_049	52548.000000
human_skin_fibr_050	75909.000000
human_skin_fibr_051	7726.000000
human_skin_fibr_052	74849.000000
human_skin_fibr_053	39940.000000
human_skin_fibr_054	22346.000000
human_skin_fibr_055	9011.000000
human_skin_fibr_056	136097.000000
human_skin_fibr_057	56885.000000
human_skin_fibr_058	116300.000000
human_skin_fibr_059	62533.000000
human_skin_fibr_060	59082.000000
human_skin_fibr_061	53811.000000
human_skin_fibr_062	62192.000000
human_skin_fibr_063	77730.000000
human_skin_fibr_064	99810.000000
human_skin_fibr_065	12565.000000
human_skin_fibr_066	45140.000000
human_skin_fibr_067	74767.000000
human_skin_fibr_068	49476.000000
human_skin_fibr_069	29027.000000
human_skin_fibr_070	81165.000000
human_skin_fibr_071	60010.000000
human_skin_fibr_072	85155.000000
human_skin_fibr_073	100573.000000
human_skin_fibr_074	57382.000000
human_skin_fibr_075	65042.000000
human_skin_fibr_076	36770.000000
human_skin_fibr_077	62440.000000
human_skin_fibr_078	60844.000000
human_skin_fibr_079	100635.000000
human_skin_fibr_080	113596.000000
human_skin_fibr_081	49587.000000
human_skin_fibr_082	75822.000000
human_skin_fibr_083	79353.000000
human_skin_fibr_084	46226.000000
human_skin_fibr_085	54835.000000
human_skin_fibr_086	85648.000000
human_skin_fibr_087	90342.000000
human_skin_fibr_088	67649.000000
human_skin_fibr_089	125548.000000
human_skin_fibr_090	41918.000000
human_skin_fibr_091	54289.000000
human_skin_fibr_092	47493.000000
human_skin_fibr_093	55604.000000
human_skin_fibr_094	124822.000000
human_skin_fibr_095	118353.000000
human_skin_fibr_096	64555.000000
human_skin_fibr_097	53699.000000
human_skin_fibr_098	96312.000000
human_skin_fibr_099	71234.000000
human_skin_fibr_100	60032.000000
human_skin_fibr_101	49525.000000
