cell	frac_open
mCPC_E8.5_001	0.205182
mCPC_E8.5_002	0.114669
mCPC_E8.5_003	0.130823
mCPC_E8.5_004	0.275118
mCPC_E8.5_005	0.214174
mCPC_E8.5_006	0.001933
mCPC_E8.5_007	0.266057
mCPC_E8.5_008	0.001853
mCPC_E8.5_009	0.184333
mCPC_E8.5_010	0.247823
mCPC_E8.5_011	0.332276
mCPC_E8.5_012	0.289646
mCPC_E8.5_013	0.294045
mCPC_E8.5_014	0.308812
mCPC_E8.5_015	0.249653
mCPC_E8.5_016	0.187106
mCPC_E8.5_017	0.129914
mCPC_E8.5_018	0.274185
mCPC_E8.5_019	0.323557
mCPC_E8.5_020	0.278096
mCPC_E8.5_021	0.354603
mCPC_E8.5_022	0.002615
mCPC_E8.5_023	0.333640
mCPC_E8.5_024	0.315690
mCPC_E8.5_025	0.246504
mCPC_E8.5_026	0.215572
mCPC_E8.5_027	0.312337
mCPC_E8.5_028	0.152934
mCPC_E8.5_029	0.223655
mCPC_E8.5_030	0.252620
mCPC_E8.5_031	0.313473
mCPC_E8.5_032	0.225132
mCPC_E8.5_033	0.246277
mCPC_E8.5_034	0.315406
mCPC_E8.5_035	0.153002
mCPC_E8.5_036	0.258202
mCPC_E8.5_037	0.290214
mCPC_E8.5_038	0.243446
mCPC_E8.5_039	0.240684
mCPC_E8.5_040	0.263727
mCPC_E8.5_041	0.187493
mCPC_E8.5_042	0.171976
mCPC_E8.5_043	0.136871
mCPC_E8.5_044	0.220960
mCPC_E8.5_045	0.229361
mCPC_E8.5_046	0.240366
mCPC_E8.5_047	0.282359
mCPC_E8.5_048	0.278471
mCPC_E8.5_049	0.270252
mCPC_E8.5_050	0.218016
mCPC_E8.5_051	0.298388
mCPC_E8.5_052	0.255315
mCPC_E8.5_053	0.263806
mCPC_E8.5_054	0.314769
mCPC_E8.5_055	0.293022
mCPC_E8.5_056	0.293977
mCPC_E8.5_057	0.275629
mCPC_E8.5_058	0.248323
mCPC_E8.5_059	0.299491
mCPC_E8.5_060	0.326854
mCPC_E8.5_061	0.319680
mCPC_E8.5_062	0.309142
mCPC_E8.5_063	0.236046
mCPC_E8.5_064	0.316452
mCPC_E8.5_065	0.209490
mCPC_E8.5_066	0.270343
mCPC_E8.5_067	0.316565
mCPC_E8.5_068	0.284985
mCPC_E8.5_069	0.323239
mCPC_E8.5_070	0.331105
mCPC_E8.5_071	0.241093
mCPC_E8.5_072	0.357047
mCPC_E8.5_073	0.265705
mCPC_E8.5_074	0.239661
mCPC_E8.5_075	0.239274
mCPC_E8.5_076	0.211127
mCPC_E8.5_077	0.294841
mCPC_E8.5_078	0.001626
mCPC_E8.5_079	0.213355
mCPC_E8.5_080	0.373372
mCPC_E8.5_081	0.218346
mCPC_E8.5_082	0.264375
mCPC_E8.5_083	0.219721
mCPC_E8.5_084	0.240468
mCPC_E8.5_085	0.287122
mCPC_E8.5_086	0.316588
mCPC_E8.5_087	0.301685
mCPC_E8.5_088	0.207478
mCPC_E8.5_089	0.238263
mCPC_E8.5_090	0.398779
mCPC_E8.5_091	0.261021
mCPC_E8.5_092	0.358013
mCPC_E8.5_093	0.254803
mCPC_E8.5_094	0.272082
mCPC_E8.5_095	0.292840
mCPC_E8.5_096	0.109520
mCPC_E8.5_097	0.209774
mCPC_E8.5_098	0.321386
mCPC_E8.5_099	0.220062
mCPC_E8.5_100	0.291795
mCPC_E8.5_101	0.231646
mCPC_E8.5_102	0.237558
mCPC_E8.5_103	0.299241
mCPC_E8.5_104	0.273651
mCPC_E8.5_105	0.269218
mCPC_E8.5_106	0.278505
mCPC_E8.5_107	0.308267
mCPC_E8.5_108	0.256485
mCPC_E8.5_109	0.276436
mCPC_E8.5_110	0.243310
mCPC_E8.5_111	0.297126
mCPC_E8.5_112	0.275334
mCPC_E8.5_113	0.002671
mCPC_E8.5_114	0.001341
mCPC_E8.5_115	0.287145
mCPC_E8.5_116	0.001501
mCPC_E8.5_117	0.219357
mCPC_E8.5_118	0.362583
mCPC_E8.5_119	0.322022
mCPC_E8.5_120	0.193211
mCPC_E8.5_121	0.250665
mCPC_E8.5_122	0.222018
mCPC_E8.5_123	0.226542
mCPC_E8.5_124	0.146568
mCPC_E8.5_125	0.302139
mCPC_E8.5_126	0.247857
mCPC_E8.5_127	0.243628
mCPC_E8.5_128	0.334982
mCPC_E8.5_129	0.198361
mCPC_E8.5_130	0.231669
mCPC_E8.5_131	0.310290
mCPC_E8.5_132	0.276777
mCPC_E8.5_133	0.002467
mCPC_E8.5_134	0.355762
mCPC_E8.5_135	0.260851
mCPC_E8.5_136	0.386854
mCPC_E8.5_137	0.304368
mCPC_E8.5_138	0.196235
mCPC_E8.5_139	0.265421
mCPC_E8.5_140	0.241946
mCPC_E8.5_141	0.243765
mCPC_E8.5_142	0.223882
mCPC_E8.5_143	0.242901
mCPC_E8.5_144	0.334550
mCPC_E8.5_145	0.169497
mCPC_E8.5_146	0.345724
mCPC_E8.5_147	0.273810
mCPC_E8.5_148	0.260544
mCPC_E8.5_149	0.239331
mCPC_E8.5_150	0.269252
mCPC_E8.5_151	0.312166
mCPC_E8.5_152	0.328059
mCPC_E8.5_153	0.192483
mCPC_E8.5_154	0.264409
mCPC_E8.5_155	0.001717
mCPC_E8.5_156	0.001955
mCPC_E8.5_157	0.243878
mCPC_E8.5_158	0.001648
mCPC_E8.5_159	0.309961
mCPC_E8.5_160	0.241309
mCPC_E8.5_161	0.279847
mCPC_E8.5_162	0.307301
mCPC_E8.5_163	0.218425
mCPC_E8.5_164	0.222006
mCPC_E8.5_165	0.001773
mCPC_E8.5_166	0.267592
mCPC_E8.5_167	0.265796
mCPC_E8.5_168	0.320760
mCPC_E8.5_169	0.001535
mCPC_E8.5_170	0.332481
mCPC_E8.5_171	0.213571
mCPC_E8.5_172	0.308653
mCPC_E8.5_173	0.296342
mCPC_E8.5_174	0.281143
mCPC_E8.5_175	0.343769
mCPC_E8.5_176	0.333595
mCPC_E8.5_177	0.264602
mCPC_E8.5_178	0.274868
mCPC_E8.5_179	0.339427
mCPC_E8.5_180	0.241105
mCPC_E8.5_181	0.298615
mCPC_E8.5_182	0.239377
mCPC_E8.5_183	0.216390
mCPC_E8.5_184	0.269888
mCPC_E8.5_185	0.189028
mCPC_E8.5_186	0.200396
mCPC_E8.5_187	0.237433
mCPC_E8.5_188	0.220801
mCPC_E8.5_189	0.330923
mCPC_E8.5_190	0.275834
mCPC_E8.5_191	0.183025
mCPC_E8.5_192	0.275379
mCPC_E8.5_193	0.290692
mCPC_E8.5_194	0.201976
mCPC_E8.5_195	0.327035
mCPC_E8.5_196	0.166189
mCPC_E8.5_197	0.002342
mCPC_E8.5_198	0.262749
mCPC_E8.5_199	0.340234
mCPC_E8.5_200	0.240832
mCPC_E8.5_201	0.238388
mCPC_E8.5_202	0.231157
mCPC_E8.5_203	0.242037
mCPC_E8.5_204	0.383955
mCPC_E8.5_205	0.202737
mCPC_E8.5_206	0.322454
mCPC_E8.5_207	0.366562
mCPC_E8.5_208	0.295410
mCPC_E8.5_209	0.340995
mCPC_E8.5_210	0.306766
mCPC_E8.5_211	0.159289
mCPC_E8.5_212	0.189948
mCPC_E8.5_213	0.276539
mCPC_E8.5_214	0.279449
mCPC_E8.5_215	0.299923
mCPC_E8.5_216	0.310972
mCPC_E8.5_217	0.265273
mCPC_E8.5_218	0.280108
mCPC_E8.5_219	0.233352
mCPC_E8.5_220	0.262147
mCPC_E8.5_221	0.254939
mCPC_E8.5_222	0.197997
mCPC_E8.5_223	0.231419
mCPC_E8.5_224	0.229600
mCPC_E8.5_225	0.373349
mCPC_E8.5_226	0.279665
mCPC_E8.5_227	0.226769
mCPC_E8.5_228	0.213094
mCPC_E8.5_229	0.233477
mCPC_E8.5_230	0.279585
mCPC_E8.5_231	0.196781
mCPC_E8.5_232	0.191415
mCPC_E8.5_233	0.264057
mCPC_E8.5_234	0.178455
mCPC_E8.5_235	0.295285
mCPC_E8.5_236	0.001580
mCPC_E8.5_237	0.152184
mCPC_E8.5_238	0.319805
mCPC_E8.5_239	0.116943
mCPC_E8.5_240	0.263795
mCPC_E8.5_241	0.223029
mCPC_E8.5_242	0.240036
mCPC_E8.5_243	0.223302
mCPC_E8.5_244	0.223063
mCPC_E8.5_245	0.254473
mCPC_E8.5_246	0.288157
mCPC_E8.5_247	0.189562
mCPC_E8.5_248	0.144783
mCPC_E8.5_249	0.285735
mCPC_E8.5_250	0.244742
mCPC_E8.5_251	0.273879
mCPC_E8.5_252	0.329684
mCPC_E8.5_253	0.149467
mCPC_E8.5_254	0.207717
mCPC_E8.5_255	0.267126
mCPC_E8.5_256	0.156992
mCPC_E8.5_257	0.222245
mCPC_E8.5_258	0.209786
mCPC_E8.5_259	0.175818
mCPC_E8.5_260	0.298934
mCPC_E8.5_261	0.001967
mCPC_E8.5_262	0.298513
mCPC_E8.5_263	0.258418
mCPC_E8.5_264	0.266967
mCPC_E8.5_265	0.231567
mCPC_E8.5_266	0.336903
mCPC_E8.5_267	0.309063
mCPC_E8.5_268	0.293989
mCPC_E8.5_269	0.322511
mCPC_E8.5_270	0.239786
mCPC_E8.5_271	0.297103
mCPC_E8.5_272	0.247698
mCPC_E8.5_273	0.446218
mCPC_E8.5_274	0.319146
mCPC_E8.5_275	0.314474
mCPC_E8.5_276	0.303344
mCPC_E8.5_277	0.237626
mCPC_E8.5_278	0.266592
mCPC_E8.5_279	0.205170
mCPC_E8.5_280	0.299207
mCPC_E8.5_281	0.261021
mCPC_E8.5_282	0.001569
mCPC_E8.5_283	0.270150
mCPC_E8.5_284	0.205511
mCPC_E8.5_285	0.286440
mCPC_E8.5_286	0.285951
mCPC_E8.5_287	0.274015
mCPC_E8.5_288	0.306766
mCPC_E8.5_289	0.149387
mCPC_E8.5_290	0.228145
mCPC_E8.5_291	0.305402
mCPC_E8.5_292	0.260464
mCPC_E8.5_293	0.261067
mCPC_E8.5_294	0.248858
mCPC_E8.5_295	0.349874
mCPC_E8.5_296	0.310279
mCPC_E8.5_297	0.243969
mCPC_E8.5_298	0.314713
mCPC_E8.5_299	0.358889
mCPC_E8.5_300	0.231260
mCPC_E8.5_301	0.290249
mCPC_E8.5_302	0.239013
mCPC_E8.5_303	0.249949
mCPC_E8.5_304	0.222427
mCPC_E8.5_305	0.273287
mCPC_E8.5_306	0.282837
mCPC_E8.5_307	0.292340
mCPC_E8.5_308	0.312405
mCPC_E8.5_309	0.254621
mCPC_E8.5_310	0.259737
mCPC_E8.5_311	0.272628
mCPC_E8.5_312	0.288441
mCPC_E8.5_313	0.238717
mCPC_E8.5_314	0.225280
mCPC_E8.5_315	0.272139
mCPC_E8.5_316	0.241957
mCPC_E8.5_317	0.268501
mCPC_E8.5_318	0.269559
mCPC_E8.5_319	0.263522
mCPC_E8.5_320	0.254951
mCPC_E8.5_321	0.330105
mCPC_E8.5_322	0.257656
mCPC_E8.5_323	0.252643
mCPC_E8.5_324	0.191733
mCPC_E8.5_325	0.297524
mCPC_E8.5_326	0.306346
mCPC_E8.5_327	0.283621
mCPC_E8.5_328	0.200157
mCPC_E8.5_329	0.193950
mCPC_E8.5_330	0.238967
mCPC_E8.5_331	0.290624
mCPC_E8.5_332	0.207251
mCPC_E8.5_333	0.333254
mCPC_E8.5_334	0.270946
mCPC_E8.5_335	0.319794
mCPC_E8.5_336	0.205488
