cell	library_size
mCPC_E8.5_001	77221
mCPC_E8.5_002	45929
mCPC_E8.5_003	54020
mCPC_E8.5_004	112015
mCPC_E8.5_005	79407
mCPC_E8.5_006	15811
mCPC_E8.5_007	106978
mCPC_E8.5_008	14167
mCPC_E8.5_009	73547
mCPC_E8.5_010	102204
mCPC_E8.5_011	133548
mCPC_E8.5_012	107842
mCPC_E8.5_013	148374
mCPC_E8.5_014	135100
mCPC_E8.5_015	91950
mCPC_E8.5_016	53927
mCPC_E8.5_017	44840
mCPC_E8.5_018	116847
mCPC_E8.5_019	146174
mCPC_E8.5_020	120064
mCPC_E8.5_021	152630
mCPC_E8.5_022	51377
mCPC_E8.5_023	145485
mCPC_E8.5_024	155330
mCPC_E8.5_025	106693
mCPC_E8.5_026	66861
mCPC_E8.5_027	114862
mCPC_E8.5_028	46345
mCPC_E8.5_029	93238
mCPC_E8.5_030	96345
mCPC_E8.5_031	134597
mCPC_E8.5_032	75514
mCPC_E8.5_033	97858
mCPC_E8.5_034	146774
mCPC_E8.5_035	65565
mCPC_E8.5_036	111220
mCPC_E8.5_037	113157
mCPC_E8.5_038	100574
mCPC_E8.5_039	83292
mCPC_E8.5_040	103106
mCPC_E8.5_041	62946
mCPC_E8.5_042	74358
mCPC_E8.5_043	42520
mCPC_E8.5_044	77711
mCPC_E8.5_045	96719
mCPC_E8.5_046	106321
mCPC_E8.5_047	113589
mCPC_E8.5_048	104718
mCPC_E8.5_049	111228
mCPC_E8.5_050	82452
mCPC_E8.5_051	132643
mCPC_E8.5_052	103575
mCPC_E8.5_053	102670
mCPC_E8.5_054	130309
mCPC_E8.5_055	131795
mCPC_E8.5_056	120507
mCPC_E8.5_057	99747
mCPC_E8.5_058	101669
mCPC_E8.5_059	117599
mCPC_E8.5_060	125104
mCPC_E8.5_061	136503
mCPC_E8.5_062	141955
mCPC_E8.5_063	88694
mCPC_E8.5_064	146758
mCPC_E8.5_065	67341
mCPC_E8.5_066	114037
mCPC_E8.5_067	134023
mCPC_E8.5_068	124958
mCPC_E8.5_069	147793
mCPC_E8.5_070	154900
mCPC_E8.5_071	81222
mCPC_E8.5_072	163168
mCPC_E8.5_073	110445
mCPC_E8.5_074	100251
mCPC_E8.5_075	90766
mCPC_E8.5_076	80090
mCPC_E8.5_077	120401
mCPC_E8.5_078	
mCPC_E8.5_079	76410
mCPC_E8.5_080	171965
mCPC_E8.5_081	89215
mCPC_E8.5_082	109415
mCPC_E8.5_083	98451
mCPC_E8.5_084	103921
mCPC_E8.5_085	112164
mCPC_E8.5_086	129091
mCPC_E8.5_087	130812
mCPC_E8.5_088	88877
mCPC_E8.5_089	92995
mCPC_E8.5_090	193140
mCPC_E8.5_091	122741
mCPC_E8.5_092	151094
mCPC_E8.5_093	107567
mCPC_E8.5_094	113267
mCPC_E8.5_095	114797
mCPC_E8.5_096	43099
mCPC_E8.5_097	68482
mCPC_E8.5_098	152917
mCPC_E8.5_099	75304
mCPC_E8.5_100	132407
mCPC_E8.5_101	88142
mCPC_E8.5_102	93171
mCPC_E8.5_103	119591
mCPC_E8.5_104	110482
mCPC_E8.5_105	103684
mCPC_E8.5_106	110582
mCPC_E8.5_107	130088
mCPC_E8.5_108	112433
mCPC_E8.5_109	113407
mCPC_E8.5_110	90207
mCPC_E8.5_111	129243
mCPC_E8.5_112	113482
mCPC_E8.5_113	12305
mCPC_E8.5_114	
mCPC_E8.5_115	121720
mCPC_E8.5_116	42826
mCPC_E8.5_117	71332
mCPC_E8.5_118	182525
mCPC_E8.5_119	137926
mCPC_E8.5_120	67986
mCPC_E8.5_121	91963
mCPC_E8.5_122	75542
mCPC_E8.5_123	81884
mCPC_E8.5_124	44839
mCPC_E8.5_125	123303
mCPC_E8.5_126	99294
mCPC_E8.5_127	85347
mCPC_E8.5_128	139034
mCPC_E8.5_129	76722
mCPC_E8.5_130	83039
mCPC_E8.5_131	128563
mCPC_E8.5_132	123065
mCPC_E8.5_133	29848
mCPC_E8.5_134	160640
mCPC_E8.5_135	104564
mCPC_E8.5_136	190449
mCPC_E8.5_137	200028
mCPC_E8.5_138	69095
mCPC_E8.5_139	114459
mCPC_E8.5_140	94064
mCPC_E8.5_141	101250
mCPC_E8.5_142	87151
mCPC_E8.5_143	98655
mCPC_E8.5_144	147337
mCPC_E8.5_145	93969
mCPC_E8.5_146	159438
mCPC_E8.5_147	106445
mCPC_E8.5_148	115674
mCPC_E8.5_149	85287
mCPC_E8.5_150	100371
mCPC_E8.5_151	131375
mCPC_E8.5_152	136821
mCPC_E8.5_153	67513
mCPC_E8.5_154	108069
mCPC_E8.5_155	
mCPC_E8.5_156	33002
mCPC_E8.5_157	102652
mCPC_E8.5_158	
mCPC_E8.5_159	142030
mCPC_E8.5_160	104653
mCPC_E8.5_161	122058
mCPC_E8.5_162	127158
mCPC_E8.5_163	87466
mCPC_E8.5_164	87169
mCPC_E8.5_165	30683
mCPC_E8.5_166	116186
mCPC_E8.5_167	121387
mCPC_E8.5_168	138762
mCPC_E8.5_169	37173
mCPC_E8.5_170	125076
mCPC_E8.5_171	67935
mCPC_E8.5_172	136239
mCPC_E8.5_173	115499
mCPC_E8.5_174	125935
mCPC_E8.5_175	153780
mCPC_E8.5_176	151749
mCPC_E8.5_177	109389
mCPC_E8.5_178	105496
mCPC_E8.5_179	139529
mCPC_E8.5_180	81530
mCPC_E8.5_181	118406
mCPC_E8.5_182	86399
mCPC_E8.5_183	79115
mCPC_E8.5_184	103922
mCPC_E8.5_185	72279
mCPC_E8.5_186	63537
mCPC_E8.5_187	82608
mCPC_E8.5_188	75384
mCPC_E8.5_189	142604
mCPC_E8.5_190	124777
mCPC_E8.5_191	68059
mCPC_E8.5_192	106077
mCPC_E8.5_193	122996
mCPC_E8.5_194	62250
mCPC_E8.5_195	129320
mCPC_E8.5_196	60309
mCPC_E8.5_197	
mCPC_E8.5_198	96163
mCPC_E8.5_199	160755
mCPC_E8.5_200	93454
mCPC_E8.5_201	98328
mCPC_E8.5_202	97204
mCPC_E8.5_203	85907
mCPC_E8.5_204	177725
mCPC_E8.5_205	73639
mCPC_E8.5_206	138804
mCPC_E8.5_207	175200
mCPC_E8.5_208	122720
mCPC_E8.5_209	152670
mCPC_E8.5_210	109471
mCPC_E8.5_211	68026
mCPC_E8.5_212	67670
mCPC_E8.5_213	113097
mCPC_E8.5_214	109694
mCPC_E8.5_215	120460
mCPC_E8.5_216	135532
mCPC_E8.5_217	115581
mCPC_E8.5_218	119180
mCPC_E8.5_219	109296
mCPC_E8.5_220	91549
mCPC_E8.5_221	99158
mCPC_E8.5_222	66257
mCPC_E8.5_223	112729
mCPC_E8.5_224	86542
mCPC_E8.5_225	154371
mCPC_E8.5_226	126354
mCPC_E8.5_227	85531
mCPC_E8.5_228	79884
mCPC_E8.5_229	86199
mCPC_E8.5_230	102340
mCPC_E8.5_231	72581
