cell	mapping_rate
mCPC_E8.5_001	96.83
mCPC_E8.5_002	95.69
mCPC_E8.5_003	97.97
mCPC_E8.5_004	97.24
mCPC_E8.5_005	97.69
mCPC_E8.5_006	80.33
mCPC_E8.5_007	97.33
mCPC_E8.5_008	78.69
mCPC_E8.5_009	94.96
mCPC_E8.5_010	97.70
mCPC_E8.5_011	97.52
mCPC_E8.5_012	96.98
mCPC_E8.5_013	95.59
mCPC_E8.5_014	97.38
mCPC_E8.5_015	97.21
mCPC_E8.5_016	96.72
mCPC_E8.5_017	97.30
mCPC_E8.5_018	97.35
mCPC_E8.5_019	97.66
mCPC_E8.5_020	97.39
mCPC_E8.5_021	97.04
mCPC_E8.5_022	80.11
mCPC_E8.5_023	97.30
mCPC_E8.5_024	97.43
mCPC_E8.5_025	96.99
mCPC_E8.5_026	97.75
mCPC_E8.5_027	97.43
mCPC_E8.5_028	97.97
mCPC_E8.5_029	97.11
mCPC_E8.5_030	97.54
mCPC_E8.5_031	97.25
mCPC_E8.5_032	97.27
mCPC_E8.5_033	97.97
mCPC_E8.5_034	96.91
mCPC_E8.5_035	92.88
mCPC_E8.5_036	97.03
mCPC_E8.5_037	97.52
mCPC_E8.5_038	97.47
mCPC_E8.5_039	97.18
mCPC_E8.5_040	97.31
mCPC_E8.5_041	97.37
mCPC_E8.5_042	93.42
mCPC_E8.5_043	97.14
mCPC_E8.5_044	97.74
mCPC_E8.5_045	97.55
mCPC_E8.5_046	97.29
mCPC_E8.5_047	97.59
mCPC_E8.5_048	97.72
mCPC_E8.5_049	97.23
mCPC_E8.5_050	94.44
mCPC_E8.5_051	96.90
mCPC_E8.5_052	97.63
mCPC_E8.5_053	97.61
mCPC_E8.5_054	97.78
mCPC_E8.5_055	97.65
mCPC_E8.5_056	97.58
mCPC_E8.5_057	97.57
mCPC_E8.5_058	96.81
mCPC_E8.5_059	97.30
mCPC_E8.5_060	97.31
mCPC_E8.5_061	97.07
mCPC_E8.5_062	97.32
mCPC_E8.5_063	97.32
mCPC_E8.5_064	97.06
mCPC_E8.5_065	97.11
mCPC_E8.5_066	96.46
mCPC_E8.5_067	97.06
mCPC_E8.5_068	97.23
mCPC_E8.5_069	97.30
mCPC_E8.5_070	97.03
mCPC_E8.5_071	97.38
mCPC_E8.5_072	97.53
mCPC_E8.5_073	96.95
mCPC_E8.5_074	97.46
mCPC_E8.5_075	96.85
mCPC_E8.5_076	97.46
mCPC_E8.5_077	97.07
mCPC_E8.5_078	77.57
mCPC_E8.5_079	97.06
mCPC_E8.5_080	97.02
mCPC_E8.5_081	96.69
mCPC_E8.5_082	97.09
mCPC_E8.5_083	97.72
mCPC_E8.5_084	97.57
mCPC_E8.5_085	97.41
mCPC_E8.5_086	97.61
mCPC_E8.5_087	97.33
mCPC_E8.5_088	97.25
mCPC_E8.5_089	96.97
mCPC_E8.5_090	97.03
mCPC_E8.5_091	97.24
mCPC_E8.5_092	97.74
mCPC_E8.5_093	96.19
mCPC_E8.5_094	97.23
mCPC_E8.5_095	97.74
mCPC_E8.5_096	91.94
mCPC_E8.5_097	92.94
mCPC_E8.5_098	97.70
mCPC_E8.5_099	97.50
mCPC_E8.5_100	97.51
mCPC_E8.5_101	97.46
mCPC_E8.5_102	97.41
mCPC_E8.5_103	97.12
mCPC_E8.5_104	97.19
mCPC_E8.5_105	97.61
mCPC_E8.5_106	97.66
mCPC_E8.5_107	97.42
mCPC_E8.5_108	96.82
mCPC_E8.5_109	98.00
mCPC_E8.5_110	97.15
mCPC_E8.5_111	97.85
mCPC_E8.5_112	96.84
mCPC_E8.5_113	79.35
mCPC_E8.5_114	75.63
mCPC_E8.5_115	97.79
mCPC_E8.5_116	78.97
mCPC_E8.5_117	97.38
mCPC_E8.5_118	96.31
mCPC_E8.5_119	97.37
mCPC_E8.5_120	96.96
mCPC_E8.5_121	97.62
mCPC_E8.5_122	97.19
mCPC_E8.5_123	96.17
mCPC_E8.5_124	97.02
mCPC_E8.5_125	97.15
mCPC_E8.5_126	97.50
mCPC_E8.5_127	97.82
mCPC_E8.5_128	97.19
mCPC_E8.5_129	96.20
mCPC_E8.5_130	97.30
mCPC_E8.5_131	97.05
mCPC_E8.5_132	96.84
mCPC_E8.5_133	80.40
mCPC_E8.5_134	97.33
mCPC_E8.5_135	97.20
mCPC_E8.5_136	97.24
mCPC_E8.5_137	94.50
mCPC_E8.5_138	95.87
mCPC_E8.5_139	97.50
mCPC_E8.5_140	96.84
mCPC_E8.5_141	97.46
mCPC_E8.5_142	97.40
mCPC_E8.5_143	94.00
mCPC_E8.5_144	97.35
mCPC_E8.5_145	96.70
mCPC_E8.5_146	96.69
mCPC_E8.5_147	97.68
mCPC_E8.5_148	97.14
mCPC_E8.5_149	97.04
mCPC_E8.5_150	97.39
mCPC_E8.5_151	96.43
mCPC_E8.5_152	96.55
mCPC_E8.5_153	97.54
mCPC_E8.5_154	97.09
mCPC_E8.5_155	77.00
mCPC_E8.5_156	79.24
mCPC_E8.5_157	96.87
mCPC_E8.5_158	77.23
mCPC_E8.5_159	97.70
mCPC_E8.5_160	97.33
mCPC_E8.5_161	97.13
mCPC_E8.5_162	97.49
mCPC_E8.5_163	97.20
mCPC_E8.5_164	97.42
mCPC_E8.5_165	76.53
mCPC_E8.5_166	97.11
mCPC_E8.5_167	97.21
mCPC_E8.5_168	97.30
mCPC_E8.5_169	76.42
mCPC_E8.5_170	97.63
mCPC_E8.5_171	97.67
mCPC_E8.5_172	97.65
mCPC_E8.5_173	97.70
mCPC_E8.5_174	97.11
mCPC_E8.5_175	96.61
mCPC_E8.5_176	97.15
mCPC_E8.5_177	97.29
mCPC_E8.5_178	97.41
mCPC_E8.5_179	97.17
mCPC_E8.5_180	97.15
mCPC_E8.5_181	97.59
mCPC_E8.5_182	96.79
mCPC_E8.5_183	96.92
mCPC_E8.5_184	97.31
mCPC_E8.5_185	97.21
mCPC_E8.5_186	90.91
mCPC_E8.5_187	97.40
mCPC_E8.5_188	52.16
mCPC_E8.5_189	97.88
mCPC_E8.5_190	97.28
mCPC_E8.5_191	96.77
mCPC_E8.5_192	84.84
mCPC_E8.5_193	96.65
mCPC_E8.5_194	96.22
mCPC_E8.5_195	97.99
mCPC_E8.5_196	96.66
mCPC_E8.5_197	78.62
mCPC_E8.5_198	97.58
mCPC_E8.5_199	97.50
mCPC_E8.5_200	97.14
mCPC_E8.5_201	97.47
mCPC_E8.5_202	96.87
mCPC_E8.5_203	97.40
mCPC_E8.5_204	97.54
mCPC_E8.5_205	97.31
mCPC_E8.5_206	97.44
mCPC_E8.5_207	96.95
mCPC_E8.5_208	97.30
mCPC_E8.5_209	97.22
mCPC_E8.5_210	97.19
mCPC_E8.5_211	97.50
mCPC_E8.5_212	98.00
mCPC_E8.5_213	96.87
mCPC_E8.5_214	97.38
mCPC_E8.5_215	97.20
mCPC_E8.5_216	97.53
mCPC_E8.5_217	96.80
mCPC_E8.5_218	97.14
