cell	sequencing_depth
mCPC_E8.5_001	569778
mCPC_E8.5_002	451368
mCPC_E8.5_003	497951
mCPC_E8.5_004	869284
mCPC_E8.5_005	639122
mCPC_E8.5_006	628
mCPC_E8.5_007	830849
mCPC_E8.5_008	617
mCPC_E8.5_009	572577
mCPC_E8.5_010	857920
mCPC_E8.5_011	935520
mCPC_E8.5_012	837370
mCPC_E8.5_013	956440
mCPC_E8.5_014	961266
mCPC_E8.5_015	645019
mCPC_E8.5_016	376393
mCPC_E8.5_017	274198
mCPC_E8.5_018	799052
mCPC_E8.5_019	1071649
mCPC_E8.5_020	817909
mCPC_E8.5_021	989466
mCPC_E8.5_022	807
mCPC_E8.5_023	1007393
mCPC_E8.5_024	1107447
mCPC_E8.5_025	739322
mCPC_E8.5_026	498049
mCPC_E8.5_027	846276
mCPC_E8.5_028	346518
mCPC_E8.5_029	737946
mCPC_E8.5_030	665885
mCPC_E8.5_031	1009258
mCPC_E8.5_032	542205
mCPC_E8.5_033	779225
mCPC_E8.5_034	1051337
mCPC_E8.5_035	563457
mCPC_E8.5_036	878931
mCPC_E8.5_037	764398
mCPC_E8.5_038	749819
mCPC_E8.5_039	566734
mCPC_E8.5_040	713411
mCPC_E8.5_041	435546
mCPC_E8.5_042	599329
mCPC_E8.5_043	332165
mCPC_E8.5_044	528053
mCPC_E8.5_045	680143
mCPC_E8.5_046	808854
mCPC_E8.5_047	783964
mCPC_E8.5_048	765961
mCPC_E8.5_049	810044
mCPC_E8.5_050	593520
mCPC_E8.5_051	903358
mCPC_E8.5_052	766309
mCPC_E8.5_053	689991
mCPC_E8.5_054	938035
mCPC_E8.5_055	982635
mCPC_E8.5_056	889775
mCPC_E8.5_057	731333
mCPC_E8.5_058	773373
mCPC_E8.5_059	811008
mCPC_E8.5_060	953077
mCPC_E8.5_061	951193
mCPC_E8.5_062	1018956
mCPC_E8.5_063	646284
mCPC_E8.5_064	990237
mCPC_E8.5_065	474193
mCPC_E8.5_066	808975
mCPC_E8.5_067	957038
mCPC_E8.5_068	884478
mCPC_E8.5_069	1020204
mCPC_E8.5_070	1211157
mCPC_E8.5_071	609565
mCPC_E8.5_072	1228691
mCPC_E8.5_073	613257
mCPC_E8.5_074	634182
mCPC_E8.5_075	493199
mCPC_E8.5_076	494975
mCPC_E8.5_077	712199
mCPC_E8.5_078	535
mCPC_E8.5_079	447187
mCPC_E8.5_080	1046975
mCPC_E8.5_081	540051
mCPC_E8.5_082	740609
mCPC_E8.5_083	671824
mCPC_E8.5_084	846122
mCPC_E8.5_085	712300
mCPC_E8.5_086	862949
mCPC_E8.5_087	857811
mCPC_E8.5_088	582815
mCPC_E8.5_089	618696
mCPC_E8.5_090	1185715
