cell	uniq_frags
mCPC_E8.5_001	70196.000000
mCPC_E8.5_002	27824.000000
mCPC_E8.5_003	37520.000000
mCPC_E8.5_004	94550.000000
mCPC_E8.5_005	62492.000000
mCPC_E8.5_006	305.000000
mCPC_E8.5_007	93000.000000
mCPC_E8.5_008	288.000000
mCPC_E8.5_009	64338.000000
mCPC_E8.5_010	79876.000000
mCPC_E8.5_011	120175.000000
mCPC_E8.5_012	95129.000000
mCPC_E8.5_013	146225.000000
mCPC_E8.5_014	117539.000000
mCPC_E8.5_015	80619.000000
mCPC_E8.5_016	46143.000000
mCPC_E8.5_017	35463.000000
mCPC_E8.5_018	104579.000000
mCPC_E8.5_019	127388.000000
mCPC_E8.5_020	107190.000000
mCPC_E8.5_021	147481.000000
mCPC_E8.5_022	377.000000
mCPC_E8.5_023	127012.000000
mCPC_E8.5_024	137114.000000
mCPC_E8.5_025	96946.000000
mCPC_E8.5_026	58122.000000
mCPC_E8.5_027	103485.000000
mCPC_E8.5_028	37733.000000
mCPC_E8.5_029	78734.000000
mCPC_E8.5_030	89660.000000
mCPC_E8.5_031	120517.000000
mCPC_E8.5_032	66642.000000
mCPC_E8.5_033	82055.000000
mCPC_E8.5_034	134213.000000
mCPC_E8.5_035	50833.000000
mCPC_E8.5_036	97042.000000
mCPC_E8.5_037	102572.000000
mCPC_E8.5_038	81666.000000
mCPC_E8.5_039	75922.000000
mCPC_E8.5_040	93031.000000
mCPC_E8.5_041	55039.000000
mCPC_E8.5_042	56487.000000
mCPC_E8.5_043	33831.000000
mCPC_E8.5_044	66653.000000
mCPC_E8.5_045	86061.000000
mCPC_E8.5_046	92455.000000
mCPC_E8.5_047	101427.000000
mCPC_E8.5_048	89802.000000
mCPC_E8.5_049	98357.000000
mCPC_E8.5_050	71242.000000
mCPC_E8.5_051	122711.000000
mCPC_E8.5_052	85776.000000
mCPC_E8.5_053	92220.000000
mCPC_E8.5_054	116017.000000
mCPC_E8.5_055	112888.000000
mCPC_E8.5_056	101961.000000
mCPC_E8.5_057	90007.000000
mCPC_E8.5_058	86857.000000
mCPC_E8.5_059	106059.000000
mCPC_E8.5_060	110637.000000
mCPC_E8.5_061	120865.000000
mCPC_E8.5_062	124703.000000
