cell	dup_level
mCPC_E9.5_001	0.861437
mCPC_E9.5_002	0.865013
mCPC_E9.5_003	0.864989
mCPC_E9.5_004	0.863604
mCPC_E9.5_005	0.862308
mCPC_E9.5_006	0.8607
mCPC_E9.5_007	0.868143
mCPC_E9.5_008	0.863804
mCPC_E9.5_009	0.867195
mCPC_E9.5_010	0.869325
mCPC_E9.5_011	0.859802
mCPC_E9.5_012	0.866268
mCPC_E9.5_013	0.849815
mCPC_E9.5_014	0.852007
mCPC_E9.5_015	0.852539
mCPC_E9.5_016	0.856089
mCPC_E9.5_017	0.851298
mCPC_E9.5_018	0.84494
mCPC_E9.5_019	0.855123
mCPC_E9.5_020	0.834511
mCPC_E9.5_021	0.853247
mCPC_E9.5_022	0.858379
mCPC_E9.5_023	0.851561
mCPC_E9.5_024	0.847823
mCPC_E9.5_025	0.859823
mCPC_E9.5_026	0.85043
mCPC_E9.5_027	0.865462
mCPC_E9.5_028	0.858856
mCPC_E9.5_029	0.858559
mCPC_E9.5_030	0.861119
mCPC_E9.5_031	0.866477
mCPC_E9.5_032	0.860639
mCPC_E9.5_033	0.863875
mCPC_E9.5_034	0.862734
mCPC_E9.5_035	0.864797
mCPC_E9.5_036	0.860169
mCPC_E9.5_037	0.856195
mCPC_E9.5_038	0.865771
mCPC_E9.5_039	0.853653
mCPC_E9.5_040	0.852957
mCPC_E9.5_041	0.846268
mCPC_E9.5_042	0.847021
mCPC_E9.5_043	0.853704
mCPC_E9.5_044	0.843044
mCPC_E9.5_045	0.852739
mCPC_E9.5_046	0.854742
mCPC_E9.5_047	0.854707
mCPC_E9.5_048	0.855546
mCPC_E9.5_049	0.85367
mCPC_E9.5_050	0.853266
mCPC_E9.5_051	0.858049
mCPC_E9.5_052	0.855034
mCPC_E9.5_053	0.856357
mCPC_E9.5_054	0.859539
mCPC_E9.5_055	0.857906
mCPC_E9.5_056	0.851415
mCPC_E9.5_057	0.856228
mCPC_E9.5_058	0.863988
mCPC_E9.5_059	0.85346
mCPC_E9.5_060	0.861193
mCPC_E9.5_061	0.852158
mCPC_E9.5_062	0.855348
mCPC_E9.5_063	0.850777
mCPC_E9.5_064	0.853165
mCPC_E9.5_065	0.849168
mCPC_E9.5_066	0.847598
mCPC_E9.5_067	0.858428
mCPC_E9.5_068	0.845309
mCPC_E9.5_069	0.861257
mCPC_E9.5_070	0.861753
mCPC_E9.5_071	0.86269
mCPC_E9.5_072	0.860667
mCPC_E9.5_073	0.836452
mCPC_E9.5_074	0.835069
mCPC_E9.5_075	0.836331
mCPC_E9.5_076	0.824891
mCPC_E9.5_077	0.826222
mCPC_E9.5_078	0.844483
mCPC_E9.5_079	0.832651
mCPC_E9.5_080	0.827736
mCPC_E9.5_081	0.83922
mCPC_E9.5_082	0.847306
mCPC_E9.5_083	0.844186
mCPC_E9.5_084	0.843222
mCPC_E9.5_085	0.841553
mCPC_E9.5_086	0.847037
mCPC_E9.5_087	0.846778
mCPC_E9.5_088	0.830413
mCPC_E9.5_089	0.831886
mCPC_E9.5_090	0.827012
mCPC_E9.5_091	0.834659
mCPC_E9.5_092	0.820488
mCPC_E9.5_093	0.825972
mCPC_E9.5_094	0.834327
mCPC_E9.5_095	0.827742
mCPC_E9.5_096	0.839964
mCPC_E9.5_097	0.851137
mCPC_E9.5_098	0.838298
mCPC_E9.5_099	0.850137
mCPC_E9.5_100	0.755302
mCPC_E9.5_101	0.845192
mCPC_E9.5_102	0.85217
mCPC_E9.5_103	0.84842
mCPC_E9.5_104	0.841433
mCPC_E9.5_105	0.852575
mCPC_E9.5_106	0.859296
mCPC_E9.5_107	0.852021
mCPC_E9.5_108	0.86171
mCPC_E9.5_109	0.849751
mCPC_E9.5_110	0.848948
mCPC_E9.5_111	0.854282
mCPC_E9.5_112	0.848752
mCPC_E9.5_113	0.849198
mCPC_E9.5_114	0.846021
mCPC_E9.5_115	0.85355
mCPC_E9.5_116	0.842248
mCPC_E9.5_117	0.852637
mCPC_E9.5_118	0.856625
mCPC_E9.5_119	0.842602
mCPC_E9.5_120	0.848422
mCPC_E9.5_121	0.846255
mCPC_E9.5_122	0.836882
mCPC_E9.5_123	0.865826
mCPC_E9.5_124	0.843407
mCPC_E9.5_125	0.838112
mCPC_E9.5_126	0.850824
mCPC_E9.5_127	0.848248
mCPC_E9.5_128	0.850416
mCPC_E9.5_129	0.829944
mCPC_E9.5_130	0.853633
mCPC_E9.5_131	0.848495
mCPC_E9.5_132	0.85289
mCPC_E9.5_133	0.837383
mCPC_E9.5_134	0.847364
mCPC_E9.5_135	0.851489
mCPC_E9.5_136	0.842373
mCPC_E9.5_137	0.849697
mCPC_E9.5_138	0.835488
mCPC_E9.5_139	0.840291
mCPC_E9.5_140	0.844773
mCPC_E9.5_141	0.848527
mCPC_E9.5_142	0.853448
mCPC_E9.5_143	0.838147
mCPC_E9.5_144	0.848426
mCPC_E9.5_145	0.844127
mCPC_E9.5_146	0.847504
mCPC_E9.5_147	0.848961
mCPC_E9.5_148	0.84492
mCPC_E9.5_149	0.842006
mCPC_E9.5_150	0.847504
mCPC_E9.5_151	0.849994
mCPC_E9.5_152	0.856181
mCPC_E9.5_153	0.852427
mCPC_E9.5_154	0.862111
mCPC_E9.5_155	0.849165
mCPC_E9.5_156	0.853988
mCPC_E9.5_157	0.847029
mCPC_E9.5_158	0.847179
