cell	frip
mCPC_E9.5_001	0.499368
mCPC_E9.5_002	0.565865
mCPC_E9.5_003	0.517113
mCPC_E9.5_004	0.508279
mCPC_E9.5_005	0.437120
mCPC_E9.5_006	0.529597
mCPC_E9.5_007	0.620544
mCPC_E9.5_008	0.579589
mCPC_E9.5_009	0.492664
mCPC_E9.5_010	0.502905
mCPC_E9.5_011	0.521509
mCPC_E9.5_012	0.510933
mCPC_E9.5_013	0.521055
mCPC_E9.5_014	0.513439
mCPC_E9.5_015	0.527631
mCPC_E9.5_016	0.551532
mCPC_E9.5_017	0.480082
mCPC_E9.5_018	0.557531
mCPC_E9.5_019	0.529251
mCPC_E9.5_020	0.399659
mCPC_E9.5_021	0.473773
mCPC_E9.5_022	0.608143
mCPC_E9.5_023	0.611179
mCPC_E9.5_024	0.489702
mCPC_E9.5_025	0.490657
mCPC_E9.5_026	0.631453
mCPC_E9.5_027	0.536858
mCPC_E9.5_028	0.532627
mCPC_E9.5_029	0.539404
mCPC_E9.5_030	0.536161
mCPC_E9.5_031	0.524352
mCPC_E9.5_032	0.461849
mCPC_E9.5_033	0.542306
mCPC_E9.5_034	0.561859
mCPC_E9.5_035	0.566552
mCPC_E9.5_036	0.523681
mCPC_E9.5_037	0.533162
mCPC_E9.5_038	0.626244
mCPC_E9.5_039	0.573392
mCPC_E9.5_040	0.491547
mCPC_E9.5_041	0.579968
mCPC_E9.5_042	0.567788
mCPC_E9.5_043	0.438241
mCPC_E9.5_044	0.461999
mCPC_E9.5_045	0.544297
mCPC_E9.5_046	0.459863
mCPC_E9.5_047	0.514584
mCPC_E9.5_048	0.472469
mCPC_E9.5_049	0.469565
mCPC_E9.5_050	0.569515
mCPC_E9.5_051	0.533568
mCPC_E9.5_052	0.557772
mCPC_E9.5_053	0.562410
mCPC_E9.5_054	0.545491
mCPC_E9.5_055	0.516541
mCPC_E9.5_056	0.479273
mCPC_E9.5_057	0.474828
mCPC_E9.5_058	0.555732
mCPC_E9.5_059	0.543653
mCPC_E9.5_060	0.501779
mCPC_E9.5_061	0.660069
mCPC_E9.5_062	0.592852
mCPC_E9.5_063	0.452985
mCPC_E9.5_064	0.577905
mCPC_E9.5_065	0.511032
mCPC_E9.5_066	0.470640
mCPC_E9.5_067	0.491760
mCPC_E9.5_068	0.507419
mCPC_E9.5_069	0.523098
mCPC_E9.5_070	0.511814
mCPC_E9.5_071	0.620201
mCPC_E9.5_072	0.525332
mCPC_E9.5_073	0.472126
mCPC_E9.5_074	0.538315
mCPC_E9.5_075	0.597188
mCPC_E9.5_076	0.612106
mCPC_E9.5_077	0.544737
mCPC_E9.5_078	0.635051
mCPC_E9.5_079	0.570005
mCPC_E9.5_080	0.578636
mCPC_E9.5_081	0.527449
mCPC_E9.5_082	0.519588
mCPC_E9.5_083	0.531867
mCPC_E9.5_084	0.486323
mCPC_E9.5_085	0.509388
mCPC_E9.5_086	0.542586
mCPC_E9.5_087	0.591398
mCPC_E9.5_088	0.505374
mCPC_E9.5_089	0.440589
mCPC_E9.5_090	0.528573
mCPC_E9.5_091	0.515895
mCPC_E9.5_092	0.516172
mCPC_E9.5_093	0.410995
mCPC_E9.5_094	0.463393
mCPC_E9.5_095	0.535393
mCPC_E9.5_096	0.483920
mCPC_E9.5_097	0.497297
mCPC_E9.5_098	0.531259
mCPC_E9.5_099	0.552523
mCPC_E9.5_100	0.471386
mCPC_E9.5_101	0.531835
mCPC_E9.5_102	0.518814
mCPC_E9.5_103	0.426511
mCPC_E9.5_104	0.600336
mCPC_E9.5_105	0.444352
mCPC_E9.5_106	0.464085
mCPC_E9.5_107	0.446125
mCPC_E9.5_108	0.542508
mCPC_E9.5_109	0.499807
mCPC_E9.5_110	0.518237
mCPC_E9.5_111	0.525678
mCPC_E9.5_112	0.515938
mCPC_E9.5_113	0.521869
mCPC_E9.5_114	0.552661
mCPC_E9.5_115	0.530341
mCPC_E9.5_116	0.525405
mCPC_E9.5_117	0.470852
mCPC_E9.5_118	0.539452
mCPC_E9.5_119	0.492478
mCPC_E9.5_120	0.539714
mCPC_E9.5_121	0.562599
mCPC_E9.5_122	0.518634
mCPC_E9.5_123	0.760145
mCPC_E9.5_124	0.536012
mCPC_E9.5_125	0.451672
mCPC_E9.5_126	0.564901
mCPC_E9.5_127	0.496899
mCPC_E9.5_128	0.601733
mCPC_E9.5_129	0.494904
mCPC_E9.5_130	0.521735
mCPC_E9.5_131	0.457129
mCPC_E9.5_132	0.473101
mCPC_E9.5_133	0.481364
mCPC_E9.5_134	0.550909
mCPC_E9.5_135	0.544093
mCPC_E9.5_136	0.517572
mCPC_E9.5_137	0.618895
mCPC_E9.5_138	0.449459
mCPC_E9.5_139	0.537925
mCPC_E9.5_140	0.555206
mCPC_E9.5_141	0.530797
mCPC_E9.5_142	0.505917
mCPC_E9.5_143	0.481532
mCPC_E9.5_144	0.380031
mCPC_E9.5_145	0.443837
mCPC_E9.5_146	0.570267
mCPC_E9.5_147	0.478292
mCPC_E9.5_148	0.483211
mCPC_E9.5_149	0.546493
mCPC_E9.5_150	0.530850
mCPC_E9.5_151	0.489230
mCPC_E9.5_152	0.627386
mCPC_E9.5_153	0.560873
mCPC_E9.5_154	0.660753
mCPC_E9.5_155	0.525316
mCPC_E9.5_156	0.568696
mCPC_E9.5_157	0.587493
mCPC_E9.5_158	0.494695
mCPC_E9.5_159	0.568306
mCPC_E9.5_160	0.526261
mCPC_E9.5_161	0.646060
mCPC_E9.5_162	0.515515
mCPC_E9.5_163	0.595887
mCPC_E9.5_164	0.512498
mCPC_E9.5_165	0.533989
mCPC_E9.5_166	0.488450
mCPC_E9.5_167	0.490576
mCPC_E9.5_168	0.541395
mCPC_E9.5_169	0.586876
mCPC_E9.5_170	0.522901
mCPC_E9.5_171	0.569029
mCPC_E9.5_172	0.567897
mCPC_E9.5_173	0.544848
mCPC_E9.5_174	0.523219
mCPC_E9.5_175	0.435651
mCPC_E9.5_176	0.620797
mCPC_E9.5_177	0.588191
mCPC_E9.5_178	0.487025
mCPC_E9.5_179	0.578322
mCPC_E9.5_180	0.523841
mCPC_E9.5_181	0.523417
