cell	mt_content
mCPC_E9.5_001	0.111324
mCPC_E9.5_002	0.132959
mCPC_E9.5_003	0.138899
mCPC_E9.5_004	0.111466
mCPC_E9.5_005	0.092035
mCPC_E9.5_006	0.107186
mCPC_E9.5_007	0.143098
mCPC_E9.5_008	0.116040
mCPC_E9.5_009	0.132433
mCPC_E9.5_010	0.129489
mCPC_E9.5_011	0.110968
mCPC_E9.5_012	0.129506
mCPC_E9.5_013	0.203691
mCPC_E9.5_014	0.183835
mCPC_E9.5_015	0.133982
mCPC_E9.5_016	0.157487
mCPC_E9.5_017	0.139794
mCPC_E9.5_018	0.230668
mCPC_E9.5_019	0.143801
mCPC_E9.5_020	0.004627
mCPC_E9.5_021	0.144012
mCPC_E9.5_022	0.153296
mCPC_E9.5_023	0.247570
mCPC_E9.5_024	0.114134
mCPC_E9.5_025	0.102979
mCPC_E9.5_026	0.043785
mCPC_E9.5_027	0.152145
mCPC_E9.5_028	0.106590
mCPC_E9.5_029	0.124843
mCPC_E9.5_030	0.118034
mCPC_E9.5_031	0.154122
mCPC_E9.5_032	0.100298
mCPC_E9.5_033	0.157990
mCPC_E9.5_034	0.102262
mCPC_E9.5_035	0.178177
mCPC_E9.5_036	0.165040
mCPC_E9.5_037	0.142615
mCPC_E9.5_038	0.269694
mCPC_E9.5_039	0.136111
mCPC_E9.5_040	0.154406
mCPC_E9.5_041	0.134797
mCPC_E9.5_042	0.180443
mCPC_E9.5_043	0.095468
mCPC_E9.5_044	0.091019
mCPC_E9.5_045	0.119003
mCPC_E9.5_046	0.052841
mCPC_E9.5_047	0.123878
mCPC_E9.5_048	0.101838
mCPC_E9.5_049	0.090281
mCPC_E9.5_050	0.153343
mCPC_E9.5_051	0.125663
mCPC_E9.5_052	0.170202
mCPC_E9.5_053	0.174706
mCPC_E9.5_054	0.124123
mCPC_E9.5_055	0.150475
mCPC_E9.5_056	0.103848
mCPC_E9.5_057	0.084908
mCPC_E9.5_058	0.163682
mCPC_E9.5_059	0.134154
mCPC_E9.5_060	0.130212
mCPC_E9.5_061	0.179794
mCPC_E9.5_062	0.092825
mCPC_E9.5_063	0.018559
mCPC_E9.5_064	0.142197
mCPC_E9.5_065	0.086344
mCPC_E9.5_066	0.086547
mCPC_E9.5_067	0.130302
mCPC_E9.5_068	0.103540
mCPC_E9.5_069	0.137187
mCPC_E9.5_070	0.118269
mCPC_E9.5_071	0.122257
mCPC_E9.5_072	0.123619
