cell	dup_level
mouse_skin_fibr_001	0.893532
mouse_skin_fibr_002	0.897047
mouse_skin_fibr_003	0.900514
mouse_skin_fibr_004	0.897866
mouse_skin_fibr_005	0.898788
mouse_skin_fibr_006	0.89871
mouse_skin_fibr_007	0.899794
mouse_skin_fibr_008	0.897729
mouse_skin_fibr_009	0.893843
mouse_skin_fibr_010	0.900133
mouse_skin_fibr_011	0.899964
mouse_skin_fibr_012	0.896195
mouse_skin_fibr_013	0.902696
mouse_skin_fibr_014	0.899718
mouse_skin_fibr_015	0.905138
mouse_skin_fibr_016	0.898794
mouse_skin_fibr_017	0.901209
mouse_skin_fibr_018	0.89441
mouse_skin_fibr_019	0.898052
mouse_skin_fibr_020	0.897962
mouse_skin_fibr_021	0.900487
mouse_skin_fibr_022	0.90147
mouse_skin_fibr_023	0.894232
mouse_skin_fibr_024	0.892607
mouse_skin_fibr_025	0.899968
mouse_skin_fibr_026	0.899202
mouse_skin_fibr_027	0.905278
mouse_skin_fibr_028	0.901716
mouse_skin_fibr_029	0.906188
mouse_skin_fibr_030	0.901578
mouse_skin_fibr_031	0.904541
mouse_skin_fibr_032	0.902695
mouse_skin_fibr_033	0.900146
mouse_skin_fibr_034	0.903128
mouse_skin_fibr_035	0.902883
mouse_skin_fibr_036	0.904644
mouse_skin_fibr_037	0.903019
mouse_skin_fibr_038	0.901816
mouse_skin_fibr_039	0.905399
mouse_skin_fibr_040	0.898824
mouse_skin_fibr_041	0.900368
mouse_skin_fibr_042	0.899634
mouse_skin_fibr_043	0.901942
mouse_skin_fibr_044	0.896066
mouse_skin_fibr_045	0.903599
mouse_skin_fibr_046	0.903079
mouse_skin_fibr_047	0.897934
mouse_skin_fibr_048	0.900185
mouse_skin_fibr_049	0.899458
mouse_skin_fibr_050	0.898333
mouse_skin_fibr_051	0.906459
mouse_skin_fibr_052	0.899003
mouse_skin_fibr_053	0.89924
mouse_skin_fibr_054	0.902479
mouse_skin_fibr_055	0.904977
mouse_skin_fibr_056	0.90799
mouse_skin_fibr_057	0.901365
mouse_skin_fibr_058	0.904439
mouse_skin_fibr_059	0.906084
mouse_skin_fibr_060	0.90116
mouse_skin_fibr_061	0.905211
mouse_skin_fibr_062	0.899273
mouse_skin_fibr_063	0.903303
mouse_skin_fibr_064	0.898404
mouse_skin_fibr_065	0.891475
mouse_skin_fibr_066	0.895994
mouse_skin_fibr_067	0.900959
mouse_skin_fibr_068	0.891624
mouse_skin_fibr_069	0.899784
mouse_skin_fibr_070	0.90373
mouse_skin_fibr_071	0.901111
mouse_skin_fibr_072	0.896882
mouse_skin_fibr_073	0.89437
mouse_skin_fibr_074	0.894662
mouse_skin_fibr_075	0.901705
mouse_skin_fibr_076	0.895914
mouse_skin_fibr_077	0.896037
mouse_skin_fibr_078	0.894089
mouse_skin_fibr_079	0.897254
mouse_skin_fibr_080	0.890129
mouse_skin_fibr_081	0.891961
mouse_skin_fibr_082	0.892891
mouse_skin_fibr_083	0.899578
mouse_skin_fibr_084	0.895271
mouse_skin_fibr_085	0.89013
mouse_skin_fibr_086	0.895321
mouse_skin_fibr_087	0.896152
mouse_skin_fibr_088	0.890922
mouse_skin_fibr_089	0.891037
mouse_skin_fibr_090	0.889186
mouse_skin_fibr_091	0.891223
mouse_skin_fibr_092	0.893127
mouse_skin_fibr_093	0.894354
mouse_skin_fibr_094	0.902122
mouse_skin_fibr_095	0.888653
mouse_skin_fibr_096	0.89644
mouse_skin_fibr_097	0.906368
mouse_skin_fibr_098	0.902229
mouse_skin_fibr_099	0.905574
mouse_skin_fibr_100	0.876886
mouse_skin_fibr_101	0.903149
mouse_skin_fibr_102	0.903536
mouse_skin_fibr_103	0.906235
mouse_skin_fibr_104	0.905189
mouse_skin_fibr_105	0.90202
mouse_skin_fibr_106	0.902964
mouse_skin_fibr_107	0.903546
mouse_skin_fibr_108	0.901529
mouse_skin_fibr_109	0.900191
mouse_skin_fibr_110	0.898363
mouse_skin_fibr_111	0.900742
mouse_skin_fibr_112	0.898581
mouse_skin_fibr_113	0.895618
mouse_skin_fibr_114	0.897231
mouse_skin_fibr_115	0.899604
mouse_skin_fibr_116	0.897098
mouse_skin_fibr_117	0.900184
mouse_skin_fibr_118	0.904029
mouse_skin_fibr_119	0.90298
mouse_skin_fibr_120	0.8992
mouse_skin_fibr_121	0.900855
mouse_skin_fibr_122	0.904594
mouse_skin_fibr_123	0.904812
mouse_skin_fibr_124	0.906593
mouse_skin_fibr_125	0.902319
mouse_skin_fibr_126	0.906463
mouse_skin_fibr_127	0.905901
mouse_skin_fibr_128	0.905477
mouse_skin_fibr_129	0.8991
mouse_skin_fibr_130	0.907058
mouse_skin_fibr_131	0.902774
mouse_skin_fibr_132	0.899836
mouse_skin_fibr_133	0.898158
mouse_skin_fibr_134	0.898839
mouse_skin_fibr_135	0.906712
mouse_skin_fibr_136	0.90033
mouse_skin_fibr_137	0.902272
mouse_skin_fibr_138	0.899928
mouse_skin_fibr_139	0.902994
mouse_skin_fibr_140	0.904769
mouse_skin_fibr_141	0.904022
mouse_skin_fibr_142	0.906457
mouse_skin_fibr_143	0.902109
mouse_skin_fibr_144	0.901127
mouse_skin_fibr_145	0.897311
mouse_skin_fibr_146	0.891841
mouse_skin_fibr_147	0.905215
mouse_skin_fibr_148	0.903594
mouse_skin_fibr_149	0.905051
mouse_skin_fibr_150	0.901893
mouse_skin_fibr_151	0.902824
mouse_skin_fibr_152	0.905331
mouse_skin_fibr_153	0.898473
mouse_skin_fibr_154	0.90371
mouse_skin_fibr_155	0.903461
mouse_skin_fibr_156	0.894829
mouse_skin_fibr_157	0.89732
mouse_skin_fibr_158	0.901352
mouse_skin_fibr_159	0.901576
mouse_skin_fibr_160	0.899305
mouse_skin_fibr_161	0.897417
mouse_skin_fibr_162	0.895533
mouse_skin_fibr_163	0.899938
mouse_skin_fibr_164	0.898088
mouse_skin_fibr_165	0.899716
mouse_skin_fibr_166	0.903216
mouse_skin_fibr_167	0.898792
mouse_skin_fibr_168	0.900646
mouse_skin_fibr_169	0.893768
mouse_skin_fibr_170	0.89799
mouse_skin_fibr_171	0.898771
mouse_skin_fibr_172	0.897557
mouse_skin_fibr_173	0.898886
mouse_skin_fibr_174	0.898375
mouse_skin_fibr_175	0.902347
mouse_skin_fibr_176	0.897112
mouse_skin_fibr_177	0.895912
mouse_skin_fibr_178	0.902158
mouse_skin_fibr_179	0.898923
mouse_skin_fibr_180	0.89825
mouse_skin_fibr_181	0.897096
mouse_skin_fibr_182	0.896185
mouse_skin_fibr_183	0.901509
mouse_skin_fibr_184	0.900016
mouse_skin_fibr_185	0.895915
mouse_skin_fibr_186	0.891365
mouse_skin_fibr_187	0.900533
mouse_skin_fibr_188	0.894651
mouse_skin_fibr_189	0.898437
mouse_skin_fibr_190	0.906499
mouse_skin_fibr_191	0.901423
mouse_skin_fibr_192	0.896575
mouse_skin_fibr_193	0.883861
mouse_skin_fibr_194	0.899691
mouse_skin_fibr_195	0.905418
mouse_skin_fibr_196	0.898329
mouse_skin_fibr_197	0.898867
mouse_skin_fibr_198	0.904014
mouse_skin_fibr_199	0.899302
mouse_skin_fibr_200	0.901356
mouse_skin_fibr_201	0.897182
mouse_skin_fibr_202	0.900335
mouse_skin_fibr_203	0.900548
mouse_skin_fibr_204	0.898198
mouse_skin_fibr_205	0.893197
mouse_skin_fibr_206	0.893613
mouse_skin_fibr_207	0.900886
mouse_skin_fibr_208	0.898297
mouse_skin_fibr_209	0.893436
mouse_skin_fibr_210	0.895504
mouse_skin_fibr_211	0.896245
mouse_skin_fibr_212	0.891474
mouse_skin_fibr_213	0.898044
mouse_skin_fibr_214	0.899668
mouse_skin_fibr_215	0.894637
mouse_skin_fibr_216	0.895855
mouse_skin_fibr_217	0.906035
mouse_skin_fibr_218	0.902962
mouse_skin_fibr_219	0.907924
mouse_skin_fibr_220	0.902601
mouse_skin_fibr_221	0.906344
mouse_skin_fibr_222	0.905659
mouse_skin_fibr_223	0.906459
mouse_skin_fibr_224	0.900572
mouse_skin_fibr_225	0.9048
mouse_skin_fibr_226	0.903912
mouse_skin_fibr_227	0.897219
mouse_skin_fibr_228	0.904922
mouse_skin_fibr_229	0.897719
mouse_skin_fibr_230	0.902878
mouse_skin_fibr_231	0.905262
mouse_skin_fibr_232	0.900305
mouse_skin_fibr_233	0.900876
mouse_skin_fibr_234	0.898963
mouse_skin_fibr_235	0.899777
mouse_skin_fibr_236	0.898153
mouse_skin_fibr_237	0.902445
mouse_skin_fibr_238	0.903443
mouse_skin_fibr_239	0.898814
mouse_skin_fibr_240	0
mouse_skin_fibr_241	0.899689
mouse_skin_fibr_242	0.903207
mouse_skin_fibr_243	0.905842
mouse_skin_fibr_244	0.898775
mouse_skin_fibr_245	0.883586
mouse_skin_fibr_246	0.890859
mouse_skin_fibr_247	0.904618
mouse_skin_fibr_248	0.90334
mouse_skin_fibr_249	0.901672
mouse_skin_fibr_250	0.901387
mouse_skin_fibr_251	0.904073
mouse_skin_fibr_252	0.902241
mouse_skin_fibr_253	0.892652
mouse_skin_fibr_254	0.894025
mouse_skin_fibr_255	0.898658
mouse_skin_fibr_256	0.897287
mouse_skin_fibr_257	0.897799
mouse_skin_fibr_258	0.894421
mouse_skin_fibr_259	0.899877
mouse_skin_fibr_260	0.895245
mouse_skin_fibr_261	0.897605
mouse_skin_fibr_262	0.905269
mouse_skin_fibr_263	0.901874
mouse_skin_fibr_264	0.899537
mouse_skin_fibr_265	0.89568
mouse_skin_fibr_266	0.895322
mouse_skin_fibr_267	0.89846
mouse_skin_fibr_268	0.892168
mouse_skin_fibr_269	0.893378
mouse_skin_fibr_270	0.896329
mouse_skin_fibr_271	0.894451
mouse_skin_fibr_272	0.894357
mouse_skin_fibr_273	0.888645
mouse_skin_fibr_274	0.895091
mouse_skin_fibr_275	0.898835
mouse_skin_fibr_276	0.8882
mouse_skin_fibr_277	0
mouse_skin_fibr_278	0.888547
mouse_skin_fibr_279	0.895056
mouse_skin_fibr_280	0.895333
mouse_skin_fibr_281	0.89048
mouse_skin_fibr_282	0.888272
mouse_skin_fibr_283	0.888455
mouse_skin_fibr_284	0.884443
mouse_skin_fibr_285	0.892783
mouse_skin_fibr_286	0.896488
mouse_skin_fibr_287	0.889266
mouse_skin_fibr_288	0.894848
mouse_skin_fibr_289	0.898174
mouse_skin_fibr_290	0.896215
mouse_skin_fibr_291	0.890837
mouse_skin_fibr_292	0.890771
mouse_skin_fibr_293	0.892601
mouse_skin_fibr_294	0.90021
mouse_skin_fibr_295	0.89864
mouse_skin_fibr_296	0.879171
mouse_skin_fibr_297	0.892315
mouse_skin_fibr_298	0.901678
mouse_skin_fibr_299	0.896828
mouse_skin_fibr_300	0.895832
mouse_skin_fibr_301	0.895035
mouse_skin_fibr_302	0.896791
mouse_skin_fibr_303	0.900004
