cell	frac_open
mouse_skin_fibr_001	0.154251
mouse_skin_fibr_002	0.381593
mouse_skin_fibr_003	0.165761
mouse_skin_fibr_004	0.282292
mouse_skin_fibr_005	0.213386
mouse_skin_fibr_006	0.216023
mouse_skin_fibr_007	0.291225
mouse_skin_fibr_008	0.205304
mouse_skin_fibr_009	0.214285
mouse_skin_fibr_010	0.173663
mouse_skin_fibr_011	0.226539
mouse_skin_fibr_012	0.100548
mouse_skin_fibr_013	0.231934
mouse_skin_fibr_014	0.198950
mouse_skin_fibr_015	0.255039
mouse_skin_fibr_016	0.268635
mouse_skin_fibr_017	0.180641
mouse_skin_fibr_018	0.273324
mouse_skin_fibr_019	0.058655
mouse_skin_fibr_020	0.263504
mouse_skin_fibr_021	0.170713
mouse_skin_fibr_022	0.226035
mouse_skin_fibr_023	0.186768
mouse_skin_fibr_024	0.395178
mouse_skin_fibr_025	0.229248
mouse_skin_fibr_026	0.232869
mouse_skin_fibr_027	0.391005
mouse_skin_fibr_028	0.213122
mouse_skin_fibr_029	0.245507
mouse_skin_fibr_030	0.288371
mouse_skin_fibr_031	0.160929
mouse_skin_fibr_032	0.223553
mouse_skin_fibr_033	0.177440
mouse_skin_fibr_034	0.300864
mouse_skin_fibr_035	0.161829
mouse_skin_fibr_036	0.198446
mouse_skin_fibr_037	0.177572
mouse_skin_fibr_038	0.221131
mouse_skin_fibr_039	0.150486
mouse_skin_fibr_040	0.231754
mouse_skin_fibr_041	0.126290
mouse_skin_fibr_042	0.217126
mouse_skin_fibr_043	0.180533
mouse_skin_fibr_044	0.197799
mouse_skin_fibr_045	0.186552
mouse_skin_fibr_046	0.107958
mouse_skin_fibr_047	0.149803
mouse_skin_fibr_048	0.169814
mouse_skin_fibr_049	0.183914
mouse_skin_fibr_050	0.259895
mouse_skin_fibr_051	0.218026
mouse_skin_fibr_052	0.223109
mouse_skin_fibr_053	0.168963
mouse_skin_fibr_054	0.219836
mouse_skin_fibr_055	0.073750
mouse_skin_fibr_056	0.140558
mouse_skin_fibr_057	0.238972
mouse_skin_fibr_058	0.172716
mouse_skin_fibr_059	0.207726
mouse_skin_fibr_060	0.254883
mouse_skin_fibr_061	0.383391
mouse_skin_fibr_062	0.198062
mouse_skin_fibr_063	0.109181
mouse_skin_fibr_064	0.264547
mouse_skin_fibr_065	0.021918
mouse_skin_fibr_066	0.231898
mouse_skin_fibr_067	0.077048
mouse_skin_fibr_068	0.043955
mouse_skin_fibr_069	0.212798
mouse_skin_fibr_070	0.256130
mouse_skin_fibr_071	0.059866
mouse_skin_fibr_072	0.169562
mouse_skin_fibr_073	0.211060
mouse_skin_fibr_074	0.197487
mouse_skin_fibr_075	0.167044
mouse_skin_fibr_076	0.326307
mouse_skin_fibr_077	0.222222
mouse_skin_fibr_078	0.182751
mouse_skin_fibr_079	0.177799
mouse_skin_fibr_080	0.034076
mouse_skin_fibr_081	0.109900
mouse_skin_fibr_082	0.223865
mouse_skin_fibr_083	0.127046
mouse_skin_fibr_084	0.179430
mouse_skin_fibr_085	0.252893
mouse_skin_fibr_086	0.197811
mouse_skin_fibr_087	0.106099
mouse_skin_fibr_088	0.212151
mouse_skin_fibr_089	0.256250
mouse_skin_fibr_090	0.085225
mouse_skin_fibr_091	0.205244
mouse_skin_fibr_092	0.188998
mouse_skin_fibr_093	0.061437
mouse_skin_fibr_094	0.041258
mouse_skin_fibr_095	0.038991
mouse_skin_fibr_096	0.136962
mouse_skin_fibr_097	0.163447
mouse_skin_fibr_098	0.149431
mouse_skin_fibr_099	0.288515
mouse_skin_fibr_100	0.273647
mouse_skin_fibr_101	0.234812
mouse_skin_fibr_102	0.099829
mouse_skin_fibr_103	0.085441
mouse_skin_fibr_104	0.214872
mouse_skin_fibr_105	0.120188
mouse_skin_fibr_106	0.231934
mouse_skin_fibr_107	0.346834
mouse_skin_fibr_108	0.415609
mouse_skin_fibr_109	0.055861
mouse_skin_fibr_110	0.223325
mouse_skin_fibr_111	0.231359
mouse_skin_fibr_112	0.271045
mouse_skin_fibr_113	0.222786
mouse_skin_fibr_114	0.261657
mouse_skin_fibr_115	0.207594
mouse_skin_fibr_116	0.281333
mouse_skin_fibr_117	0.112862
mouse_skin_fibr_118	0.200940
mouse_skin_fibr_119	0.168699
mouse_skin_fibr_120	0.251873
mouse_skin_fibr_121	0.220783
mouse_skin_fibr_122	0.256777
mouse_skin_fibr_123	0.147896
mouse_skin_fibr_124	0.120223
mouse_skin_fibr_125	0.432742
mouse_skin_fibr_126	0.135727
mouse_skin_fibr_127	0.199921
mouse_skin_fibr_128	0.228625
mouse_skin_fibr_129	0.458856
mouse_skin_fibr_130	0.380430
mouse_skin_fibr_131	0.240579
mouse_skin_fibr_132	0.199705
mouse_skin_fibr_133	0.261753
mouse_skin_fibr_134	0.245339
mouse_skin_fibr_135	0.113449
mouse_skin_fibr_136	0.240891
mouse_skin_fibr_137	0.096256
mouse_skin_fibr_138	0.317387
mouse_skin_fibr_139	0.218469
mouse_skin_fibr_140	0.333657
mouse_skin_fibr_141	0.178483
mouse_skin_fibr_142	0.127226
mouse_skin_fibr_143	0.216263
mouse_skin_fibr_144	0.204165
mouse_skin_fibr_145	0.251490
mouse_skin_fibr_146	0.019268
mouse_skin_fibr_147	0.238325
mouse_skin_fibr_148	0.202139
mouse_skin_fibr_149	0.202307
mouse_skin_fibr_150	0.310420
mouse_skin_fibr_151	0.210148
mouse_skin_fibr_152	0.245387
mouse_skin_fibr_153	0.271561
mouse_skin_fibr_154	0.235843
mouse_skin_fibr_155	0.226515
mouse_skin_fibr_156	0.139371
mouse_skin_fibr_157	0.241250
mouse_skin_fibr_158	0.215939
mouse_skin_fibr_159	0.198458
mouse_skin_fibr_160	0.233109
mouse_skin_fibr_161	0.216947
mouse_skin_fibr_162	0.121351
mouse_skin_fibr_163	0.120319
mouse_skin_fibr_164	0.282652
mouse_skin_fibr_165	0.214261
mouse_skin_fibr_166	0.212870
mouse_skin_fibr_167	0.126842
mouse_skin_fibr_168	0.036917
mouse_skin_fibr_169	0.261082
mouse_skin_fibr_170	0.204729
mouse_skin_fibr_171	0.224452
mouse_skin_fibr_172	0.136518
mouse_skin_fibr_173	0.216119
mouse_skin_fibr_174	0.186276
mouse_skin_fibr_175	0.162704
mouse_skin_fibr_176	0.226982
mouse_skin_fibr_177	0.310972
mouse_skin_fibr_178	0.250890
mouse_skin_fibr_179	0.206659
mouse_skin_fibr_180	0.221047
mouse_skin_fibr_181	0.210064
mouse_skin_fibr_182	0.032193
mouse_skin_fibr_183	0.205148
mouse_skin_fibr_184	0.205472
mouse_skin_fibr_185	0.164215
mouse_skin_fibr_186	0.142441
mouse_skin_fibr_187	0.160690
mouse_skin_fibr_188	0.306308
mouse_skin_fibr_189	0.214045
mouse_skin_fibr_190	0.206539
mouse_skin_fibr_191	0.138928
mouse_skin_fibr_192	0.230507
mouse_skin_fibr_193	0.016906
mouse_skin_fibr_194	0.220436
mouse_skin_fibr_195	0.237042
mouse_skin_fibr_196	0.322590
mouse_skin_fibr_197	0.199717
mouse_skin_fibr_198	0.186228
mouse_skin_fibr_199	0.141470
mouse_skin_fibr_200	0.298299
mouse_skin_fibr_201	0.215004
mouse_skin_fibr_202	0.188027
mouse_skin_fibr_203	0.227318
mouse_skin_fibr_204	0.218026
mouse_skin_fibr_205	0.171037
mouse_skin_fibr_206	0.232941
mouse_skin_fibr_207	0.212714
mouse_skin_fibr_208	0.084721
mouse_skin_fibr_209	0.235843
mouse_skin_fibr_210	0.068055
mouse_skin_fibr_211	0.241058
mouse_skin_fibr_212	0.425920
mouse_skin_fibr_213	0.254487
mouse_skin_fibr_214	0.150894
mouse_skin_fibr_215	0.206264
mouse_skin_fibr_216	0.089026
mouse_skin_fibr_217	0.107574
mouse_skin_fibr_218	0.271093
mouse_skin_fibr_219	0.046245
mouse_skin_fibr_220	0.221671
mouse_skin_fibr_221	0.118257
mouse_skin_fibr_222	0.148256
mouse_skin_fibr_223	0.191228
mouse_skin_fibr_224	0.625805
mouse_skin_fibr_225	0.235543
mouse_skin_fibr_226	0.188782
mouse_skin_fibr_227	0.021174
mouse_skin_fibr_228	0.120559
mouse_skin_fibr_229	0.210472
mouse_skin_fibr_230	0.122621
mouse_skin_fibr_231	0.174586
mouse_skin_fibr_232	0.245938
mouse_skin_fibr_233	0.189130
mouse_skin_fibr_234	0.300936
mouse_skin_fibr_235	0.145582
mouse_skin_fibr_236	0.240027
mouse_skin_fibr_237	0.223673
mouse_skin_fibr_238	0.062564
mouse_skin_fibr_239	0.255015
mouse_skin_fibr_240	0.000983
mouse_skin_fibr_241	0.248324
mouse_skin_fibr_242	0.047444
mouse_skin_fibr_243	0.325444
mouse_skin_fibr_244	0.178039
mouse_skin_fibr_245	0.010203
mouse_skin_fibr_246	0.006750
mouse_skin_fibr_247	0.230351
mouse_skin_fibr_248	0.234740
mouse_skin_fibr_249	0.174262
mouse_skin_fibr_250	0.166337
mouse_skin_fibr_251	0.224344
mouse_skin_fibr_252	0.295757
mouse_skin_fibr_253	0.217918
mouse_skin_fibr_254	0.243432
mouse_skin_fibr_255	0.261849
mouse_skin_fibr_256	0.185641
mouse_skin_fibr_257	0.223265
mouse_skin_fibr_258	0.134444
mouse_skin_fibr_259	0.171445
mouse_skin_fibr_260	0.232462
mouse_skin_fibr_261	0.480846
mouse_skin_fibr_262	0.157968
mouse_skin_fibr_263	0.168591
mouse_skin_fibr_264	0.262281
mouse_skin_fibr_265	0.103653
mouse_skin_fibr_266	0.159227
mouse_skin_fibr_267	0.163615
mouse_skin_fibr_268	0.184586
mouse_skin_fibr_269	0.285853
mouse_skin_fibr_270	0.033596
mouse_skin_fibr_271	0.097670
mouse_skin_fibr_272	0.218134
mouse_skin_fibr_273	0.335575
