cell	frip
mouse_skin_fibr_001	0.449739
mouse_skin_fibr_002	0.508898
mouse_skin_fibr_003	0.519640
mouse_skin_fibr_004	0.596266
mouse_skin_fibr_005	0.595740
mouse_skin_fibr_006	0.488867
mouse_skin_fibr_007	0.412179
mouse_skin_fibr_008	0.525543
mouse_skin_fibr_009	0.509909
mouse_skin_fibr_010	0.538180
mouse_skin_fibr_011	0.515940
mouse_skin_fibr_012	0.592629
mouse_skin_fibr_013	0.447247
mouse_skin_fibr_014	0.382790
mouse_skin_fibr_015	0.491169
mouse_skin_fibr_016	0.537104
mouse_skin_fibr_017	0.467052
mouse_skin_fibr_018	0.405227
mouse_skin_fibr_019	0.551732
mouse_skin_fibr_020	0.452265
mouse_skin_fibr_021	0.526172
mouse_skin_fibr_022	0.454354
mouse_skin_fibr_023	0.268874
mouse_skin_fibr_024	0.455860
mouse_skin_fibr_025	0.491708
mouse_skin_fibr_026	0.458442
mouse_skin_fibr_027	0.522743
mouse_skin_fibr_028	0.472776
mouse_skin_fibr_029	0.414405
mouse_skin_fibr_030	0.511347
mouse_skin_fibr_031	0.539473
mouse_skin_fibr_032	0.482808
mouse_skin_fibr_033	0.557895
mouse_skin_fibr_034	0.544718
mouse_skin_fibr_035	0.488273
mouse_skin_fibr_036	0.443594
mouse_skin_fibr_037	0.509887
mouse_skin_fibr_038	0.507220
mouse_skin_fibr_039	0.593669
mouse_skin_fibr_040	0.509992
mouse_skin_fibr_041	0.590407
mouse_skin_fibr_042	0.472560
mouse_skin_fibr_043	0.534926
mouse_skin_fibr_044	0.567147
mouse_skin_fibr_045	0.495215
mouse_skin_fibr_046	0.535123
mouse_skin_fibr_047	0.480349
mouse_skin_fibr_048	0.449286
mouse_skin_fibr_049	0.505531
mouse_skin_fibr_050	0.431864
mouse_skin_fibr_051	0.522469
mouse_skin_fibr_052	0.511199
mouse_skin_fibr_053	0.474663
mouse_skin_fibr_054	0.482342
mouse_skin_fibr_055	0.569818
mouse_skin_fibr_056	0.515316
mouse_skin_fibr_057	0.469965
mouse_skin_fibr_058	0.556451
mouse_skin_fibr_059	0.473967
mouse_skin_fibr_060	0.477098
mouse_skin_fibr_061	0.566939
mouse_skin_fibr_062	0.499703
mouse_skin_fibr_063	0.549670
mouse_skin_fibr_064	0.480075
mouse_skin_fibr_065	0.513388
mouse_skin_fibr_066	0.511342
mouse_skin_fibr_067	0.554729
mouse_skin_fibr_068	0.514002
mouse_skin_fibr_069	0.467829
mouse_skin_fibr_070	0.469435
mouse_skin_fibr_071	0.589065
mouse_skin_fibr_072	0.486031
mouse_skin_fibr_073	0.464058
mouse_skin_fibr_074	0.506526
mouse_skin_fibr_075	0.586438
mouse_skin_fibr_076	0.508704
mouse_skin_fibr_077	0.500994
mouse_skin_fibr_078	0.527112
mouse_skin_fibr_079	0.390748
mouse_skin_fibr_080	0.317876
mouse_skin_fibr_081	0.470905
mouse_skin_fibr_082	0.538169
mouse_skin_fibr_083	0.530810
mouse_skin_fibr_084	0.612019
mouse_skin_fibr_085	0.448380
mouse_skin_fibr_086	0.547663
mouse_skin_fibr_087	0.521857
mouse_skin_fibr_088	0.577268
mouse_skin_fibr_089	0.468015
mouse_skin_fibr_090	0.545613
mouse_skin_fibr_091	0.474005
mouse_skin_fibr_092	0.491877
mouse_skin_fibr_093	0.464367
mouse_skin_fibr_094	0.484490
mouse_skin_fibr_095	0.521699
mouse_skin_fibr_096	0.565593
mouse_skin_fibr_097	0.483928
mouse_skin_fibr_098	0.399369
mouse_skin_fibr_099	0.501551
mouse_skin_fibr_100	0.494901
mouse_skin_fibr_101	0.533956
mouse_skin_fibr_102	0.504002
mouse_skin_fibr_103	0.286080
mouse_skin_fibr_104	0.525824
mouse_skin_fibr_105	0.562695
mouse_skin_fibr_106	0.433300
mouse_skin_fibr_107	0.491633
mouse_skin_fibr_108	0.439560
mouse_skin_fibr_109	0.641982
mouse_skin_fibr_110	0.451232
mouse_skin_fibr_111	0.540316
mouse_skin_fibr_112	0.517528
mouse_skin_fibr_113	0.466997
mouse_skin_fibr_114	0.484864
mouse_skin_fibr_115	0.550602
mouse_skin_fibr_116	0.433633
mouse_skin_fibr_117	0.526446
