cell	library_size
mouse_skin_fibr_001	39537
mouse_skin_fibr_002	113517
mouse_skin_fibr_003	34879
mouse_skin_fibr_004	72584
mouse_skin_fibr_005	46080
mouse_skin_fibr_006	56502
mouse_skin_fibr_007	103749
mouse_skin_fibr_008	47648
mouse_skin_fibr_009	50918
mouse_skin_fibr_010	37796
mouse_skin_fibr_011	56337
mouse_skin_fibr_012	18818
mouse_skin_fibr_013	68169
mouse_skin_fibr_014	68137
mouse_skin_fibr_015	66871
mouse_skin_fibr_016	84321
mouse_skin_fibr_017	54573
mouse_skin_fibr_018	83769
mouse_skin_fibr_019	12932
mouse_skin_fibr_020	90903
mouse_skin_fibr_021	40254
mouse_skin_fibr_022	63874
mouse_skin_fibr_023	85507
mouse_skin_fibr_024	137087
mouse_skin_fibr_025	60304
mouse_skin_fibr_026	59606
mouse_skin_fibr_027	122084
mouse_skin_fibr_028	56404
mouse_skin_fibr_029	77558
mouse_skin_fibr_030	89540
mouse_skin_fibr_031	35874
mouse_skin_fibr_032	59216
mouse_skin_fibr_033	37189
mouse_skin_fibr_034	83805
mouse_skin_fibr_035	37564
mouse_skin_fibr_036	59028
mouse_skin_fibr_037	44857
mouse_skin_fibr_038	50974
mouse_skin_fibr_039	31702
mouse_skin_fibr_040	64854
mouse_skin_fibr_041	25364
mouse_skin_fibr_042	57455
mouse_skin_fibr_043	41431
mouse_skin_fibr_044	47287
mouse_skin_fibr_045	46919
mouse_skin_fibr_046	25069
mouse_skin_fibr_047	37531
mouse_skin_fibr_048	44131
mouse_skin_fibr_049	43937
mouse_skin_fibr_050	74648
mouse_skin_fibr_051	53964
mouse_skin_fibr_052	53222
mouse_skin_fibr_053	45134
mouse_skin_fibr_054	54764
mouse_skin_fibr_055	13793
mouse_skin_fibr_056	35452
mouse_skin_fibr_057	63046
mouse_skin_fibr_058	39726
mouse_skin_fibr_059	53434
mouse_skin_fibr_060	70213
mouse_skin_fibr_061	113143
mouse_skin_fibr_062	47072
mouse_skin_fibr_063	23052
mouse_skin_fibr_064	68159
mouse_skin_fibr_065	3548
mouse_skin_fibr_066	55727
mouse_skin_fibr_067	15056
mouse_skin_fibr_068	7749
mouse_skin_fibr_069	55565
mouse_skin_fibr_070	70474
mouse_skin_fibr_071	12968
mouse_skin_fibr_072	39375
mouse_skin_fibr_073	58432
mouse_skin_fibr_074	45820
mouse_skin_fibr_075	39671
mouse_skin_fibr_076	95934
mouse_skin_fibr_077	53330
mouse_skin_fibr_078	43914
mouse_skin_fibr_079	62533
mouse_skin_fibr_080	9522
mouse_skin_fibr_081	29543
mouse_skin_fibr_082	52717
mouse_skin_fibr_083	27752
mouse_skin_fibr_084	37027
mouse_skin_fibr_085	78504
mouse_skin_fibr_086	43957
mouse_skin_fibr_087	20132
mouse_skin_fibr_088	48505
mouse_skin_fibr_089	70586
mouse_skin_fibr_090	15523
mouse_skin_fibr_091	53688
mouse_skin_fibr_092	50352
mouse_skin_fibr_093	15450
mouse_skin_fibr_094	10219
mouse_skin_fibr_095	6567
mouse_skin_fibr_096	25842
mouse_skin_fibr_097	45919
mouse_skin_fibr_098	47412
mouse_skin_fibr_099	74126
mouse_skin_fibr_100	77195
mouse_skin_fibr_101	54955
mouse_skin_fibr_102	20241
mouse_skin_fibr_103	50333
mouse_skin_fibr_104	51698
mouse_skin_fibr_105	25632
mouse_skin_fibr_106	71051
mouse_skin_fibr_107	108761
mouse_skin_fibr_108	139490
mouse_skin_fibr_109	9061
mouse_skin_fibr_110	63887
mouse_skin_fibr_111	53008
mouse_skin_fibr_112	67637
mouse_skin_fibr_113	57150
mouse_skin_fibr_114	68188
mouse_skin_fibr_115	48755
mouse_skin_fibr_116	78921
mouse_skin_fibr_117	25563
mouse_skin_fibr_118	47125
mouse_skin_fibr_119	33924
mouse_skin_fibr_120	62970
mouse_skin_fibr_121	55253
mouse_skin_fibr_122	74008
mouse_skin_fibr_123	45382
mouse_skin_fibr_124	28907
mouse_skin_fibr_125	158263
mouse_skin_fibr_126	29272
mouse_skin_fibr_127	45424
mouse_skin_fibr_128	57076
mouse_skin_fibr_129	198128
mouse_skin_fibr_130	112571
mouse_skin_fibr_131	90167
mouse_skin_fibr_132	48536
mouse_skin_fibr_133	73773
mouse_skin_fibr_134	64458
mouse_skin_fibr_135	30049
mouse_skin_fibr_136	60907
mouse_skin_fibr_137	23588
mouse_skin_fibr_138	110540
mouse_skin_fibr_139	54350
mouse_skin_fibr_140	98302
mouse_skin_fibr_141	53357
mouse_skin_fibr_142	44455
mouse_skin_fibr_143	61896
mouse_skin_fibr_144	51433
mouse_skin_fibr_145	68050
mouse_skin_fibr_146	2964
mouse_skin_fibr_147	70591
mouse_skin_fibr_148	83678
mouse_skin_fibr_149	44821
mouse_skin_fibr_150	96060
mouse_skin_fibr_151	58034
mouse_skin_fibr_152	60375
mouse_skin_fibr_153	78121
mouse_skin_fibr_154	59967
mouse_skin_fibr_155	57770
mouse_skin_fibr_156	29712
mouse_skin_fibr_157	58808
mouse_skin_fibr_158	55225
mouse_skin_fibr_159	48969
mouse_skin_fibr_160	54864
mouse_skin_fibr_161	52209
mouse_skin_fibr_162	22289
mouse_skin_fibr_163	24250
mouse_skin_fibr_164	73336
mouse_skin_fibr_165	51988
mouse_skin_fibr_166	53230
mouse_skin_fibr_167	32804
mouse_skin_fibr_168	9110
mouse_skin_fibr_169	82409
mouse_skin_fibr_170	49045
mouse_skin_fibr_171	56420
mouse_skin_fibr_172	28492
mouse_skin_fibr_173	53486
mouse_skin_fibr_174	47382
mouse_skin_fibr_175	33774
mouse_skin_fibr_176	67849
mouse_skin_fibr_177	91708
mouse_skin_fibr_178	73059
mouse_skin_fibr_179	49651
mouse_skin_fibr_180	90000
mouse_skin_fibr_181	93151
mouse_skin_fibr_182	6574
mouse_skin_fibr_183	48978
mouse_skin_fibr_184	83982
mouse_skin_fibr_185	35867
mouse_skin_fibr_186	48175
