cell	mapping_rate
mouse_skin_fibr_001	97.05
mouse_skin_fibr_002	97.49
mouse_skin_fibr_003	97.30
mouse_skin_fibr_004	97.05
mouse_skin_fibr_005	97.47
mouse_skin_fibr_006	97.17
mouse_skin_fibr_007	96.75
mouse_skin_fibr_008	97.16
mouse_skin_fibr_009	97.42
mouse_skin_fibr_010	97.75
mouse_skin_fibr_011	96.98
mouse_skin_fibr_012	97.45
mouse_skin_fibr_013	96.98
mouse_skin_fibr_014	97.49
mouse_skin_fibr_015	97.47
mouse_skin_fibr_016	97.43
mouse_skin_fibr_017	97.73
mouse_skin_fibr_018	96.95
mouse_skin_fibr_019	97.61
mouse_skin_fibr_020	96.81
mouse_skin_fibr_021	97.03
mouse_skin_fibr_022	96.82
mouse_skin_fibr_023	96.89
mouse_skin_fibr_024	97.33
mouse_skin_fibr_025	97.30
mouse_skin_fibr_026	97.47
mouse_skin_fibr_027	97.65
mouse_skin_fibr_028	97.21
mouse_skin_fibr_029	97.05
mouse_skin_fibr_030	97.48
mouse_skin_fibr_031	97.54
mouse_skin_fibr_032	96.93
mouse_skin_fibr_033	97.36
mouse_skin_fibr_034	97.52
mouse_skin_fibr_035	97.57
mouse_skin_fibr_036	97.44
mouse_skin_fibr_037	97.18
mouse_skin_fibr_038	97.23
mouse_skin_fibr_039	97.43
mouse_skin_fibr_040	97.35
mouse_skin_fibr_041	97.42
mouse_skin_fibr_042	97.12
mouse_skin_fibr_043	97.41
mouse_skin_fibr_044	97.50
mouse_skin_fibr_045	97.40
mouse_skin_fibr_046	97.40
mouse_skin_fibr_047	96.87
mouse_skin_fibr_048	97.11
mouse_skin_fibr_049	97.23
mouse_skin_fibr_050	97.07
mouse_skin_fibr_051	97.42
mouse_skin_fibr_052	96.99
mouse_skin_fibr_053	97.57
mouse_skin_fibr_054	97.41
mouse_skin_fibr_055	96.80
mouse_skin_fibr_056	97.72
mouse_skin_fibr_057	97.25
mouse_skin_fibr_058	95.74
mouse_skin_fibr_059	97.31
mouse_skin_fibr_060	97.18
mouse_skin_fibr_061	97.69
mouse_skin_fibr_062	96.83
mouse_skin_fibr_063	97.51
mouse_skin_fibr_064	97.00
mouse_skin_fibr_065	96.48
mouse_skin_fibr_066	97.14
mouse_skin_fibr_067	97.23
mouse_skin_fibr_068	97.37
mouse_skin_fibr_069	97.28
mouse_skin_fibr_070	96.98
