cell	mt_content
mouse_skin_fibr_001	0.028254
mouse_skin_fibr_002	0.021927
mouse_skin_fibr_003	0.016257
mouse_skin_fibr_004	0.023119
mouse_skin_fibr_005	0.021442
mouse_skin_fibr_006	0.019575
mouse_skin_fibr_007	0.015548
mouse_skin_fibr_008	0.021135
mouse_skin_fibr_009	0.026771
mouse_skin_fibr_010	0.049186
mouse_skin_fibr_011	0.009426
mouse_skin_fibr_012	0.060318
mouse_skin_fibr_013	0.034239
mouse_skin_fibr_014	0.033390
mouse_skin_fibr_015	0.043592
mouse_skin_fibr_016	0.067306
mouse_skin_fibr_017	0.037914
mouse_skin_fibr_018	0.009706
mouse_skin_fibr_019	0.156820
mouse_skin_fibr_020	0.020617
mouse_skin_fibr_021	0.041165
mouse_skin_fibr_022	0.020839
mouse_skin_fibr_023	0.019427
mouse_skin_fibr_024	0.029779
mouse_skin_fibr_025	0.035969
mouse_skin_fibr_026	0.006610
mouse_skin_fibr_027	0.022002
mouse_skin_fibr_028	0.041630
mouse_skin_fibr_029	0.037753
mouse_skin_fibr_030	0.049935
mouse_skin_fibr_031	0.054080
mouse_skin_fibr_032	0.017057
mouse_skin_fibr_033	0.019791
mouse_skin_fibr_034	0.014999
mouse_skin_fibr_035	0.067859
mouse_skin_fibr_036	0.056144
mouse_skin_fibr_037	0.055221
mouse_skin_fibr_038	0.018088
mouse_skin_fibr_039	0.052552
mouse_skin_fibr_040	0.073553
mouse_skin_fibr_041	0.076963
mouse_skin_fibr_042	0.032548
mouse_skin_fibr_043	0.047260
mouse_skin_fibr_044	0.035890
mouse_skin_fibr_045	0.052879
mouse_skin_fibr_046	0.106745
mouse_skin_fibr_047	0.025820
mouse_skin_fibr_048	0.036438
mouse_skin_fibr_049	0.022852
mouse_skin_fibr_050	0.012714
mouse_skin_fibr_051	0.069955
mouse_skin_fibr_052	0.015746
mouse_skin_fibr_053	0.049787
mouse_skin_fibr_054	0.016051
mouse_skin_fibr_055	0.064960
mouse_skin_fibr_056	0.068346
mouse_skin_fibr_057	0.023492
mouse_skin_fibr_058	0.036325
mouse_skin_fibr_059	0.018696
mouse_skin_fibr_060	0.038057
mouse_skin_fibr_061	0.017315
mouse_skin_fibr_062	0.018993
mouse_skin_fibr_063	0.090838
mouse_skin_fibr_064	0.010271
mouse_skin_fibr_065	0.017756
mouse_skin_fibr_066	0.014590
mouse_skin_fibr_067	0.101554
mouse_skin_fibr_068	0.049684
mouse_skin_fibr_069	0.015658
mouse_skin_fibr_070	0.016290
mouse_skin_fibr_071	0.151912
mouse_skin_fibr_072	0.035608
mouse_skin_fibr_073	0.043558
mouse_skin_fibr_074	0.046009
mouse_skin_fibr_075	0.149710
mouse_skin_fibr_076	0.028428
mouse_skin_fibr_077	0.011758
mouse_skin_fibr_078	0.008859
mouse_skin_fibr_079	0.012506
mouse_skin_fibr_080	0.021006
mouse_skin_fibr_081	0.086693
mouse_skin_fibr_082	0.014588
mouse_skin_fibr_083	0.068790
mouse_skin_fibr_084	0.036813
mouse_skin_fibr_085	0.059888
mouse_skin_fibr_086	0.012786
mouse_skin_fibr_087	0.030351
mouse_skin_fibr_088	0.030722
mouse_skin_fibr_089	0.022797
mouse_skin_fibr_090	0.021711
mouse_skin_fibr_091	0.029395
mouse_skin_fibr_092	0.011123
mouse_skin_fibr_093	0.119878
mouse_skin_fibr_094	0.109893
mouse_skin_fibr_095	0.024212
mouse_skin_fibr_096	0.047405
mouse_skin_fibr_097	0.024936
mouse_skin_fibr_098	0.035224
mouse_skin_fibr_099	0.013342
mouse_skin_fibr_100	0.030244
mouse_skin_fibr_101	0.019089
mouse_skin_fibr_102	0.044168
mouse_skin_fibr_103	0.025272
mouse_skin_fibr_104	0.042420
mouse_skin_fibr_105	0.088912
mouse_skin_fibr_106	0.023941
mouse_skin_fibr_107	0.018270
mouse_skin_fibr_108	0.019493
mouse_skin_fibr_109	0.097561
mouse_skin_fibr_110	0.011818
mouse_skin_fibr_111	0.021299
mouse_skin_fibr_112	0.010882
mouse_skin_fibr_113	0.020858
mouse_skin_fibr_114	0.023202
mouse_skin_fibr_115	0.025680
mouse_skin_fibr_116	0.014471
mouse_skin_fibr_117	0.086339
mouse_skin_fibr_118	0.010398
mouse_skin_fibr_119	0.029950
mouse_skin_fibr_120	0.012324
mouse_skin_fibr_121	0.029900
mouse_skin_fibr_122	0.023309
mouse_skin_fibr_123	0.043080
mouse_skin_fibr_124	0.102051
mouse_skin_fibr_125	0.055631
mouse_skin_fibr_126	0.084210
mouse_skin_fibr_127	0.034938
mouse_skin_fibr_128	0.030644
mouse_skin_fibr_129	0.039895
mouse_skin_fibr_130	0.016354
mouse_skin_fibr_131	0.011257
mouse_skin_fibr_132	0.028805
mouse_skin_fibr_133	0.013244
mouse_skin_fibr_134	0.044822
mouse_skin_fibr_135	0.168525
mouse_skin_fibr_136	0.012281
mouse_skin_fibr_137	0.196625
mouse_skin_fibr_138	0.013064
mouse_skin_fibr_139	0.015750
mouse_skin_fibr_140	0.023927
mouse_skin_fibr_141	0.034185
mouse_skin_fibr_142	0.122239
