cell	sequencing_depth
mouse_skin_fibr_001	403279
mouse_skin_fibr_002	1187354
mouse_skin_fibr_003	379194
mouse_skin_fibr_004	771574
mouse_skin_fibr_005	491972
mouse_skin_fibr_006	603762
mouse_skin_fibr_007	1123736
mouse_skin_fibr_008	505733
mouse_skin_fibr_009	521086
mouse_skin_fibr_010	414086
mouse_skin_fibr_011	608799
mouse_skin_fibr_012	199935
mouse_skin_fibr_013	766141
mouse_skin_fibr_014	737818
mouse_skin_fibr_015	770984
mouse_skin_fibr_016	923407
mouse_skin_fibr_017	598118
mouse_skin_fibr_018	859111
mouse_skin_fibr_019	145317
mouse_skin_fibr_020	971955
mouse_skin_fibr_021	443342
mouse_skin_fibr_022	705599
mouse_skin_fibr_023	879500
mouse_skin_fibr_024	1383761
mouse_skin_fibr_025	663225
mouse_skin_fibr_026	638641
mouse_skin_fibr_027	1396517
mouse_skin_fibr_028	632317
mouse_skin_fibr_029	911221
mouse_skin_fibr_030	1004230
mouse_skin_fibr_031	413557
mouse_skin_fibr_032	665515
mouse_skin_fibr_033	406239
mouse_skin_fibr_034	939491
mouse_skin_fibr_035	430542
mouse_skin_fibr_036	688579
mouse_skin_fibr_037	513381
mouse_skin_fibr_038	565601
mouse_skin_fibr_039	370794
mouse_skin_fibr_040	717316
mouse_skin_fibr_041	285605
mouse_skin_fibr_042	628659
mouse_skin_fibr_043	466307
mouse_skin_fibr_044	496423
mouse_skin_fibr_045	538472
mouse_skin_fibr_046	295108
mouse_skin_fibr_047	404740
mouse_skin_fibr_048	487019
mouse_skin_fibr_049	477997
mouse_skin_fibr_050	803491
mouse_skin_fibr_051	644508
mouse_skin_fibr_052	576993
mouse_skin_fibr_053	490534
mouse_skin_fibr_054	609879
mouse_skin_fibr_055	162981
mouse_skin_fibr_056	425532
mouse_skin_fibr_057	698030
mouse_skin_fibr_058	466271
mouse_skin_fibr_059	620310
mouse_skin_fibr_060	783302
mouse_skin_fibr_061	1291792
mouse_skin_fibr_062	514292
mouse_skin_fibr_063	267764
mouse_skin_fibr_064	731766
mouse_skin_fibr_065	35990
mouse_skin_fibr_066	585999
mouse_skin_fibr_067	172630
mouse_skin_fibr_068	78636
mouse_skin_fibr_069	604975
mouse_skin_fibr_070	802629
mouse_skin_fibr_071	150652
mouse_skin_fibr_072	421705
mouse_skin_fibr_073	622481
mouse_skin_fibr_074	482034
mouse_skin_fibr_075	471845
mouse_skin_fibr_076	1024032
mouse_skin_fibr_077	565793
mouse_skin_fibr_078	462445
mouse_skin_fibr_079	674083
mouse_skin_fibr_080	95088
mouse_skin_fibr_081	309806
mouse_skin_fibr_082	548304
mouse_skin_fibr_083	310198
mouse_skin_fibr_084	392952
mouse_skin_fibr_085	807668
mouse_skin_fibr_086	461307
mouse_skin_fibr_087	212393
mouse_skin_fibr_088	492931
mouse_skin_fibr_089	724766
mouse_skin_fibr_090	155811
mouse_skin_fibr_091	550974
mouse_skin_fibr_092	522563
mouse_skin_fibr_093	169170
mouse_skin_fibr_094	124256
mouse_skin_fibr_095	65621
mouse_skin_fibr_096	278464
mouse_skin_fibr_097	527026
mouse_skin_fibr_098	556038
mouse_skin_fibr_099	854226
mouse_skin_fibr_100	705402
mouse_skin_fibr_101	619345
mouse_skin_fibr_102	228161
mouse_skin_fibr_103	642686
mouse_skin_fibr_104	599426
mouse_skin_fibr_105	294153
mouse_skin_fibr_106	796324
mouse_skin_fibr_107	1217570
mouse_skin_fibr_108	1541484
mouse_skin_fibr_109	102434
mouse_skin_fibr_110	686952
mouse_skin_fibr_111	578872
mouse_skin_fibr_112	722490
mouse_skin_fibr_113	601546
mouse_skin_fibr_114	723612
mouse_skin_fibr_115	531616
mouse_skin_fibr_116	830980
mouse_skin_fibr_117	286622
mouse_skin_fibr_118	531999
mouse_skin_fibr_119	380451
mouse_skin_fibr_120	677919
mouse_skin_fibr_121	605323
mouse_skin_fibr_122	848291
mouse_skin_fibr_123	525839
mouse_skin_fibr_124	353006
mouse_skin_fibr_125	1785270
mouse_skin_fibr_126	348265
mouse_skin_fibr_127	527409
mouse_skin_fibr_128	657414
mouse_skin_fibr_129	2156740
mouse_skin_fibr_130	1307844
mouse_skin_fibr_131	1007694
mouse_skin_fibr_132	526598
mouse_skin_fibr_133	786124
mouse_skin_fibr_134	698529
mouse_skin_fibr_135	376924
mouse_skin_fibr_136	660167
mouse_skin_fibr_137	284282
mouse_skin_fibr_138	1196463
mouse_skin_fibr_139	605704
mouse_skin_fibr_140	1121072
mouse_skin_fibr_141	606661
mouse_skin_fibr_142	542523
mouse_skin_fibr_143	687411
mouse_skin_fibr_144	566941
mouse_skin_fibr_145	719591
mouse_skin_fibr_146	30916
mouse_skin_fibr_147	814523
mouse_skin_fibr_148	949964
mouse_skin_fibr_149	514269
mouse_skin_fibr_150	1064220
mouse_skin_fibr_151	650326
mouse_skin_fibr_152	693771
mouse_skin_fibr_153	839068
mouse_skin_fibr_154	680034
mouse_skin_fibr_155	654910
mouse_skin_fibr_156	307738
mouse_skin_fibr_157	623901
mouse_skin_fibr_158	617035
mouse_skin_fibr_159	544869
mouse_skin_fibr_160	595842
mouse_skin_fibr_161	552775
mouse_skin_fibr_162	233809
mouse_skin_fibr_163	264485
mouse_skin_fibr_164	782947
mouse_skin_fibr_165	562472
mouse_skin_fibr_166	598716
mouse_skin_fibr_167	366122
mouse_skin_fibr_168	111381
mouse_skin_fibr_169	847150
mouse_skin_fibr_170	527424
mouse_skin_fibr_171	614321
mouse_skin_fibr_172	309602
mouse_skin_fibr_173	581340
mouse_skin_fibr_174	512031
mouse_skin_fibr_175	377235
mouse_skin_fibr_176	734650
mouse_skin_fibr_177	969828
mouse_skin_fibr_178	826066
mouse_skin_fibr_179	538462
mouse_skin_fibr_180	965111
mouse_skin_fibr_181	978031
mouse_skin_fibr_182	75189
mouse_skin_fibr_183	543062
mouse_skin_fibr_184	906488
mouse_skin_fibr_185	381352
mouse_skin_fibr_186	481442
mouse_skin_fibr_187	366595
mouse_skin_fibr_188	953500
mouse_skin_fibr_189	582523
mouse_skin_fibr_190	765379
mouse_skin_fibr_191	307597
mouse_skin_fibr_192	631924
mouse_skin_fibr_193	26086
mouse_skin_fibr_194	628502
mouse_skin_fibr_195	1058740
mouse_skin_fibr_196	1293316
mouse_skin_fibr_197	567521
mouse_skin_fibr_198	1451904
mouse_skin_fibr_199	511567
mouse_skin_fibr_200	1052542
mouse_skin_fibr_201	549420
mouse_skin_fibr_202	483789
mouse_skin_fibr_203	670068
mouse_skin_fibr_204	652495
mouse_skin_fibr_205	415670
mouse_skin_fibr_206	556734
mouse_skin_fibr_207	527098
mouse_skin_fibr_208	224692
mouse_skin_fibr_209	638875
mouse_skin_fibr_210	173848
mouse_skin_fibr_211	615702
mouse_skin_fibr_212	1815221
mouse_skin_fibr_213	705376
mouse_skin_fibr_214	364926
mouse_skin_fibr_215	510864
mouse_skin_fibr_216	166266
mouse_skin_fibr_217	261740
mouse_skin_fibr_218	833868
mouse_skin_fibr_219	188245
mouse_skin_fibr_220	701929
mouse_skin_fibr_221	335907
mouse_skin_fibr_222	365893
mouse_skin_fibr_223	602230
mouse_skin_fibr_224	4251519
mouse_skin_fibr_225	750778
mouse_skin_fibr_226	532631
mouse_skin_fibr_227	36105
mouse_skin_fibr_228	525657
mouse_skin_fibr_229	550495
mouse_skin_fibr_230	1191635
mouse_skin_fibr_231	526488
mouse_skin_fibr_232	687287
mouse_skin_fibr_233	730056
mouse_skin_fibr_234	949519
mouse_skin_fibr_235	578162
mouse_skin_fibr_236	645437
mouse_skin_fibr_237	703505
mouse_skin_fibr_238	127546
mouse_skin_fibr_239	726691
mouse_skin_fibr_240	309
mouse_skin_fibr_241	731484
mouse_skin_fibr_242	96119
mouse_skin_fibr_243	1224131
mouse_skin_fibr_244	451737
mouse_skin_fibr_245	16548
mouse_skin_fibr_246	12371
mouse_skin_fibr_247	683797
mouse_skin_fibr_248	910360
mouse_skin_fibr_249	437254
mouse_skin_fibr_250	691048
mouse_skin_fibr_251	673373
mouse_skin_fibr_252	802057
mouse_skin_fibr_253	544510
mouse_skin_fibr_254	590325
mouse_skin_fibr_255	766564
mouse_skin_fibr_256	550684
mouse_skin_fibr_257	546429
mouse_skin_fibr_258	270248
mouse_skin_fibr_259	471598
mouse_skin_fibr_260	653895
mouse_skin_fibr_261	2163341
mouse_skin_fibr_262	461032
mouse_skin_fibr_263	608911
mouse_skin_fibr_264	724401
mouse_skin_fibr_265	255297
mouse_skin_fibr_266	468065
mouse_skin_fibr_267	394000
mouse_skin_fibr_268	498675
mouse_skin_fibr_269	766208
mouse_skin_fibr_270	75007
mouse_skin_fibr_271	342524
mouse_skin_fibr_272	579997
mouse_skin_fibr_273	1034455
mouse_skin_fibr_274	263474
mouse_skin_fibr_275	475033
mouse_skin_fibr_276	31166
mouse_skin_fibr_277	265
mouse_skin_fibr_278	609323
mouse_skin_fibr_279	1109178
mouse_skin_fibr_280	615478
mouse_skin_fibr_281	496498
mouse_skin_fibr_282	553404
mouse_skin_fibr_283	545438
mouse_skin_fibr_284	19299
mouse_skin_fibr_285	1184595
mouse_skin_fibr_286	666523
mouse_skin_fibr_287	273118
mouse_skin_fibr_288	534939
mouse_skin_fibr_289	687464
mouse_skin_fibr_290	494792
mouse_skin_fibr_291	411541
mouse_skin_fibr_292	192066
mouse_skin_fibr_293	1115924
mouse_skin_fibr_294	1030608
mouse_skin_fibr_295	386285
mouse_skin_fibr_296	27940
mouse_skin_fibr_297	445605
mouse_skin_fibr_298	746140
mouse_skin_fibr_299	624306
mouse_skin_fibr_300	342569
mouse_skin_fibr_301	458109
mouse_skin_fibr_302	618973
mouse_skin_fibr_303	437957
mouse_skin_fibr_304	134401
mouse_skin_fibr_305	53207
mouse_skin_fibr_306	3884583
mouse_skin_fibr_307	248945
mouse_skin_fibr_308	711429
mouse_skin_fibr_309	134910
mouse_skin_fibr_310	630399
mouse_skin_fibr_311	503211
mouse_skin_fibr_312	509920
mouse_skin_fibr_313	779696
mouse_skin_fibr_314	999103
mouse_skin_fibr_315	1032958
mouse_skin_fibr_316	610568
mouse_skin_fibr_317	818834
mouse_skin_fibr_318	519576
mouse_skin_fibr_319	1519517
mouse_skin_fibr_320	1517371
mouse_skin_fibr_321	451697
mouse_skin_fibr_322	393436
mouse_skin_fibr_323	226194
mouse_skin_fibr_324	506910
mouse_skin_fibr_325	536798
