cell	uniq_frags
mouse_skin_fibr_001	38417.000000
mouse_skin_fibr_002	111022.000000
mouse_skin_fibr_003	34311.000000
mouse_skin_fibr_004	70902.000000
mouse_skin_fibr_005	45090.000000
mouse_skin_fibr_006	55394.000000
mouse_skin_fibr_007	102132.000000
mouse_skin_fibr_008	46639.000000
mouse_skin_fibr_009	49551.000000
mouse_skin_fibr_010	35936.000000
mouse_skin_fibr_011	55804.000000
mouse_skin_fibr_012	17682.000000
mouse_skin_fibr_013	65833.000000
mouse_skin_fibr_014	65859.000000
mouse_skin_fibr_015	63955.000000
mouse_skin_fibr_016	78642.000000
mouse_skin_fibr_017	52502.000000
mouse_skin_fibr_018	82950.000000
mouse_skin_fibr_019	10904.000000
mouse_skin_fibr_020	89024.000000
mouse_skin_fibr_021	38596.000000
mouse_skin_fibr_022	62541.000000
mouse_skin_fibr_023	83840.000000
mouse_skin_fibr_024	132993.000000
mouse_skin_fibr_025	58133.000000
mouse_skin_fibr_026	59210.000000
mouse_skin_fibr_027	119395.000000
mouse_skin_fibr_028	54054.000000
mouse_skin_fibr_029	74629.000000
mouse_skin_fibr_030	85066.000000
mouse_skin_fibr_031	33933.000000
mouse_skin_fibr_032	58204.000000
mouse_skin_fibr_033	36452.000000
mouse_skin_fibr_034	82546.000000
mouse_skin_fibr_035	35014.000000
mouse_skin_fibr_036	55713.000000
mouse_skin_fibr_037	42379.000000
mouse_skin_fibr_038	50051.000000
mouse_skin_fibr_039	30036.000000
mouse_skin_fibr_040	60081.000000
mouse_skin_fibr_041	23411.000000
mouse_skin_fibr_042	55583.000000
mouse_skin_fibr_043	39472.000000
mouse_skin_fibr_044	45587.000000
mouse_skin_fibr_045	44437.000000
mouse_skin_fibr_046	22393.000000
mouse_skin_fibr_047	36560.000000
mouse_skin_fibr_048	42522.000000
mouse_skin_fibr_049	42931.000000
mouse_skin_fibr_050	73696.000000
mouse_skin_fibr_051	50188.000000
mouse_skin_fibr_052	52382.000000
mouse_skin_fibr_053	42885.000000
mouse_skin_fibr_054	53884.000000
mouse_skin_fibr_055	12897.000000
mouse_skin_fibr_056	33029.000000
mouse_skin_fibr_057	61563.000000
mouse_skin_fibr_058	38282.000000
mouse_skin_fibr_059	52434.000000
mouse_skin_fibr_060	67539.000000
mouse_skin_fibr_061	111182.000000
mouse_skin_fibr_062	46176.000000
mouse_skin_fibr_063	20958.000000
mouse_skin_fibr_064	67456.000000
mouse_skin_fibr_065	3485.000000
mouse_skin_fibr_066	54911.000000
mouse_skin_fibr_067	13527.000000
mouse_skin_fibr_068	7364.000000
mouse_skin_fibr_069	54693.000000
mouse_skin_fibr_070	69324.000000
mouse_skin_fibr_071	10998.000000
mouse_skin_fibr_072	37971.000000
mouse_skin_fibr_073	55883.000000
mouse_skin_fibr_074	43709.000000
mouse_skin_fibr_075	33731.000000
mouse_skin_fibr_076	93201.000000
mouse_skin_fibr_077	52700.000000
mouse_skin_fibr_078	43522.000000
mouse_skin_fibr_079	61748.000000
mouse_skin_fibr_080	9321.000000
mouse_skin_fibr_081	26980.000000
mouse_skin_fibr_082	51944.000000
mouse_skin_fibr_083	25842.000000
mouse_skin_fibr_084	35662.000000
mouse_skin_fibr_085	73795.000000
mouse_skin_fibr_086	43392.000000
mouse_skin_fibr_087	19520.000000
mouse_skin_fibr_088	47010.000000
mouse_skin_fibr_089	68970.000000
mouse_skin_fibr_090	15185.000000
mouse_skin_fibr_091	52105.000000
mouse_skin_fibr_092	49788.000000
mouse_skin_fibr_093	13597.000000
mouse_skin_fibr_094	9096.000000
mouse_skin_fibr_095	6408.000000
mouse_skin_fibr_096	24616.000000
mouse_skin_fibr_097	44773.000000
mouse_skin_fibr_098	45741.000000
mouse_skin_fibr_099	73136.000000
mouse_skin_fibr_100	74839.000000
mouse_skin_fibr_101	53905.000000
mouse_skin_fibr_102	19347.000000
mouse_skin_fibr_103	49060.000000
mouse_skin_fibr_104	49504.000000
mouse_skin_fibr_105	23353.000000
mouse_skin_fibr_106	69348.000000
mouse_skin_fibr_107	106771.000000
mouse_skin_fibr_108	136766.000000
mouse_skin_fibr_109	8177.000000
mouse_skin_fibr_110	63129.000000
mouse_skin_fibr_111	51877.000000
mouse_skin_fibr_112	66898.000000
mouse_skin_fibr_113	55955.000000
mouse_skin_fibr_114	66602.000000
mouse_skin_fibr_115	47501.000000
mouse_skin_fibr_116	77775.000000
mouse_skin_fibr_117	23355.000000
mouse_skin_fibr_118	46634.000000
mouse_skin_fibr_119	32907.000000
mouse_skin_fibr_120	62191.000000
mouse_skin_fibr_121	53599.000000
mouse_skin_fibr_122	72281.000000
mouse_skin_fibr_123	43426.000000
mouse_skin_fibr_124	25957.000000
mouse_skin_fibr_125	149454.000000
mouse_skin_fibr_126	26807.000000
mouse_skin_fibr_127	43836.000000
mouse_skin_fibr_128	55326.000000
mouse_skin_fibr_129	190215.000000
mouse_skin_fibr_130	110728.000000
mouse_skin_fibr_131	89149.000000
mouse_skin_fibr_132	47136.000000
mouse_skin_fibr_133	72792.000000
mouse_skin_fibr_134	61566.000000
mouse_skin_fibr_135	24985.000000
mouse_skin_fibr_136	60157.000000
mouse_skin_fibr_137	18950.000000
mouse_skin_fibr_138	109091.000000
mouse_skin_fibr_139	53493.000000
mouse_skin_fibr_140	95948.000000
mouse_skin_fibr_141	51532.000000
mouse_skin_fibr_142	39020.000000
mouse_skin_fibr_143	60733.000000
mouse_skin_fibr_144	50255.000000
mouse_skin_fibr_145	66810.000000
mouse_skin_fibr_146	2746.000000
mouse_skin_fibr_147	69254.000000
mouse_skin_fibr_148	82286.000000
mouse_skin_fibr_149	43852.000000
mouse_skin_fibr_150	94443.000000
mouse_skin_fibr_151	56434.000000
mouse_skin_fibr_152	59408.000000
mouse_skin_fibr_153	75994.000000
mouse_skin_fibr_154	58739.000000
mouse_skin_fibr_155	55306.000000
mouse_skin_fibr_156	28763.000000
mouse_skin_fibr_157	57612.000000
mouse_skin_fibr_158	51904.000000
mouse_skin_fibr_159	48333.000000
mouse_skin_fibr_160	53498.000000
mouse_skin_fibr_161	51443.000000
mouse_skin_fibr_162	21836.000000
mouse_skin_fibr_163	23442.000000
mouse_skin_fibr_164	71904.000000
mouse_skin_fibr_165	50907.000000
mouse_skin_fibr_166	51464.000000
mouse_skin_fibr_167	30841.000000
mouse_skin_fibr_168	6446.000000
mouse_skin_fibr_169	80988.000000
mouse_skin_fibr_170	46946.000000
mouse_skin_fibr_171	52907.000000
mouse_skin_fibr_172	27153.000000
mouse_skin_fibr_173	52557.000000
mouse_skin_fibr_174	46226.000000
mouse_skin_fibr_175	33150.000000
mouse_skin_fibr_176	64397.000000
mouse_skin_fibr_177	90207.000000
mouse_skin_fibr_178	71379.000000
mouse_skin_fibr_179	48036.000000
mouse_skin_fibr_180	87982.000000
mouse_skin_fibr_181	91966.000000
mouse_skin_fibr_182	5196.000000
mouse_skin_fibr_183	47712.000000
mouse_skin_fibr_184	83431.000000
mouse_skin_fibr_185	34454.000000
mouse_skin_fibr_186	46497.000000
mouse_skin_fibr_187	32854.000000
mouse_skin_fibr_188	90239.000000
mouse_skin_fibr_189	52994.000000
