cell	dup_level
plate_K562_rep1_01	0.972662
plate_K562_rep1_02	0.970447
plate_K562_rep1_03	0.973922
plate_K562_rep1_04	0.967879
plate_K562_rep1_05	0.972629
plate_K562_rep1_06	0.976632
plate_K562_rep1_07	0.977794
plate_K562_rep1_08	0.970316
plate_K562_rep1_09	0.97298
plate_K562_rep1_10	0.969228
plate_K562_rep1_11	0.971176
plate_K562_rep1_12	0.976309
plate_K562_rep1_13	0.974309
plate_K562_rep1_14	0.970961
plate_K562_rep1_15	0.9759
plate_K562_rep1_16	0.970209
plate_K562_rep1_17	0.97263
plate_K562_rep1_18	0.972519
plate_K562_rep1_19	0.97038
plate_K562_rep1_20	0.968493
plate_K562_rep1_21	0.972296
plate_K562_rep1_22	0.974993
plate_K562_rep1_23	0.97463
plate_K562_rep1_24	0.980626
plate_K562_rep1_25	0.973688
plate_K562_rep1_26	0.968198
plate_K562_rep1_27	0.970749
plate_K562_rep1_28	0.969561
plate_K562_rep1_29	0.965509
plate_K562_rep1_30	0.969123
plate_K562_rep1_31	0.972127
plate_K562_rep1_32	0.971554
plate_K562_rep1_33	0.974358
plate_K562_rep1_34	0.975566
plate_K562_rep1_35	0.970767
plate_K562_rep1_36	0.973705
plate_K562_rep1_37	0.973881
plate_K562_rep1_38	0.964554
plate_K562_rep1_39	0.971954
plate_K562_rep1_40	0.966951
plate_K562_rep1_41	0.970932
plate_K562_rep1_42	0.962017
plate_K562_rep1_43	0.970337
plate_K562_rep1_44	0.9633
plate_K562_rep1_45	0.978052
plate_K562_rep1_46	0.972393
plate_K562_rep1_47	0.971249
plate_K562_rep1_48	0.97311
plate_K562_rep1_49	0.976518
plate_K562_rep1_50	0.968717
plate_K562_rep1_51	0.973303
plate_K562_rep1_52	0.972134
plate_K562_rep1_53	0.975584
plate_K562_rep1_54	0.970768
plate_K562_rep1_55	0.979196
plate_K562_rep1_56	0.970978
plate_K562_rep1_57	0.97569
plate_K562_rep1_58	0.978704
plate_K562_rep1_59	0.971874
plate_K562_rep1_60	0.976262
plate_K562_rep1_61	0.968815
plate_K562_rep1_62	0.971049
plate_K562_rep1_63	0.976517
plate_K562_rep1_64	0.970534
plate_K562_rep1_65	0.97114
plate_K562_rep1_66	0.971393
plate_K562_rep1_67	0.969585
plate_K562_rep1_68	0.970449
plate_K562_rep1_69	0.97532
plate_K562_rep1_70	0.974898
plate_K562_rep1_71	0.968876
plate_K562_rep1_72	0.979585
plate_K562_rep1_73	0.978744
plate_K562_rep1_74	0.967157
plate_K562_rep1_75	0.975291
plate_K562_rep1_76	0.96992
plate_K562_rep1_77	0.972178
plate_K562_rep1_78	0.969078
plate_K562_rep1_79	0.967862
plate_K562_rep1_80	0.973046
plate_K562_rep1_81	0.972797
plate_K562_rep1_82	0.973787
plate_K562_rep1_83	0.970812
plate_K562_rep1_84	0.974368
plate_K562_rep1_85	0.970725
plate_K562_rep1_86	0.971001
plate_K562_rep1_87	0.976864
plate_K562_rep1_88	0.970057
plate_K562_rep1_89	0.97577
plate_K562_rep1_90	0.971367
plate_K562_rep1_91	0.9738
plate_K562_rep1_92	0.972066
plate_K562_rep1_93	0.966577
plate_K562_rep1_94	0.975883
plate_K562_rep1_95	0.977412
plate_K562_rep1_96	0.974818
plate_K562_rep2_01	0.943405
plate_K562_rep2_02	0.934863
plate_K562_rep2_03	0.94145
plate_K562_rep2_04	0.945841
plate_K562_rep2_05	0.944452
plate_K562_rep2_06	0.939369
plate_K562_rep2_07	0.950642
plate_K562_rep2_08	0.93539
plate_K562_rep2_09	0.946134
plate_K562_rep2_10	0.945478
plate_K562_rep2_11	0.943346
plate_K562_rep2_12	0.94304
plate_K562_rep2_13	0.941061
plate_K562_rep2_14	0.939898
plate_K562_rep2_15	0.938449
plate_K562_rep2_16	0.941862
plate_K562_rep2_17	0.937568
plate_K562_rep2_18	0.934418
plate_K562_rep2_19	0.942165
plate_K562_rep2_20	0.931414
plate_K562_rep2_21	0.942147
plate_K562_rep2_22	0.94936
plate_K562_rep2_23	0.937641
plate_K562_rep2_24	0.938376
plate_K562_rep2_25	0.944863
plate_K562_rep2_26	0.941455
plate_K562_rep2_27	0.944175
plate_K562_rep2_28	0.944411
plate_K562_rep2_29	0.940083
plate_K562_rep2_30	0.938117
plate_K562_rep2_31	0.946964
plate_K562_rep2_32	0.938478
plate_K562_rep2_33	0.942595
plate_K562_rep2_34	0.949672
plate_K562_rep2_35	0.94036
plate_K562_rep2_36	0.946216
plate_K562_rep2_37	0.93494
plate_K562_rep2_38	0.936047
plate_K562_rep2_39	0.927804
plate_K562_rep2_40	0.945698
plate_K562_rep2_41	0.926921
plate_K562_rep2_42	0.932763
plate_K562_rep2_43	0.935863
plate_K562_rep2_44	0.916726
plate_K562_rep2_45	0.94285
plate_K562_rep2_46	0.943431
plate_K562_rep2_47	0.952739
plate_K562_rep2_48	0.940407
plate_K562_rep2_49	0.946639
plate_K562_rep2_50	0.940971
plate_K562_rep2_51	0.943824
plate_K562_rep2_52	0.944716
plate_K562_rep2_53	0.943538
plate_K562_rep2_54	0.941422
plate_K562_rep2_55	0.952357
plate_K562_rep2_56	0.942203
plate_K562_rep2_57	0.943608
plate_K562_rep2_58	0.956685
plate_K562_rep2_59	0.946071
plate_K562_rep2_60	0.954753
plate_K562_rep2_61	0.94164
plate_K562_rep2_62	0.940416
plate_K562_rep2_63	0.934215
plate_K562_rep2_64	0.937636
plate_K562_rep2_65	0.94726
plate_K562_rep2_66	0.93342
plate_K562_rep2_67	0.934456
plate_K562_rep2_68	0.930563
plate_K562_rep2_69	0.948761
plate_K562_rep2_70	0.947307
plate_K562_rep2_71	0.94013
plate_K562_rep2_72	0.950368
plate_K562_rep2_73	0.947418
plate_K562_rep2_74	0.937373
plate_K562_rep2_75	0.94417
plate_K562_rep2_76	0.945422
plate_K562_rep2_77	0.937607
plate_K562_rep2_78	0.929681
plate_K562_rep2_79	0.94639
plate_K562_rep2_80	0.939016
plate_K562_rep2_81	0.942582
plate_K562_rep2_82	0.950419
plate_K562_rep2_83	0.942891
plate_K562_rep2_84	0.941035
plate_K562_rep2_85	0.938713
plate_K562_rep2_86	0.946284
plate_K562_rep2_87	0.932181
plate_K562_rep2_88	0.953151
plate_K562_rep2_89	0.943992
plate_K562_rep2_90	0.938305
plate_K562_rep2_91	0.94916
plate_K562_rep2_92	0.937726
plate_K562_rep2_93	0.940812
plate_K562_rep2_94	0.949662
plate_K562_rep2_95	0.9459
plate_K562_rep2_96	0.949085
