cell	frac_open
plate_K562_rep1_01	0.129000
plate_K562_rep1_02	0.223973
plate_K562_rep1_03	0.170838
plate_K562_rep1_04	0.119784
plate_K562_rep1_05	0.081514
plate_K562_rep1_06	0.057243
plate_K562_rep1_07	0.062135
plate_K562_rep1_08	0.190838
plate_K562_rep1_09	0.162595
plate_K562_rep1_10	0.043838
plate_K562_rep1_11	0.384865
plate_K562_rep1_12	0.100541
plate_K562_rep1_13	0.024892
plate_K562_rep1_14	0.107730
plate_K562_rep1_15	0.152027
plate_K562_rep1_16	0.286162
plate_K562_rep1_17	0.103189
plate_K562_rep1_18	0.043811
plate_K562_rep1_19	0.167622
plate_K562_rep1_20	0.226216
plate_K562_rep1_21	0.070081
plate_K562_rep1_22	0.103000
plate_K562_rep1_23	0.115811
plate_K562_rep1_24	0.063811
plate_K562_rep1_25	0.061027
plate_K562_rep1_26	0.165865
plate_K562_rep1_27	0.215405
plate_K562_rep1_28	0.133946
plate_K562_rep1_29	0.138162
plate_K562_rep1_30	0.300730
plate_K562_rep1_31	0.079378
plate_K562_rep1_32	0.272946
plate_K562_rep1_33	0.406189
plate_K562_rep1_34	0.076432
plate_K562_rep1_35	0.142324
plate_K562_rep1_36	0.290486
plate_K562_rep1_37	0.034622
plate_K562_rep1_38	0.130378
plate_K562_rep1_39	0.028811
plate_K562_rep1_40	0.326486
plate_K562_rep1_41	0.225378
plate_K562_rep1_42	0.338703
plate_K562_rep1_43	0.211378
plate_K562_rep1_44	0.048784
plate_K562_rep1_45	0.031054
plate_K562_rep1_46	0.130162
plate_K562_rep1_47	0.303676
plate_K562_rep1_48	0.159919
plate_K562_rep1_49	0.028757
plate_K562_rep1_50	0.137216
plate_K562_rep1_51	0.278541
plate_K562_rep1_52	0.099243
plate_K562_rep1_53	0.016541
plate_K562_rep1_54	0.020432
plate_K562_rep1_55	0.070892
plate_K562_rep1_56	0.353108
plate_K562_rep1_57	0.035216
plate_K562_rep1_58	0.117919
plate_K562_rep1_59	0.210459
plate_K562_rep1_60	0.207000
plate_K562_rep1_61	0.086081
plate_K562_rep1_62	0.097676
plate_K562_rep1_63	0.063000
plate_K562_rep1_64	0.225405
plate_K562_rep1_65	0.320757
plate_K562_rep1_66	0.226324
plate_K562_rep1_67	0.173108
plate_K562_rep1_68	0.260919
plate_K562_rep1_69	0.176405
plate_K562_rep1_70	0.220486
plate_K562_rep1_71	0.186486
plate_K562_rep1_72	0.086081
plate_K562_rep1_73	0.053811
plate_K562_rep1_74	0.195676
plate_K562_rep1_75	0.068919
plate_K562_rep1_76	0.062622
plate_K562_rep1_77	0.145757
plate_K562_rep1_78	0.171919
plate_K562_rep1_79	0.254811
plate_K562_rep1_80	0.112622
plate_K562_rep1_81	0.129027
plate_K562_rep1_82	0.065378
plate_K562_rep1_83	0.061135
plate_K562_rep1_84	0.156432
plate_K562_rep1_85	0.195162
plate_K562_rep1_86	0.146297
plate_K562_rep1_87	0.052270
plate_K562_rep1_88	0.104081
plate_K562_rep1_89	0.182027
plate_K562_rep1_90	0.217541
plate_K562_rep1_91	0.317351
plate_K562_rep1_92	0.060486
plate_K562_rep1_93	0.011757
plate_K562_rep1_94	0.069919
plate_K562_rep1_95	0.039730
plate_K562_rep1_96	0.186811
plate_K562_rep2_01	0.291270
plate_K562_rep2_02	0.290838
plate_K562_rep2_03	0.331757
plate_K562_rep2_04	0.114378
plate_K562_rep2_05	0.476757
plate_K562_rep2_06	0.448081
plate_K562_rep2_07	0.305270
plate_K562_rep2_08	0.293108
plate_K562_rep2_09	0.127784
plate_K562_rep2_10	0.173486
plate_K562_rep2_11	0.124270
plate_K562_rep2_12	0.306135
plate_K562_rep2_13	0.183297
plate_K562_rep2_14	0.299135
plate_K562_rep2_15	0.430865
plate_K562_rep2_16	0.151649
plate_K562_rep2_17	0.201838
plate_K562_rep2_18	0.225676
plate_K562_rep2_19	0.269676
plate_K562_rep2_20	0.383973
plate_K562_rep2_21	0.199162
plate_K562_rep2_22	0.421649
plate_K562_rep2_23	0.211568
plate_K562_rep2_24	0.410973
plate_K562_rep2_25	0.342649
plate_K562_rep2_26	0.483486
plate_K562_rep2_27	0.485351
plate_K562_rep2_28	0.358730
plate_K562_rep2_29	0.152243
plate_K562_rep2_30	0.499270
plate_K562_rep2_31	0.358757
plate_K562_rep2_32	0.428541
plate_K562_rep2_33	0.185973
plate_K562_rep2_34	0.313405
plate_K562_rep2_35	0.174378
plate_K562_rep2_36	0.317622
plate_K562_rep2_37	0.461541
plate_K562_rep2_38	0.185270
plate_K562_rep2_39	0.222297
plate_K562_rep2_40	0.550757
