cell	frip
plate_K562_rep1_01	0.557231
plate_K562_rep1_02	0.402676
plate_K562_rep1_03	0.460426
plate_K562_rep1_04	0.474301
plate_K562_rep1_05	0.514740
plate_K562_rep1_06	0.645018
plate_K562_rep1_07	0.642040
plate_K562_rep1_08	0.496087
plate_K562_rep1_09	0.521981
plate_K562_rep1_10	0.399597
plate_K562_rep1_11	0.458712
plate_K562_rep1_12	0.497567
plate_K562_rep1_13	0.494682
plate_K562_rep1_14	0.455261
plate_K562_rep1_15	0.543946
plate_K562_rep1_16	0.411041
plate_K562_rep1_17	0.462624
plate_K562_rep1_18	0.455451
plate_K562_rep1_19	0.503794
plate_K562_rep1_20	0.424193
plate_K562_rep1_21	0.549370
plate_K562_rep1_22	0.466871
plate_K562_rep1_23	0.577930
plate_K562_rep1_24	0.669122
plate_K562_rep1_25	0.536902
plate_K562_rep1_26	0.550459
plate_K562_rep1_27	0.443147
plate_K562_rep1_28	0.473727
plate_K562_rep1_29	0.504833
plate_K562_rep1_30	0.537993
plate_K562_rep1_31	0.521555
plate_K562_rep1_32	0.418644
plate_K562_rep1_33	0.498035
plate_K562_rep1_34	0.568901
plate_K562_rep1_35	0.511105
plate_K562_rep1_36	0.408838
plate_K562_rep1_37	0.650208
plate_K562_rep1_38	0.477197
plate_K562_rep1_39	0.533446
plate_K562_rep1_40	0.472322
plate_K562_rep1_41	0.517191
plate_K562_rep1_42	0.467581
plate_K562_rep1_43	0.356056
plate_K562_rep1_44	0.447034
plate_K562_rep1_45	0.646786
plate_K562_rep1_46	0.443101
plate_K562_rep1_47	0.481856
plate_K562_rep1_48	0.503319
plate_K562_rep1_49	0.607530
plate_K562_rep1_50	0.564317
plate_K562_rep1_51	0.516809
plate_K562_rep1_52	0.525323
plate_K562_rep1_53	0.704136
plate_K562_rep1_54	0.498764
plate_K562_rep1_55	0.612883
plate_K562_rep1_56	0.520488
plate_K562_rep1_57	0.598294
plate_K562_rep1_58	0.619731
plate_K562_rep1_59	0.379178
plate_K562_rep1_60	0.461828
plate_K562_rep1_61	0.414582
plate_K562_rep1_62	0.535956
plate_K562_rep1_63	0.558096
plate_K562_rep1_64	0.438636
plate_K562_rep1_65	0.431958
plate_K562_rep1_66	0.477662
plate_K562_rep1_67	0.421450
plate_K562_rep1_68	0.487308
plate_K562_rep1_69	0.490089
plate_K562_rep1_70	0.450783
plate_K562_rep1_71	0.410208
plate_K562_rep1_72	0.611798
plate_K562_rep1_73	0.705251
plate_K562_rep1_74	0.509962
plate_K562_rep1_75	0.594702
plate_K562_rep1_76	0.546597
plate_K562_rep1_77	0.570876
plate_K562_rep1_78	0.344177
plate_K562_rep1_79	0.415901
plate_K562_rep1_80	0.618809
plate_K562_rep1_81	0.562668
plate_K562_rep1_82	0.547762
plate_K562_rep1_83	0.501049
plate_K562_rep1_84	0.552956
plate_K562_rep1_85	0.471301
plate_K562_rep1_86	0.515071
plate_K562_rep1_87	0.551553
plate_K562_rep1_88	0.486515
plate_K562_rep1_89	0.468047
plate_K562_rep1_90	0.519857
plate_K562_rep1_91	0.465420
plate_K562_rep1_92	0.475549
plate_K562_rep1_93	0.214099
plate_K562_rep1_94	0.460125
plate_K562_rep1_95	0.623397
plate_K562_rep1_96	0.465868
plate_K562_rep2_01	0.427508
plate_K562_rep2_02	0.413991
plate_K562_rep2_03	0.423654
plate_K562_rep2_04	0.449583
plate_K562_rep2_05	0.432829
plate_K562_rep2_06	0.411548
plate_K562_rep2_07	0.480421
plate_K562_rep2_08	0.436280
plate_K562_rep2_09	0.469195
plate_K562_rep2_10	0.328962
plate_K562_rep2_11	0.520203
plate_K562_rep2_12	0.499743
plate_K562_rep2_13	0.428379
plate_K562_rep2_14	0.342778
plate_K562_rep2_15	0.497901
plate_K562_rep2_16	0.374260
plate_K562_rep2_17	0.452082
plate_K562_rep2_18	0.446193
plate_K562_rep2_19	0.438389
plate_K562_rep2_20	0.444053
plate_K562_rep2_21	0.391007
plate_K562_rep2_22	0.433664
plate_K562_rep2_23	0.295602
plate_K562_rep2_24	0.465289
plate_K562_rep2_25	0.479200
plate_K562_rep2_26	0.396754
plate_K562_rep2_27	0.497268
plate_K562_rep2_28	0.436836
plate_K562_rep2_29	0.363149
plate_K562_rep2_30	0.420579
plate_K562_rep2_31	0.387766
plate_K562_rep2_32	0.446647
plate_K562_rep2_33	0.447332
plate_K562_rep2_34	0.355723
plate_K562_rep2_35	0.537755
plate_K562_rep2_36	0.426031
plate_K562_rep2_37	0.460696
plate_K562_rep2_38	0.418330
plate_K562_rep2_39	0.446386
plate_K562_rep2_40	0.461574
plate_K562_rep2_41	0.409917
plate_K562_rep2_42	0.515387
plate_K562_rep2_43	0.377866
plate_K562_rep2_44	0.389484
plate_K562_rep2_45	0.383680
plate_K562_rep2_46	0.479232
plate_K562_rep2_47	0.688360
plate_K562_rep2_48	0.495061
plate_K562_rep2_49	0.400952
plate_K562_rep2_50	0.451723
plate_K562_rep2_51	0.434528
plate_K562_rep2_52	0.333205
plate_K562_rep2_53	0.489481
plate_K562_rep2_54	0.472126
plate_K562_rep2_55	0.499417
plate_K562_rep2_56	0.417341
plate_K562_rep2_57	0.422063
plate_K562_rep2_58	0.559913
plate_K562_rep2_59	0.369101
plate_K562_rep2_60	0.417651
plate_K562_rep2_61	0.500277
plate_K562_rep2_62	0.443116
plate_K562_rep2_63	0.364066
plate_K562_rep2_64	0.317679
plate_K562_rep2_65	0.482976
plate_K562_rep2_66	0.405531
plate_K562_rep2_67	0.404766
plate_K562_rep2_68	0.424913
plate_K562_rep2_69	0.587955
plate_K562_rep2_70	0.429446
plate_K562_rep2_71	0.436684
plate_K562_rep2_72	0.416787
plate_K562_rep2_73	0.595345
plate_K562_rep2_74	0.482176
plate_K562_rep2_75	0.491976
plate_K562_rep2_76	0.382490
plate_K562_rep2_77	0.408686
plate_K562_rep2_78	0.322569
plate_K562_rep2_79	0.476450
plate_K562_rep2_80	0.466555
plate_K562_rep2_81	0.512128
plate_K562_rep2_82	0.443008
plate_K562_rep2_83	0.426836
plate_K562_rep2_84	0.358671
plate_K562_rep2_85	0.448284
plate_K562_rep2_86	0.424913
plate_K562_rep2_87	0.473536
plate_K562_rep2_88	0.465919
plate_K562_rep2_89	0.479044
plate_K562_rep2_90	0.429253
plate_K562_rep2_91	0.444775
plate_K562_rep2_92	0.500612
plate_K562_rep2_93	0.413609
plate_K562_rep2_94	0.436049
plate_K562_rep2_95	0.400653
plate_K562_rep2_96	0.475430
