cell	library_size
plate_K562_rep1_01	13725
plate_K562_rep1_02	25780
plate_K562_rep1_03	17625
plate_K562_rep1_04	9767
plate_K562_rep1_05	9430
plate_K562_rep1_06	9485
plate_K562_rep1_07	11018
plate_K562_rep1_08	17122
plate_K562_rep1_09	18971
plate_K562_rep1_10	3725
plate_K562_rep1_11	46466
plate_K562_rep1_12	10686
plate_K562_rep1_13	3573
plate_K562_rep1_14	12506
plate_K562_rep1_15	15303
plate_K562_rep1_16	33476
plate_K562_rep1_17	8749
plate_K562_rep1_18	5219
plate_K562_rep1_19	16078
plate_K562_rep1_20	27867
plate_K562_rep1_21	7464
plate_K562_rep1_22	10595
plate_K562_rep1_23	13108
plate_K562_rep1_24	12899
plate_K562_rep1_25	7818
plate_K562_rep1_26	17222
plate_K562_rep1_27	21881
plate_K562_rep1_28	12808
plate_K562_rep1_29	11069
plate_K562_rep1_30	38836
plate_K562_rep1_31	9302
plate_K562_rep1_32	32161
plate_K562_rep1_33	55988
plate_K562_rep1_34	10965
plate_K562_rep1_35	12832
plate_K562_rep1_36	34872
plate_K562_rep1_37	5772
plate_K562_rep1_38	12038
plate_K562_rep1_39	3558
plate_K562_rep1_40	35769
plate_K562_rep1_41	25885
plate_K562_rep1_42	39313
plate_K562_rep1_43	37584
plate_K562_rep1_44	4805
plate_K562_rep1_45	7981
plate_K562_rep1_46	12610
plate_K562_rep1_47	32573
plate_K562_rep1_48	13709
plate_K562_rep1_49	7477
plate_K562_rep1_50	10868
plate_K562_rep1_51	32989
plate_K562_rep1_52	10366
plate_K562_rep1_53	4715
plate_K562_rep1_54	3236
plate_K562_rep1_55	16681
plate_K562_rep1_56	41561
plate_K562_rep1_57	6974
plate_K562_rep1_58	20947
plate_K562_rep1_59	25699
plate_K562_rep1_60	19923
plate_K562_rep1_61	7914
plate_K562_rep1_62	13127
plate_K562_rep1_63	10302
plate_K562_rep1_64	22994
plate_K562_rep1_65	37315
plate_K562_rep1_66	28337
plate_K562_rep1_67	16098
plate_K562_rep1_68	26946
plate_K562_rep1_69	18213
plate_K562_rep1_70	21192
