cell	mapping_rate
plate_K562_rep1_01	97.66
plate_K562_rep1_02	97.37
plate_K562_rep1_03	97.44
plate_K562_rep1_04	97.29
plate_K562_rep1_05	97.76
plate_K562_rep1_06	98.33
plate_K562_rep1_07	98.34
plate_K562_rep1_08	97.56
plate_K562_rep1_09	97.77
plate_K562_rep1_10	96.66
plate_K562_rep1_11	97.31
plate_K562_rep1_12	97.67
plate_K562_rep1_13	97.99
plate_K562_rep1_14	97.62
plate_K562_rep1_15	97.47
plate_K562_rep1_16	97.48
plate_K562_rep1_17	97.46
plate_K562_rep1_18	97.83
plate_K562_rep1_19	97.66
plate_K562_rep1_20	97.60
plate_K562_rep1_21	97.68
plate_K562_rep1_22	97.52
plate_K562_rep1_23	97.63
plate_K562_rep1_24	98.39
plate_K562_rep1_25	97.77
plate_K562_rep1_26	97.66
plate_K562_rep1_27	97.07
plate_K562_rep1_28	97.56
plate_K562_rep1_29	97.50
plate_K562_rep1_30	97.26
plate_K562_rep1_31	97.87
plate_K562_rep1_32	97.50
plate_K562_rep1_33	97.38
plate_K562_rep1_34	97.99
plate_K562_rep1_35	97.27
plate_K562_rep1_36	97.51
plate_K562_rep1_37	98.23
plate_K562_rep1_38	97.43
plate_K562_rep1_39	97.62
plate_K562_rep1_40	97.25
plate_K562_rep1_41	97.73
plate_K562_rep1_42	97.41
plate_K562_rep1_43	96.53
plate_K562_rep1_44	97.26
plate_K562_rep1_45	98.58
plate_K562_rep1_46	97.39
plate_K562_rep1_47	97.36
plate_K562_rep1_48	97.36
plate_K562_rep1_49	98.12
plate_K562_rep1_50	97.15
plate_K562_rep1_51	97.34
plate_K562_rep1_52	97.88
plate_K562_rep1_53	98.58
plate_K562_rep1_54	97.51
plate_K562_rep1_55	98.38
plate_K562_rep1_56	97.38
plate_K562_rep1_57	98.12
plate_K562_rep1_58	98.22
plate_K562_rep1_59	97.26
plate_K562_rep1_60	97.46
plate_K562_rep1_61	97.31
plate_K562_rep1_62	96.61
plate_K562_rep1_63	97.40
