cell	mt_content
K562_rep1_01	0.280000
K562_rep1_02	0.078278
K562_rep1_03	0.118184
K562_rep1_04	0.042388
K562_rep1_05	0.293955
K562_rep1_06	0.564048
K562_rep1_07	0.576693
K562_rep1_08	0.050169
K562_rep1_09	0.268673
K562_rep1_10	0.034631
K562_rep1_11	0.027203
K562_rep1_12	0.215422
K562_rep1_13	0.380353
K562_rep1_14	0.217975
K562_rep1_15	0.210939
K562_rep1_16	0.053202
K562_rep1_17	0.078752
K562_rep1_18	0.251198
K562_rep1_19	0.129743
K562_rep1_20	0.131410
K562_rep1_21	0.307476
K562_rep1_22	0.185465
K562_rep1_23	0.330943
K562_rep1_24	0.638577
K562_rep1_25	0.364671
K562_rep1_26	0.212403
K562_rep1_27	0.063800
K562_rep1_28	0.117739
K562_rep1_29	0.056645
K562_rep1_30	0.097538
K562_rep1_31	0.306493
K562_rep1_32	0.069339
K562_rep1_33	0.021147
K562_rep1_34	0.433744
K562_rep1_35	0.143002
K562_rep1_36	0.049782
K562_rep1_37	0.583507
K562_rep1_38	0.113972
K562_rep1_39	0.364812
K562_rep1_40	0.029691
K562_rep1_41	0.193548
K562_rep1_42	0.039503
K562_rep1_43	0.052150
K562_rep1_44	0.171904
K562_rep1_45	0.679990
K562_rep1_46	0.098493
K562_rep1_47	0.023087
K562_rep1_48	0.073528
K562_rep1_49	0.626722
K562_rep1_50	0.101215
K562_rep1_51	0.162691
K562_rep1_52	0.234710
K562_rep1_53	0.759703
K562_rep1_54	0.388133
K562_rep1_55	0.596127
K562_rep1_56	0.051226
K562_rep1_57	0.556065
K562_rep1_58	0.536067
K562_rep1_59	0.097591
K562_rep1_60	0.061135
K562_rep1_61	0.073288
K562_rep1_62	0.249791
K562_rep1_63	0.469618
K562_rep1_64	0.035966
K562_rep1_65	0.039260
K562_rep1_66	0.195363
K562_rep1_67	0.037458
K562_rep1_68	0.059675
K562_rep1_69	0.163345
K562_rep1_70	0.037656
K562_rep1_71	0.077811
K562_rep1_72	0.583066
K562_rep1_73	0.743533
K562_rep1_74	0.092411
K562_rep1_75	0.527851
K562_rep1_76	0.381112
K562_rep1_77	0.321330
K562_rep1_78	0.087248
K562_rep1_79	0.010776
K562_rep1_80	0.540819
K562_rep1_81	0.315665
K562_rep1_82	0.243450
K562_rep1_83	0.259365
K562_rep1_84	0.304064
K562_rep1_85	0.040767
K562_rep1_86	0.185412
K562_rep1_87	0.456242
K562_rep1_88	0.174040
K562_rep1_89	0.211000
K562_rep1_90	0.122669
K562_rep1_91	0.047152
K562_rep1_92	0.239239
K562_rep1_93	0.045597
K562_rep1_94	0.318611
K562_rep1_95	0.595549
K562_rep1_96	0.132883
K562_rep2_01	0.098657
K562_rep2_02	0.067279
K562_rep2_03	0.065005
K562_rep2_04	0.079916
K562_rep2_05	0.074997
K562_rep2_06	0.039000
K562_rep2_07	0.270429
K562_rep2_08	0.119554
K562_rep2_09	0.146680
K562_rep2_10	0.004716
K562_rep2_11	0.126350
K562_rep2_12	0.065699
K562_rep2_13	0.061256
K562_rep2_14	0.025726
K562_rep2_15	0.060618
K562_rep2_16	0.030654
K562_rep2_17	0.108802
K562_rep2_18	0.093730
K562_rep2_19	0.058098
K562_rep2_20	0.177406
K562_rep2_21	0.079773
K562_rep2_22	0.207081
K562_rep2_23	0.017408
K562_rep2_24	0.009874
K562_rep2_25	0.156762
K562_rep2_26	0.026870
K562_rep2_27	0.066934
K562_rep2_28	0.067362
K562_rep2_29	0.019929
K562_rep2_30	0.010611
K562_rep2_31	0.057848
K562_rep2_32	0.006954
K562_rep2_33	0.165838
K562_rep2_34	0.054120
K562_rep2_35	0.143908
K562_rep2_36	0.055134
K562_rep2_37	0.021705
K562_rep2_38	0.032034
K562_rep2_39	0.056606
K562_rep2_40	0.032733
K562_rep2_41	0.038756
K562_rep2_42	0.041776
K562_rep2_43	0.035993
K562_rep2_44	0.037908
K562_rep2_45	0.026301
K562_rep2_46	0.016378
K562_rep2_47	0.726468
K562_rep2_48	0.083333
K562_rep2_49	0.070562
K562_rep2_50	0.017600
K562_rep2_51	0.006626
K562_rep2_52	0.049757
K562_rep2_53	0.071011
K562_rep2_54	0.090036
K562_rep2_55	0.236454
K562_rep2_56	0.112143
K562_rep2_57	0.032787
K562_rep2_58	0.180016
K562_rep2_59	0.030340
K562_rep2_60	0.094759
K562_rep2_61	0.319245
K562_rep2_62	0.041675
K562_rep2_63	0.008119
K562_rep2_64	0.026782
K562_rep2_65	0.112299
K562_rep2_66	0.011500
K562_rep2_67	0.078452
K562_rep2_68	0.018972
K562_rep2_69	0.494412
K562_rep2_70	0.066328
K562_rep2_71	0.069792
K562_rep2_72	0.035739
K562_rep2_73	0.376455
K562_rep2_74	0.042233
K562_rep2_75	0.178334
K562_rep2_76	0.053208
K562_rep2_77	0.061252
K562_rep2_78	0.005793
K562_rep2_79	0.079777
K562_rep2_80	0.012882
K562_rep2_81	0.168448
K562_rep2_82	0.042912
K562_rep2_83	0.081909
K562_rep2_84	0.018726
K562_rep2_85	0.015285
K562_rep2_86	0.131085
K562_rep2_87	0.020337
K562_rep2_88	0.215829
K562_rep2_89	0.108651
K562_rep2_90	0.008878
K562_rep2_91	0.095598
K562_rep2_92	0.079976
K562_rep2_93	0.130029
K562_rep2_94	0.051066
K562_rep2_95	0.026227
K562_rep2_96	0.238762
