cell	sequencing_depth
K562_rep1_01	573133
K562_rep1_02	969562
K562_rep1_03	756214
K562_rep1_04	338694
K562_rep1_05	388960
K562_rep1_06	464658
K562_rep1_07	565330
K562_rep1_08	637707
K562_rep1_09	788941
K562_rep1_10	138367
K562_rep1_11	1785973
K562_rep1_12	508161
K562_rep1_13	157719
K562_rep1_14	480224
K562_rep1_15	720338
K562_rep1_16	1239310
K562_rep1_17	356330
K562_rep1_18	216107
K562_rep1_19	604991
K562_rep1_20	989520
K562_rep1_21	304639
K562_rep1_22	475174
K562_rep1_23	589988
K562_rep1_24	762566
K562_rep1_25	336891
K562_rep1_26	607360
K562_rep1_27	846577
K562_rep1_28	472260
K562_rep1_29	355214
K562_rep1_30	1412715
K562_rep1_31	373457
K562_rep1_32	1254778
K562_rep1_33	2440855
K562_rep1_34	508331
K562_rep1_35	494426
K562_rep1_36	1478139
K562_rep1_37	252858
K562_rep1_38	378306
K562_rep1_39	144527
K562_rep1_40	1208483
K562_rep1_41	992258
K562_rep1_42	1149371
K562_rep1_43	1884078
K562_rep1_44	147356
K562_rep1_45	413989
K562_rep1_46	507358
K562_rep1_47	1255852
K562_rep1_48	574002
K562_rep1_49	361768
K562_rep1_50	396684
K562_rep1_51	1385644
K562_rep1_52	415734
K562_rep1_53	223289
K562_rep1_54	127546
K562_rep1_55	912366
K562_rep1_56	1586845
K562_rep1_57	338337
K562_rep1_58	1121064
K562_rep1_59	1034293
K562_rep1_60	928682
K562_rep1_61	284305
K562_rep1_62	698635
K562_rep1_63	499643
K562_rep1_64	873036
K562_rep1_65	1427600
K562_rep1_66	1117931
K562_rep1_67	587647
K562_rep1_68	1015499
K562_rep1_69	826218
K562_rep1_70	933301
K562_rep1_71	701868
K562_rep1_72	1080538
K562_rep1_73	840597
K562_rep1_74	593478
K562_rep1_75	582500
K562_rep1_76	303304
K562_rep1_77	689406
K562_rep1_78	1769286
K562_rep1_79	893622
K562_rep1_80	867845
K562_rep1_81	627628
K562_rep1_82	292004
K562_rep1_83	258944
K562_rep1_84	806513
K562_rep1_85	709841
K562_rep1_86	573997
K562_rep1_87	433732
K562_rep1_88	381212
K562_rep1_89	1069282
K562_rep1_90	843469
K562_rep1_91	1639501
K562_rep1_92	274866
K562_rep1_93	63637
K562_rep1_94	481670
K562_rep1_95	409530
K562_rep1_96	905905
K562_rep2_01	819482
K562_rep2_02	995006
K562_rep2_03	825436
K562_rep2_04	224774
K562_rep2_05	1641624
K562_rep2_06	1358552
K562_rep2_07	1139922
K562_rep2_08	652466
K562_rep2_09	278863
K562_rep2_10	391525
K562_rep2_11	219897
K562_rep2_12	644258
K562_rep2_13	345503
K562_rep2_14	754055
K562_rep2_15	1024216
K562_rep2_16	294461
K562_rep2_17	412963
K562_rep2_18	430488
K562_rep2_19	598978
K562_rep2_20	1042454
K562_rep2_21	998985
K562_rep2_22	1859866
K562_rep2_23	1132409
K562_rep2_24	951340
K562_rep2_25	991460
K562_rep2_26	1447926
K562_rep2_27	1468020
K562_rep2_28	942259
K562_rep2_29	360866
K562_rep2_30	1547732
K562_rep2_31	1030490
K562_rep2_32	1034648
K562_rep2_33	443172
K562_rep2_34	992870
K562_rep2_35	314616
K562_rep2_36	803023
K562_rep2_37	1171048
K562_rep2_38	309504
K562_rep2_39	353412
K562_rep2_40	1930956
K562_rep2_41	870613
K562_rep2_42	465011
K562_rep2_43	304400
K562_rep2_44	579769
K562_rep2_45	1460523
K562_rep2_46	764473
K562_rep2_47	363892
K562_rep2_48	135129
K562_rep2_49	1576952
K562_rep2_50	1335505
K562_rep2_51	539816
K562_rep2_52	950815
K562_rep2_53	1314039
K562_rep2_54	2281288
K562_rep2_55	404309
K562_rep2_56	877388
K562_rep2_57	1252654
K562_rep2_58	879934
K562_rep2_59	1384312
K562_rep2_60	1124452
K562_rep2_61	210704
K562_rep2_62	679023
K562_rep2_63	825782
K562_rep2_64	336618
K562_rep2_65	671042
K562_rep2_66	496864
K562_rep2_67	960103
K562_rep2_68	1286661
K562_rep2_69	957940
K562_rep2_70	641325
K562_rep2_71	707739
K562_rep2_72	1148241
K562_rep2_73	434560
K562_rep2_74	1169497
K562_rep2_75	524343
K562_rep2_76	1237097
K562_rep2_77	297916
K562_rep2_78	399006
K562_rep2_79	730568
K562_rep2_80	2071379
K562_rep2_81	218126
K562_rep2_82	954005
K562_rep2_83	992137
K562_rep2_84	1052309
K562_rep2_85	389418
K562_rep2_86	469881
K562_rep2_87	443624
K562_rep2_88	463834
K562_rep2_89	1550359
K562_rep2_90	493548
K562_rep2_91	2321960
K562_rep2_92	979338
K562_rep2_93	1152725
K562_rep2_94	2007490
K562_rep2_95	1548307
K562_rep2_96	355117
