cell	uniq_frags
K562_rep1_01	9882.000000
K562_rep1_02	23762.000000
K562_rep1_03	15542.000000
K562_rep1_04	9353.000000
K562_rep1_05	6658.000000
K562_rep1_06	4135.000000
K562_rep1_07	4664.000000
K562_rep1_08	16263.000000
K562_rep1_09	13874.000000
K562_rep1_10	3596.000000
K562_rep1_11	45202.000000
K562_rep1_12	8384.000000
K562_rep1_13	2214.000000
K562_rep1_14	9780.000000
K562_rep1_15	12075.000000
K562_rep1_16	31695.000000
K562_rep1_17	8060.000000
K562_rep1_18	3908.000000
K562_rep1_19	13992.000000
K562_rep1_20	24205.000000
K562_rep1_21	5169.000000
K562_rep1_22	8630.000000
K562_rep1_23	8770.000000
K562_rep1_24	4662.000000
K562_rep1_25	4967.000000
K562_rep1_26	13564.000000
K562_rep1_27	20485.000000
K562_rep1_28	11300.000000
K562_rep1_29	10442.000000
K562_rep1_30	35048.000000
K562_rep1_31	6451.000000
K562_rep1_32	29931.000000
K562_rep1_33	54804.000000
K562_rep1_34	6209.000000
K562_rep1_35	10997.000000
K562_rep1_36	33136.000000
K562_rep1_37	2404.000000
K562_rep1_38	10666.000000
K562_rep1_39	2260.000000
K562_rep1_40	34707.000000
K562_rep1_41	20875.000000
K562_rep1_42	37760.000000
K562_rep1_43	35624.000000
K562_rep1_44	3979.000000
K562_rep1_45	2554.000000
K562_rep1_46	11368.000000
K562_rep1_47	31821.000000
K562_rep1_48	12701.000000
K562_rep1_49	2791.000000
K562_rep1_50	9768.000000
K562_rep1_51	27622.000000
K562_rep1_52	7933.000000
K562_rep1_53	1133.000000
K562_rep1_54	1980.000000
K562_rep1_55	6737.000000
K562_rep1_56	39432.000000
K562_rep1_57	3096.000000
K562_rep1_58	9718.000000
K562_rep1_59	23191.000000
K562_rep1_60	18705.000000
K562_rep1_61	7334.000000
K562_rep1_62	9848.000000
K562_rep1_63	5464.000000
K562_rep1_64	22167.000000
K562_rep1_65	35850.000000
K562_rep1_66	22801.000000
K562_rep1_67	15495.000000
K562_rep1_68	25338.000000
K562_rep1_69	15238.000000
K562_rep1_70	20394.000000
K562_rep1_71	18050.000000
K562_rep1_72	8061.000000
K562_rep1_73	3966.000000
K562_rep1_74	15989.000000
K562_rep1_75	5908.000000
K562_rep1_76	4974.000000
K562_rep1_77	11572.000000
K562_rep1_78	30527.000000
K562_rep1_79	25613.000000
K562_rep1_80	9438.000000
K562_rep1_81	10445.000000
K562_rep1_82	5053.000000
K562_rep1_83	4943.000000
K562_rep1_84	12879.000000
K562_rep1_85	17765.000000
K562_rep1_86	11972.000000
K562_rep1_87	4778.000000
K562_rep1_88	8514.000000
K562_rep1_89	18334.000000
K562_rep1_90	18910.000000
K562_rep1_91	36758.000000
K562_rep1_92	5196.000000
K562_rep1_93	1821.000000
K562_rep1_94	7066.000000
K562_rep1_95	3217.000000
K562_rep1_96	17834.000000
K562_rep2_01	37842.000000
K562_rep2_02	48578.000000
K562_rep2_03	40892.000000
K562_rep2_04	10028.000000
K562_rep2_05	76717.000000
K562_rep2_06	71951.000000
K562_rep2_07	36499.000000
K562_rep2_08	33383.000000
K562_rep2_09	11385.000000
K562_rep2_10	19203.000000
K562_rep2_11	9708.000000
K562_rep2_12	30959.000000
K562_rep2_13	17118.000000
K562_rep2_14	39424.000000
K562_rep2_15	53045.000000
K562_rep2_16	14894.000000
K562_rep2_17	20756.000000
K562_rep2_18	22780.000000
K562_rep2_19	29085.000000
K562_rep2_20	52762.000000
K562_rep2_21	33084.000000
K562_rep2_22	66698.000000
K562_rep2_23	43633.000000
K562_rep2_24	52343.000000
K562_rep2_25	41392.000000
K562_rep2_26	74498.000000
K562_rep2_27	68990.000000
K562_rep2_28	43654.000000
K562_rep2_29	18835.000000
K562_rep2_30	85129.000000
K562_rep2_31	46661.000000
K562_rep2_32	57122.000000
K562_rep2_33	18792.000000
K562_rep2_34	42732.000000
K562_rep2_35	14081.000000
K562_rep2_36	36897.000000
K562_rep2_37	67428.000000
K562_rep2_38	17405.000000
K562_rep2_39	21599.000000
K562_rep2_40	91841.000000
K562_rep2_41	54938.000000
K562_rep2_42	26653.000000
K562_rep2_43	16820.000000
K562_rep2_44	41242.000000
K562_rep2_45	72709.000000
K562_rep2_46	38197.000000
K562_rep2_47	4077.000000
K562_rep2_48	6589.000000
K562_rep2_49	71063.000000
K562_rep2_50	69940.000000
K562_rep2_51	27136.000000
K562_rep2_52	30881.000000
K562_rep2_53	61775.000000
K562_rep2_54	109738.000000
K562_rep2_55	13091.000000
K562_rep2_56	40623.000000
K562_rep2_57	61567.000000
K562_rep2_58	27927.000000
K562_rep2_59	66125.000000
K562_rep2_60	41470.000000
K562_rep2_61	7361.000000
K562_rep2_62	34907.000000
K562_rep2_63	48746.000000
K562_rep2_64	18133.000000
K562_rep2_65	28236.000000
K562_rep2_66	29398.000000
K562_rep2_67	52496.000000
K562_rep2_68	79633.000000
K562_rep2_69	21625.000000
K562_rep2_70	28280.000000
K562_rep2_71	35480.000000
K562_rep2_72	49509.000000
K562_rep2_73	12537.000000
K562_rep2_74	62977.000000
K562_rep2_75	21503.000000
K562_rep2_76	57991.000000
K562_rep2_77	15801.000000
K562_rep2_78	25229.000000
K562_rep2_79	32413.000000
K562_rep2_80	112951.000000
K562_rep2_81	9256.000000
K562_rep2_82	40682.000000
K562_rep2_83	46718.000000
K562_rep2_84	54865.000000
K562_rep2_85	20745.000000
K562_rep2_86	19528.000000
K562_rep2_87	26783.000000
K562_rep2_88	15278.000000
K562_rep2_89	69289.000000
K562_rep2_90	26905.000000
K562_rep2_91	96639.000000
K562_rep2_92	50352.000000
K562_rep2_93	53090.000000
K562_rep2_94	86093.000000
K562_rep2_95	74072.000000
K562_rep2_96	12176.000000
