cell	dup_level
plate_mESC_rep1_01	0.939815
plate_mESC_rep1_02	0.939326
plate_mESC_rep1_03	0.948238
plate_mESC_rep1_04	0.937866
plate_mESC_rep1_05	0.942011
plate_mESC_rep1_06	0.941826
plate_mESC_rep1_07	0.947292
plate_mESC_rep1_08	0.941896
plate_mESC_rep1_09	0.949549
plate_mESC_rep1_10	0.945535
plate_mESC_rep1_11	0.940819
plate_mESC_rep1_12	0.94821
plate_mESC_rep1_13	0.943517
plate_mESC_rep1_14	0.942606
plate_mESC_rep1_15	0.949819
plate_mESC_rep1_16	0.943385
plate_mESC_rep1_17	0.944321
plate_mESC_rep1_18	0.942495
plate_mESC_rep1_19	0.944361
plate_mESC_rep1_20	0.93294
plate_mESC_rep1_21	0.946277
plate_mESC_rep1_22	0.948171
plate_mESC_rep1_23	0.943256
plate_mESC_rep1_24	0.950816
plate_mESC_rep1_25	0.943861
plate_mESC_rep1_26	0.936519
plate_mESC_rep1_27	0.946616
plate_mESC_rep1_28	0.942642
plate_mESC_rep1_29	0.940269
plate_mESC_rep1_30	0.944116
plate_mESC_rep1_31	0.941444
plate_mESC_rep1_32	0.939853
plate_mESC_rep1_33	0.946587
plate_mESC_rep1_34	0.944851
plate_mESC_rep1_35	0.938047
plate_mESC_rep1_36	0.939398
plate_mESC_rep1_37	0.941626
plate_mESC_rep1_38	0.934601
plate_mESC_rep1_39	0.938581
plate_mESC_rep1_40	0.937536
plate_mESC_rep1_41	0.938704
plate_mESC_rep1_42	0.925317
plate_mESC_rep1_43	0.937924
plate_mESC_rep1_44	0.93412
plate_mESC_rep1_45	0.947357
plate_mESC_rep1_46	0.944044
plate_mESC_rep1_47	0.941069
plate_mESC_rep1_48	0.954431
plate_mESC_rep1_49	0.940757
plate_mESC_rep1_50	0.941146
plate_mESC_rep1_51	0.946909
plate_mESC_rep1_52	0.945269
plate_mESC_rep1_53	0.938056
plate_mESC_rep1_54	0.94635
plate_mESC_rep1_55	0.946273
plate_mESC_rep1_56	0.94012
plate_mESC_rep1_57	0.937738
plate_mESC_rep1_58	0.946151
plate_mESC_rep1_59	0.946487
plate_mESC_rep1_60	0.949571
plate_mESC_rep1_61	0.949484
plate_mESC_rep1_62	0.938195
plate_mESC_rep1_63	0.951357
plate_mESC_rep1_64	0.940452
plate_mESC_rep1_65	0.941039
plate_mESC_rep1_66	0.943051
plate_mESC_rep1_67	0.94198
plate_mESC_rep1_68	0.944163
plate_mESC_rep1_69	0.948374
plate_mESC_rep1_70	0.946057
plate_mESC_rep1_71	0.939465
