cell	frac_open
mESC_rep1_01	0.145821
mESC_rep1_02	0.104331
mESC_rep1_03	0.106155
mESC_rep1_04	0.257681
mESC_rep1_05	0.233431
mESC_rep1_06	0.359258
mESC_rep1_07	0.164151
mESC_rep1_08	0.322508
mESC_rep1_09	0.350406
mESC_rep1_10	0.167263
mESC_rep1_11	0.091724
mESC_rep1_12	0.221342
mESC_rep1_13	0.083301
mESC_rep1_14	0.151382
mESC_rep1_15	0.298365
mESC_rep1_16	0.108498
mESC_rep1_17	0.172306
mESC_rep1_18	0.296720
mESC_rep1_19	0.251314
mESC_rep1_20	0.170249
mESC_rep1_21	0.222147
mESC_rep1_22	0.458654
mESC_rep1_23	0.245502
mESC_rep1_24	0.085464
mESC_rep1_25	0.381022
mESC_rep1_26	0.097160
mESC_rep1_27	0.354430
mESC_rep1_28	0.384420
mESC_rep1_29	0.192335
mESC_rep1_30	0.099324
mESC_rep1_31	0.128116
mESC_rep1_32	0.241032
mESC_rep1_33	0.201187
mESC_rep1_34	0.283504
mESC_rep1_35	0.030366
mESC_rep1_36	0.059802
mESC_rep1_37	0.129905
mESC_rep1_38	0.300833
mESC_rep1_39	0.403877
mESC_rep1_40	0.142798
mESC_rep1_41	0.329178
mESC_rep1_42	0.297185
mESC_rep1_43	0.234522
mESC_rep1_44	0.175507
mESC_rep1_45	0.402750
mESC_rep1_46	0.109231
mESC_rep1_47	0.335760
mESC_rep1_48	0.243589
mESC_rep1_49	0.235792
mESC_rep1_50	0.019743
mESC_rep1_51	0.300905
mESC_rep1_52	0.275958
mESC_rep1_53	0.308827
mESC_rep1_54	0.049018
mESC_rep1_55	0.204263
mESC_rep1_56	0.121267
mESC_rep1_57	0.163132
mESC_rep1_58	0.122143
mESC_rep1_59	0.245341
mESC_rep1_60	0.305358
mESC_rep1_61	0.163275
mESC_rep1_62	0.074752
mESC_rep1_63	0.184592
mESC_rep1_64	0.146500
mESC_rep1_65	0.353983
mESC_rep1_66	0.278640
mESC_rep1_67	0.330466
mESC_rep1_68	0.240334
mESC_rep1_69	0.256715
mESC_rep1_70	0.111127
mESC_rep1_71	0.022014
mESC_rep1_72	0.136432
mESC_rep1_73	0.342966
mESC_rep1_74	0.102686
mESC_rep1_75	0.251511
mESC_rep1_76	0.408670
mESC_rep1_77	0.061501
mESC_rep1_78	0.037412
mESC_rep1_79	0.121410
mESC_rep1_80	0.320648
mESC_rep1_81	0.099038
mESC_rep1_82	0.194857
mESC_rep1_83	0.176616
mESC_rep1_84	0.195375
mESC_rep1_85	0.358704
mESC_rep1_86	0.184288
mESC_rep1_87	0.316678
mESC_rep1_88	0.202582
mESC_rep1_89	0.106996
mESC_rep1_90	0.123610
mESC_rep1_91	0.238331
mESC_rep1_92	0.113863
mESC_rep1_93	0.353106
mESC_rep1_94	0.201080
mESC_rep1_95	0.256912
mESC_rep1_96	0.256411
mESC_rep2_01	0.300458
mESC_rep2_02	0.182929
mESC_rep2_03	0.076398
mESC_rep2_04	0.334722
mESC_rep2_05	0.133177
mESC_rep2_06	0.266766
mESC_rep2_07	0.191244
mESC_rep2_08	0.242212
mESC_rep2_09	0.285865
mESC_rep2_10	0.130852
mESC_rep2_11	0.164097
mESC_rep2_12	0.195644
mESC_rep2_13	0.111556
mESC_rep2_14	0.196270
mESC_rep2_15	0.174792
mESC_rep2_16	0.271433
mESC_rep2_17	0.231088
mESC_rep2_18	0.197396
mESC_rep2_19	0.227708
mESC_rep2_20	0.294449
mESC_rep2_21	0.214582
mESC_rep2_22	0.196144
mESC_rep2_23	0.265997
mESC_rep2_24	0.232841
mESC_rep2_25	0.066454
mESC_rep2_26	0.310043
mESC_rep2_27	0.295361
mESC_rep2_28	0.149737
mESC_rep2_29	0.443632
mESC_rep2_30	0.322490
mESC_rep2_31	0.149523
mESC_rep2_32	0.253371
mESC_rep2_33	0.225097
mESC_rep2_34	0.382363
mESC_rep2_35	0.292571
mESC_rep2_36	0.346579
mESC_rep2_37	0.210254
mESC_rep2_38	0.063772
mESC_rep2_39	0.067045
mESC_rep2_40	0.277317
mESC_rep2_41	0.288548
mESC_rep2_42	0.316320
mESC_rep2_43	0.085804
mESC_rep2_44	0.064863
mESC_rep2_45	0.141994
mESC_rep2_46	0.175990
mESC_rep2_47	0.350102
mESC_rep2_48	0.147555
mESC_rep2_49	0.024375
mESC_rep2_50	0.341089
mESC_rep2_51	0.079581
mESC_rep2_52	0.206159
mESC_rep2_53	0.190368
mESC_rep2_54	0.345291
mESC_rep2_55	0.107085
mESC_rep2_56	0.145552
mESC_rep2_57	0.259183
mESC_rep2_58	0.152867
mESC_rep2_59	0.204192
mESC_rep2_60	0.212758
mESC_rep2_61	0.306949
mESC_rep2_62	0.161880
mESC_rep2_63	0.311224
mESC_rep2_64	0.142620
mESC_rep2_65	0.174005
mESC_rep2_66	0.267928
mESC_rep2_67	0.330502
mESC_rep2_68	0.161844
mESC_rep2_69	0.092814
mESC_rep2_70	0.256304
mESC_rep2_71	0.226707
mESC_rep2_72	0.345667
mESC_rep2_73	0.226975
mESC_rep2_74	0.242820
mESC_rep2_75	0.283844
mESC_rep2_76	0.241085
mESC_rep2_77	0.107622
mESC_rep2_78	0.234737
mESC_rep2_79	0.170053
mESC_rep2_80	0.274849
mESC_rep2_81	0.377124
mESC_rep2_82	0.192031
mESC_rep2_83	0.196019
mESC_rep2_84	0.283290
mESC_rep2_85	0.215458
mESC_rep2_86	0.224418
mESC_rep2_87	0.223041
mESC_rep2_88	0.098394
mESC_rep2_89	0.037555
mESC_rep2_90	0.180711
mESC_rep2_91	0.148861
mESC_rep2_92	0.334329
mESC_rep2_93	0.420222
mESC_rep2_94	0.271201
mESC_rep2_95	0.181265
mESC_rep2_96	0.314890
