cell	frip
plate_mESC_rep1_01	0.390230
plate_mESC_rep1_02	0.452127
plate_mESC_rep1_03	0.464839
plate_mESC_rep1_04	0.424374
plate_mESC_rep1_05	0.431665
plate_mESC_rep1_06	0.401441
plate_mESC_rep1_07	0.490498
plate_mESC_rep1_08	0.405216
plate_mESC_rep1_09	0.481096
plate_mESC_rep1_10	0.410049
plate_mESC_rep1_11	0.401349
plate_mESC_rep1_12	0.406631
plate_mESC_rep1_13	0.406721
plate_mESC_rep1_14	0.437518
plate_mESC_rep1_15	0.431350
plate_mESC_rep1_16	0.418023
plate_mESC_rep1_17	0.401470
plate_mESC_rep1_18	0.306819
plate_mESC_rep1_19	0.438253
plate_mESC_rep1_20	0.285925
plate_mESC_rep1_21	0.456565
plate_mESC_rep1_22	0.384667
plate_mESC_rep1_23	0.401980
plate_mESC_rep1_24	0.477533
plate_mESC_rep1_25	0.435781
plate_mESC_rep1_26	0.444177
plate_mESC_rep1_27	0.375700
plate_mESC_rep1_28	0.424130
plate_mESC_rep1_29	0.495856
plate_mESC_rep1_30	0.513009
plate_mESC_rep1_31	0.450527
plate_mESC_rep1_32	0.411108
plate_mESC_rep1_33	0.365845
plate_mESC_rep1_34	0.410467
plate_mESC_rep1_35	0.419196
plate_mESC_rep1_36	0.439509
plate_mESC_rep1_37	0.469312
plate_mESC_rep1_38	0.490844
plate_mESC_rep1_39	0.413605
plate_mESC_rep1_40	0.468208
plate_mESC_rep1_41	0.436793
plate_mESC_rep1_42	0.398814
plate_mESC_rep1_43	0.349078
plate_mESC_rep1_44	0.421300
plate_mESC_rep1_45	0.423619
plate_mESC_rep1_46	0.476108
plate_mESC_rep1_47	0.371018
plate_mESC_rep1_48	0.543003
plate_mESC_rep1_49	0.375961
plate_mESC_rep1_50	0.467135
plate_mESC_rep1_51	0.401735
plate_mESC_rep1_52	0.412643
plate_mESC_rep1_53	0.379273
plate_mESC_rep1_54	0.583879
plate_mESC_rep1_55	0.456941
plate_mESC_rep1_56	0.454861
plate_mESC_rep1_57	0.236277
plate_mESC_rep1_58	0.416422
plate_mESC_rep1_59	0.462120
plate_mESC_rep1_60	0.458920
plate_mESC_rep1_61	0.469424
plate_mESC_rep1_62	0.434744
plate_mESC_rep1_63	0.364671
plate_mESC_rep1_64	0.402311
plate_mESC_rep1_65	0.388505
plate_mESC_rep1_66	0.372982
plate_mESC_rep1_67	0.402074
plate_mESC_rep1_68	0.384149
plate_mESC_rep1_69	0.345305
plate_mESC_rep1_70	0.428155
plate_mESC_rep1_71	0.412023
plate_mESC_rep1_72	0.388218
plate_mESC_rep1_73	0.349775
plate_mESC_rep1_74	0.460471
plate_mESC_rep1_75	0.453995
plate_mESC_rep1_76	0.436016
plate_mESC_rep1_77	0.444524
plate_mESC_rep1_78	0.482367
plate_mESC_rep1_79	0.469921
plate_mESC_rep1_80	0.412511
plate_mESC_rep1_81	0.416982
plate_mESC_rep1_82	0.374533
plate_mESC_rep1_83	0.376297
plate_mESC_rep1_84	0.484148
plate_mESC_rep1_85	0.409001
plate_mESC_rep1_86	0.453954
plate_mESC_rep1_87	0.456114
plate_mESC_rep1_88	0.447372
plate_mESC_rep1_89	0.505366
plate_mESC_rep1_90	0.380995
plate_mESC_rep1_91	0.420850
plate_mESC_rep1_92	0.458370
plate_mESC_rep1_93	0.363033
plate_mESC_rep1_94	0.415168
plate_mESC_rep1_95	0.444464
plate_mESC_rep1_96	0.301357
plate_mESC_rep2_01	0.379089
plate_mESC_rep2_02	0.350089
plate_mESC_rep2_03	0.420447
plate_mESC_rep2_04	0.442742
plate_mESC_rep2_05	0.400169
plate_mESC_rep2_06	0.441133
plate_mESC_rep2_07	0.389319
plate_mESC_rep2_08	0.465265
plate_mESC_rep2_09	0.432470
plate_mESC_rep2_10	0.434260
plate_mESC_rep2_11	0.476146
plate_mESC_rep2_12	0.449026
plate_mESC_rep2_13	0.478539
plate_mESC_rep2_14	0.401848
plate_mESC_rep2_15	0.348630
plate_mESC_rep2_16	0.427235
plate_mESC_rep2_17	0.435318
plate_mESC_rep2_18	0.407803
plate_mESC_rep2_19	0.505500
plate_mESC_rep2_20	0.329362
plate_mESC_rep2_21	0.339495
plate_mESC_rep2_22	0.320666
plate_mESC_rep2_23	0.465186
plate_mESC_rep2_24	0.431669
plate_mESC_rep2_25	0.463846
plate_mESC_rep2_26	0.485947
plate_mESC_rep2_27	0.124996
plate_mESC_rep2_28	0.412548
plate_mESC_rep2_29	0.388139
plate_mESC_rep2_30	0.377533
plate_mESC_rep2_31	0.508188
plate_mESC_rep2_32	0.363106
plate_mESC_rep2_33	0.376815
plate_mESC_rep2_34	0.398072
plate_mESC_rep2_35	0.341968
plate_mESC_rep2_36	0.382791
plate_mESC_rep2_37	0.375646
plate_mESC_rep2_38	0.453332
plate_mESC_rep2_39	0.420288
plate_mESC_rep2_40	0.381063
plate_mESC_rep2_41	0.372428
plate_mESC_rep2_42	0.364101
plate_mESC_rep2_43	0.463759
plate_mESC_rep2_44	0.513661
plate_mESC_rep2_45	0.411203
plate_mESC_rep2_46	0.348812
plate_mESC_rep2_47	0.360831
plate_mESC_rep2_48	0.352856
plate_mESC_rep2_49	0.283093
plate_mESC_rep2_50	0.370876
plate_mESC_rep2_51	0.522839
plate_mESC_rep2_52	0.414393
plate_mESC_rep2_53	0.387987
plate_mESC_rep2_54	0.425650
plate_mESC_rep2_55	0.509677
plate_mESC_rep2_56	0.466174
plate_mESC_rep2_57	0.370928
plate_mESC_rep2_58	0.412129
plate_mESC_rep2_59	0.423213
plate_mESC_rep2_60	0.395668
plate_mESC_rep2_61	0.406930
plate_mESC_rep2_62	0.485873
plate_mESC_rep2_63	0.386948
plate_mESC_rep2_64	0.476987
plate_mESC_rep2_65	0.439229
plate_mESC_rep2_66	0.509940
plate_mESC_rep2_67	0.364114
plate_mESC_rep2_68	0.341058
plate_mESC_rep2_69	0.460654
plate_mESC_rep2_70	0.354622
plate_mESC_rep2_71	0.481412
plate_mESC_rep2_72	0.407800
plate_mESC_rep2_73	0.414596
plate_mESC_rep2_74	0.322879
plate_mESC_rep2_75	0.478776
plate_mESC_rep2_76	0.437115
plate_mESC_rep2_77	0.464723
plate_mESC_rep2_78	0.441009
plate_mESC_rep2_79	0.461473
plate_mESC_rep2_80	0.431923
plate_mESC_rep2_81	0.355357
plate_mESC_rep2_82	0.452683
plate_mESC_rep2_83	0.419487
plate_mESC_rep2_84	0.447975
plate_mESC_rep2_85	0.430739
plate_mESC_rep2_86	0.347115
plate_mESC_rep2_87	0.376139
plate_mESC_rep2_88	0.424276
plate_mESC_rep2_89	0.405054
plate_mESC_rep2_90	0.380220
plate_mESC_rep2_91	0.449753
plate_mESC_rep2_92	0.416697
plate_mESC_rep2_93	0.454075
plate_mESC_rep2_94	0.442367
plate_mESC_rep2_95	0.452325
plate_mESC_rep2_96	0.394839
