cell	library_size
plate_mESC_rep1_01	25066
plate_mESC_rep1_02	17181
plate_mESC_rep1_03	18088
plate_mESC_rep1_04	43715
plate_mESC_rep1_05	43916
plate_mESC_rep1_06	85101
plate_mESC_rep1_07	28995
plate_mESC_rep1_08	75002
plate_mESC_rep1_09	69138
plate_mESC_rep1_10	26998
plate_mESC_rep1_11	16685
plate_mESC_rep1_12	39162
plate_mESC_rep1_13	12752
plate_mESC_rep1_14	24239
plate_mESC_rep1_15	55943
plate_mESC_rep1_16	19353
plate_mESC_rep1_17	30874
plate_mESC_rep1_18	98172
plate_mESC_rep1_19	42682
plate_mESC_rep1_20	38267
plate_mESC_rep1_21	38011
plate_mESC_rep1_22	113619
plate_mESC_rep1_23	50898
plate_mESC_rep1_24	15712
plate_mESC_rep1_25	76161
plate_mESC_rep1_26	17645
plate_mESC_rep1_27	83934
plate_mESC_rep1_28	77145
plate_mESC_rep1_29	32212
plate_mESC_rep1_30	24214
plate_mESC_rep1_31	18010
plate_mESC_rep1_32	41691
plate_mESC_rep1_33	42410
plate_mESC_rep1_34	54332
plate_mESC_rep1_35	4876
plate_mESC_rep1_36	12134
plate_mESC_rep1_37	17173
plate_mESC_rep1_38	56355
plate_mESC_rep1_39	91759
plate_mESC_rep1_40	21971
plate_mESC_rep1_41	68845
plate_mESC_rep1_42	54810
plate_mESC_rep1_43	47498
plate_mESC_rep1_44	28526
plate_mESC_rep1_45	84910
plate_mESC_rep1_46	15591
plate_mESC_rep1_47	75216
plate_mESC_rep1_48	55682
plate_mESC_rep1_49	44724
plate_mESC_rep1_50	6116
plate_mESC_rep1_51	59645
plate_mESC_rep1_52	58192
plate_mESC_rep1_53	68659
plate_mESC_rep1_54	6873
plate_mESC_rep1_55	31515
plate_mESC_rep1_56	19850
plate_mESC_rep1_57	44452
plate_mESC_rep1_58	21142
plate_mESC_rep1_59	57444
plate_mESC_rep1_60	54296
plate_mESC_rep1_61	27178
plate_mESC_rep1_62	12880
plate_mESC_rep1_63	36500
plate_mESC_rep1_64	25315
plate_mESC_rep1_65	73873
plate_mESC_rep1_66	59413
plate_mESC_rep1_67	67801
plate_mESC_rep1_68	61251
plate_mESC_rep1_69	62410
plate_mESC_rep1_70	15262
plate_mESC_rep1_71	4092
plate_mESC_rep1_72	22620
plate_mESC_rep1_73	81205
plate_mESC_rep1_74	18189
plate_mESC_rep1_75	46049
plate_mESC_rep1_76	85607
plate_mESC_rep1_77	9779
plate_mESC_rep1_78	10265
plate_mESC_rep1_79	21826
plate_mESC_rep1_80	61242
plate_mESC_rep1_81	16370
plate_mESC_rep1_82	40923
plate_mESC_rep1_83	33431
plate_mESC_rep1_84	37313
plate_mESC_rep1_85	71270
plate_mESC_rep1_86	35323
plate_mESC_rep1_87	63403
plate_mESC_rep1_88	35428
plate_mESC_rep1_89	17519
plate_mESC_rep1_90	24604
plate_mESC_rep1_91	43727
plate_mESC_rep1_92	22916
plate_mESC_rep1_93	79165
plate_mESC_rep1_94	36301
plate_mESC_rep1_95	47114
plate_mESC_rep1_96	60415
plate_mESC_rep2_01	57650
plate_mESC_rep2_02	32526
plate_mESC_rep2_03	14242
plate_mESC_rep2_04	63651
plate_mESC_rep2_05	23109
plate_mESC_rep2_06	46911
plate_mESC_rep2_07	34229
plate_mESC_rep2_08	40233
plate_mESC_rep2_09	53191
plate_mESC_rep2_10	25076
plate_mESC_rep2_11	28737
plate_mESC_rep2_12	36587
plate_mESC_rep2_13	19524
plate_mESC_rep2_14	41996
plate_mESC_rep2_15	31466
plate_mESC_rep2_16	50017
plate_mESC_rep2_17	39934
plate_mESC_rep2_18	33255
plate_mESC_rep2_19	49728
plate_mESC_rep2_20	64965
plate_mESC_rep2_21	44631
plate_mESC_rep2_22	44498
plate_mESC_rep2_23	45441
plate_mESC_rep2_24	46326
plate_mESC_rep2_25	13802
plate_mESC_rep2_26	56145
plate_mESC_rep2_27	250289
plate_mESC_rep2_28	28227
plate_mESC_rep2_29	102507
plate_mESC_rep2_30	71117
plate_mESC_rep2_31	22534
plate_mESC_rep2_32	52745
plate_mESC_rep2_33	43398
plate_mESC_rep2_34	79973
plate_mESC_rep2_35	70783
plate_mESC_rep2_36	76752
plate_mESC_rep2_37	38314
plate_mESC_rep2_38	12321
plate_mESC_rep2_39	12796
plate_mESC_rep2_40	53255
plate_mESC_rep2_41	67256
plate_mESC_rep2_42	80409
plate_mESC_rep2_43	16542
plate_mESC_rep2_44	12408
plate_mESC_rep2_45	24770
plate_mESC_rep2_46	31646
plate_mESC_rep2_47	76565
plate_mESC_rep2_48	30640
plate_mESC_rep2_49	5696
plate_mESC_rep2_50	79563
plate_mESC_rep2_51	13442
plate_mESC_rep2_52	37199
plate_mESC_rep2_53	37933
plate_mESC_rep2_54	63665
plate_mESC_rep2_55	22477
plate_mESC_rep2_56	24833
plate_mESC_rep2_57	51971
plate_mESC_rep2_58	27768
plate_mESC_rep2_59	37604
plate_mESC_rep2_60	38593
plate_mESC_rep2_61	60949
plate_mESC_rep2_62	24173
plate_mESC_rep2_63	55877
plate_mESC_rep2_64	22770
plate_mESC_rep2_65	28739
plate_mESC_rep2_66	44065
plate_mESC_rep2_67	72167
plate_mESC_rep2_68	37369
plate_mESC_rep2_69	15516
plate_mESC_rep2_70	52446
plate_mESC_rep2_71	40778
plate_mESC_rep2_72	67370
plate_mESC_rep2_73	39688
plate_mESC_rep2_74	61763
plate_mESC_rep2_75	51286
plate_mESC_rep2_76	39978
plate_mESC_rep2_77	17958
plate_mESC_rep2_78	39023
plate_mESC_rep2_79	28318
plate_mESC_rep2_80	50722
plate_mESC_rep2_81	88791
plate_mESC_rep2_82	33297
plate_mESC_rep2_83	34690
plate_mESC_rep2_84	50072
plate_mESC_rep2_85	38658
plate_mESC_rep2_86	40779
plate_mESC_rep2_87	42152
plate_mESC_rep2_88	16778
plate_mESC_rep2_89	11001
plate_mESC_rep2_90	36183
plate_mESC_rep2_91	24877
plate_mESC_rep2_92	63731
plate_mESC_rep2_93	85303
plate_mESC_rep2_94	46935
plate_mESC_rep2_95	29397
plate_mESC_rep2_96	70910
