cell	mapping_rate
mESC_rep1_01	94.70
mESC_rep1_02	95.98
mESC_rep1_03	95.59
mESC_rep1_04	94.90
mESC_rep1_05	95.29
mESC_rep1_06	94.67
mESC_rep1_07	96.10
mESC_rep1_08	94.89
mESC_rep1_09	92.11
mESC_rep1_10	93.78
mESC_rep1_11	94.69
mESC_rep1_12	94.34
mESC_rep1_13	95.21
mESC_rep1_14	94.98
mESC_rep1_15	94.76
mESC_rep1_16	95.24
mESC_rep1_17	95.26
mESC_rep1_18	96.50
mESC_rep1_19	95.30
mESC_rep1_20	95.30
mESC_rep1_21	95.26
mESC_rep1_22	94.83
mESC_rep1_23	94.27
mESC_rep1_24	95.55
mESC_rep1_25	95.22
mESC_rep1_26	94.38
mESC_rep1_27	94.39
mESC_rep1_28	94.66
mESC_rep1_29	95.19
mESC_rep1_30	97.31
mESC_rep1_31	95.39
mESC_rep1_32	94.86
mESC_rep1_33	94.98
mESC_rep1_34	95.38
mESC_rep1_35	94.42
mESC_rep1_36	95.35
mESC_rep1_37	96.82
mESC_rep1_38	95.45
mESC_rep1_39	94.97
mESC_rep1_40	95.69
mESC_rep1_41	95.97
mESC_rep1_42	94.63
mESC_rep1_43	94.61
mESC_rep1_44	94.70
mESC_rep1_45	95.02
mESC_rep1_46	90.72
mESC_rep1_47	94.51
mESC_rep1_48	90.97
mESC_rep1_49	95.23
mESC_rep1_50	96.55
mESC_rep1_51	94.56
mESC_rep1_52	95.81
mESC_rep1_53	95.17
mESC_rep1_54	96.66
mESC_rep1_55	95.06
mESC_rep1_56	94.65
mESC_rep1_57	92.46
mESC_rep1_58	95.10
mESC_rep1_59	86.44
mESC_rep1_60	95.26
mESC_rep1_61	95.17
mESC_rep1_62	95.79
mESC_rep1_63	94.57
mESC_rep1_64	94.05
mESC_rep1_65	95.28
mESC_rep1_66	93.26
mESC_rep1_67	95.60
mESC_rep1_68	96.29
mESC_rep1_69	94.14
mESC_rep1_70	94.35
mESC_rep1_71	95.59
mESC_rep1_72	93.15
mESC_rep1_73	79.58
mESC_rep1_74	94.68
mESC_rep1_75	95.58
mESC_rep1_76	95.58
mESC_rep1_77	95.55
mESC_rep1_78	94.64
mESC_rep1_79	95.00
mESC_rep1_80	95.10
mESC_rep1_81	94.48
mESC_rep1_82	95.30
mESC_rep1_83	94.83
mESC_rep1_84	96.65
mESC_rep1_85	94.47
mESC_rep1_86	95.79
mESC_rep1_87	95.12
mESC_rep1_88	95.46
mESC_rep1_89	95.23
mESC_rep1_90	93.88
mESC_rep1_91	95.08
mESC_rep1_92	95.06
mESC_rep1_93	95.01
mESC_rep1_94	94.34
mESC_rep1_95	94.59
mESC_rep1_96	94.17
mESC_rep2_01	94.47
mESC_rep2_02	94.25
mESC_rep2_03	93.62
mESC_rep2_04	95.49
mESC_rep2_05	94.98
mESC_rep2_06	95.76
mESC_rep2_07	94.97
mESC_rep2_08	95.30
mESC_rep2_09	96.10
mESC_rep2_10	95.20
mESC_rep2_11	95.91
mESC_rep2_12	95.73
mESC_rep2_13	95.45
mESC_rep2_14	95.48
mESC_rep2_15	93.04
mESC_rep2_16	94.65
mESC_rep2_17	95.56
mESC_rep2_18	94.72
mESC_rep2_19	85.32
mESC_rep2_20	93.37
mESC_rep2_21	94.64
mESC_rep2_22	93.68
mESC_rep2_23	95.05
mESC_rep2_24	95.09
mESC_rep2_25	95.06
mESC_rep2_26	95.48
mESC_rep2_27	92.93
mESC_rep2_28	95.42
mESC_rep2_29	94.64
mESC_rep2_30	95.48
mESC_rep2_31	95.43
mESC_rep2_32	70.51
mESC_rep2_33	93.60
mESC_rep2_34	95.65
mESC_rep2_35	95.21
mESC_rep2_36	94.45
mESC_rep2_37	93.33
mESC_rep2_38	93.80
mESC_rep2_39	95.50
mESC_rep2_40	95.18
mESC_rep2_41	94.91
mESC_rep2_42	95.35
mESC_rep2_43	95.48
mESC_rep2_44	95.22
mESC_rep2_45	94.59
mESC_rep2_46	94.68
mESC_rep2_47	94.13
mESC_rep2_48	94.34
mESC_rep2_49	95.95
mESC_rep2_50	95.35
mESC_rep2_51	96.21
mESC_rep2_52	95.45
mESC_rep2_53	95.96
mESC_rep2_54	95.02
mESC_rep2_55	96.65
mESC_rep2_56	94.68
mESC_rep2_57	94.30
mESC_rep2_58	94.88
mESC_rep2_59	95.35
mESC_rep2_60	94.63
mESC_rep2_61	94.70
mESC_rep2_62	95.74
mESC_rep2_63	93.75
mESC_rep2_64	95.08
mESC_rep2_65	94.56
mESC_rep2_66	95.32
mESC_rep2_67	94.53
mESC_rep2_68	93.82
mESC_rep2_69	94.41
mESC_rep2_70	94.33
mESC_rep2_71	95.14
mESC_rep2_72	95.13
mESC_rep2_73	94.47
mESC_rep2_74	94.38
mESC_rep2_75	95.62
mESC_rep2_76	95.64
mESC_rep2_77	95.46
mESC_rep2_78	94.97
mESC_rep2_79	95.00
mESC_rep2_80	95.85
mESC_rep2_81	94.64
mESC_rep2_82	94.80
mESC_rep2_83	94.52
mESC_rep2_84	95.69
mESC_rep2_85	95.24
mESC_rep2_86	95.46
mESC_rep2_87	94.31
mESC_rep2_88	95.46
mESC_rep2_89	96.26
mESC_rep2_90	95.36
mESC_rep2_91	95.68
mESC_rep2_92	94.45
mESC_rep2_93	94.72
mESC_rep2_94	95.04
mESC_rep2_95	93.73
mESC_rep2_96	94.78
