cell	mt_content
plate_mESC_rep1_01	0.062435
plate_mESC_rep1_02	0.115418
plate_mESC_rep1_03	0.149547
plate_mESC_rep1_04	0.032094
plate_mESC_rep1_05	0.079447
plate_mESC_rep1_06	0.027379
plate_mESC_rep1_07	0.136541
plate_mESC_rep1_08	0.030559
plate_mESC_rep1_09	0.039240
plate_mESC_rep1_10	0.037373
plate_mESC_rep1_11	0.104825
plate_mESC_rep1_12	0.033221
plate_mESC_rep1_13	0.041876
plate_mESC_rep1_14	0.075622
plate_mESC_rep1_15	0.045868
plate_mESC_rep1_16	0.100450
plate_mESC_rep1_17	0.078092
plate_mESC_rep1_18	0.033054
plate_mESC_rep1_19	0.041985
plate_mESC_rep1_20	0.018998
plate_mESC_rep1_21	0.088764
plate_mESC_rep1_22	0.024459
plate_mESC_rep1_23	0.069295
plate_mESC_rep1_24	0.190746
plate_mESC_rep1_25	0.037092
plate_mESC_rep1_26	0.140776
plate_mESC_rep1_27	0.016263
plate_mESC_rep1_28	0.028790
plate_mESC_rep1_29	0.128244
plate_mESC_rep1_30	0.306063
plate_mESC_rep1_31	0.051249
plate_mESC_rep1_32	0.048188
plate_mESC_rep1_33	0.043433
plate_mESC_rep1_34	0.047541
plate_mESC_rep1_35	0.113618
plate_mESC_rep1_36	0.181968
plate_mESC_rep1_37	0.020905
plate_mESC_rep1_38	0.051105
plate_mESC_rep1_39	0.022428
plate_mESC_rep1_40	0.095171
plate_mESC_rep1_41	0.021832
plate_mESC_rep1_42	0.024028
plate_mESC_rep1_43	0.021664
plate_mESC_rep1_44	0.049814
plate_mESC_rep1_45	0.033000
plate_mESC_rep1_46	0.052145
plate_mESC_rep1_47	0.051119
plate_mESC_rep1_48	0.086958
plate_mESC_rep1_49	0.044115
plate_mESC_rep1_50	0.316383
plate_mESC_rep1_51	0.029676
plate_mESC_rep1_52	0.084359
plate_mESC_rep1_53	0.049433
plate_mESC_rep1_54	0.219409
plate_mESC_rep1_55	0.040616
plate_mESC_rep1_56	0.092897
plate_mESC_rep1_57	0.002002
plate_mESC_rep1_58	0.104011
plate_mESC_rep1_59	0.037097
plate_mESC_rep1_60	0.078054
plate_mESC_rep1_61	0.132791
plate_mESC_rep1_62	0.130280
plate_mESC_rep1_63	0.014438
plate_mESC_rep1_64	0.063875
plate_mESC_rep1_65	0.007662
plate_mESC_rep1_66	0.015603
plate_mESC_rep1_67	0.056504
plate_mESC_rep1_68	0.047558
plate_mESC_rep1_69	0.045778
plate_mESC_rep1_70	0.018281
plate_mESC_rep1_71	0.127322
plate_mESC_rep1_72	0.048762
plate_mESC_rep1_73	0.021206
plate_mESC_rep1_74	0.143328
plate_mESC_rep1_75	0.092923
plate_mESC_rep1_76	0.051047
plate_mESC_rep1_77	0.113099
plate_mESC_rep1_78	0.280273
plate_mESC_rep1_79	0.163887
plate_mESC_rep1_80	0.040169
plate_mESC_rep1_81	0.078986
plate_mESC_rep1_82	0.096840
plate_mESC_rep1_83	0.041728
plate_mESC_rep1_84	0.170236
plate_mESC_rep1_85	0.023628
plate_mESC_rep1_86	0.132293
plate_mESC_rep1_87	0.075880
plate_mESC_rep1_88	0.094953
plate_mESC_rep1_89	0.173526
plate_mESC_rep1_90	0.043773
plate_mESC_rep1_91	0.061632
plate_mESC_rep1_92	0.181096
plate_mESC_rep1_93	0.025933
plate_mESC_rep1_94	0.071072
plate_mESC_rep1_95	0.075837
plate_mESC_rep1_96	0.015741
plate_mESC_rep2_01	0.033825
plate_mESC_rep2_02	0.022382
plate_mESC_rep2_03	0.136076
plate_mESC_rep2_04	0.027148
plate_mESC_rep2_05	0.079666
plate_mESC_rep2_06	0.055019
plate_mESC_rep2_07	0.035934
plate_mESC_rep2_08	0.044963
plate_mESC_rep2_09	0.062097
plate_mESC_rep2_10	0.126216
plate_mESC_rep2_11	0.137558
plate_mESC_rep2_12	0.130019
plate_mESC_rep2_13	0.153913
plate_mESC_rep2_14	0.123726
