cell	sequencing_depth
mESC_rep1_01	478668
mESC_rep1_02	328337
mESC_rep1_03	409686
mESC_rep1_04	794899
mESC_rep1_05	871292
mESC_rep1_06	1661185
mESC_rep1_07	640023
mESC_rep1_08	1453278
mESC_rep1_09	1624692
mESC_rep1_10	570847
mESC_rep1_11	333922
mESC_rep1_12	861615
mESC_rep1_13	254991
mESC_rep1_14	490423
mESC_rep1_15	1272480
mESC_rep1_16	398207
mESC_rep1_17	638118
mESC_rep1_18	1864661
mESC_rep1_19	862611
mESC_rep1_20	637145
mESC_rep1_21	816841
mESC_rep1_22	2487791
mESC_rep1_23	1039256
mESC_rep1_24	383301
mESC_rep1_25	1533311
mESC_rep1_26	331628
mESC_rep1_27	1786018
mESC_rep1_28	1522779
mESC_rep1_29	636884
mESC_rep1_30	527441
mESC_rep1_31	349777
mESC_rep1_32	792988
mESC_rep1_33	901997
mESC_rep1_34	1114775
mESC_rep1_35	93245
mESC_rep1_36	241242
mESC_rep1_37	320807
mESC_rep1_38	970638
mESC_rep1_39	1679354
mESC_rep1_40	404130
mESC_rep1_41	1245300
mESC_rep1_42	831531
mESC_rep1_43	866082
mESC_rep1_44	494760
mESC_rep1_45	1823551
mESC_rep1_46	343208
mESC_rep1_47	1471048
mESC_rep1_48	1486013
mESC_rep1_49	859609
mESC_rep1_50	129389
mESC_rep1_51	1275842
mESC_rep1_52	1210860
mESC_rep1_53	1266263
mESC_rep1_54	152920
mESC_rep1_55	664789
mESC_rep1_56	389468
mESC_rep1_57	827018
mESC_rep1_58	456276
mESC_rep1_59	1375476
mESC_rep1_60	1232221
mESC_rep1_61	634145
mESC_rep1_62	244283
mESC_rep1_63	845199
mESC_rep1_64	499827
mESC_rep1_65	1397065
mESC_rep1_66	1211990
mESC_rep1_67	1328792
mESC_rep1_68	1223669
mESC_rep1_69	1390609
mESC_rep1_70	323375
mESC_rep1_71	80417
mESC_rep1_72	502720
mESC_rep1_73	1940006
mESC_rep1_74	354107
mESC_rep1_75	990581
mESC_rep1_76	1537387
mESC_rep1_77	187473
mESC_rep1_78	206054
mESC_rep1_79	422962
mESC_rep1_80	1042703
mESC_rep1_81	335387
mESC_rep1_82	845012
mESC_rep1_83	648182
mESC_rep1_84	875761
mESC_rep1_85	1542666
mESC_rep1_86	761993
mESC_rep1_87	1521011
mESC_rep1_88	730781
mESC_rep1_89	417933
mESC_rep1_90	562945
mESC_rep1_91	964470
mESC_rep1_92	508410
mESC_rep1_93	1645105
mESC_rep1_94	859497
mESC_rep1_95	1008872
mESC_rep1_96	1339469
mESC_rep2_01	1232482
mESC_rep2_02	564809
mESC_rep2_03	287047
mESC_rep2_04	1373917
mESC_rep2_05	474131
mESC_rep2_06	901860
mESC_rep2_07	727464
mESC_rep2_08	683810
mESC_rep2_09	1212647
mESC_rep2_10	619958
mESC_rep2_11	632598
mESC_rep2_12	791608
mESC_rep2_13	421054
mESC_rep2_14	900645
mESC_rep2_15	614569
mESC_rep2_16	1057668
mESC_rep2_17	783168
mESC_rep2_18	608033
mESC_rep2_19	1307626
mESC_rep2_20	980967
mESC_rep2_21	855046
mESC_rep2_22	944861
mESC_rep2_23	919471
mESC_rep2_24	1058908
mESC_rep2_25	298319
mESC_rep2_26	1185028
mESC_rep2_27	5488748
mESC_rep2_28	583136
mESC_rep2_29	2050841
mESC_rep2_30	1320291
mESC_rep2_31	474213
mESC_rep2_32	1334411
mESC_rep2_33	875829
mESC_rep2_34	1854197
mESC_rep2_35	1532659
mESC_rep2_36	1752296
mESC_rep2_37	758955
mESC_rep2_38	257963
mESC_rep2_39	224274
mESC_rep2_40	1109821
mESC_rep2_41	1084254
mESC_rep2_42	1433098
mESC_rep2_43	371331
mESC_rep2_44	222464
mESC_rep2_45	548324
mESC_rep2_46	698175
mESC_rep2_47	1413113
mESC_rep2_48	737343
mESC_rep2_49	122633
mESC_rep2_50	1660444
mESC_rep2_51	287945
mESC_rep2_52	775681
mESC_rep2_53	787151
mESC_rep2_54	1249706
mESC_rep2_55	589931
mESC_rep2_56	535260
mESC_rep2_57	1104367
mESC_rep2_58	744024
mESC_rep2_59	875607
mESC_rep2_60	1024658
mESC_rep2_61	1187358
mESC_rep2_62	510309
mESC_rep2_63	1019689
mESC_rep2_64	512412
mESC_rep2_65	612036
mESC_rep2_66	826933
mESC_rep2_67	1348044
mESC_rep2_68	687015
mESC_rep2_69	319804
mESC_rep2_70	1266716
mESC_rep2_71	868843
mESC_rep2_72	1726322
mESC_rep2_73	775359
mESC_rep2_74	1182559
mESC_rep2_75	1010320
mESC_rep2_76	881018
mESC_rep2_77	356446
mESC_rep2_78	707056
mESC_rep2_79	642220
mESC_rep2_80	929065
mESC_rep2_81	1852289
mESC_rep2_82	819682
mESC_rep2_83	739789
mESC_rep2_84	1058060
mESC_rep2_85	811765
mESC_rep2_86	829812
mESC_rep2_87	796342
mESC_rep2_88	384955
mESC_rep2_89	252090
mESC_rep2_90	714501
mESC_rep2_91	584340
mESC_rep2_92	1314152
mESC_rep2_93	1799700
mESC_rep2_94	1136892
mESC_rep2_95	648670
mESC_rep2_96	1849103
