cell	uniq_frags
plate_mESC_rep1_01	23501.000000
plate_mESC_rep1_02	15198.000000
plate_mESC_rep1_03	15383.000000
plate_mESC_rep1_04	42312.000000
plate_mESC_rep1_05	40427.000000
plate_mESC_rep1_06	82771.000000
plate_mESC_rep1_07	25036.000000
plate_mESC_rep1_08	72710.000000
plate_mESC_rep1_09	66425.000000
plate_mESC_rep1_10	25989.000000
plate_mESC_rep1_11	14936.000000
plate_mESC_rep1_12	37861.000000
plate_mESC_rep1_13	12218.000000
plate_mESC_rep1_14	22406.000000
plate_mESC_rep1_15	53377.000000
plate_mESC_rep1_16	17409.000000
plate_mESC_rep1_17	28463.000000
plate_mESC_rep1_18	94927.000000
plate_mESC_rep1_19	40890.000000
plate_mESC_rep1_20	37540.000000
plate_mESC_rep1_21	34637.000000
plate_mESC_rep1_22	110840.000000
plate_mESC_rep1_23	47371.000000
plate_mESC_rep1_24	12715.000000
plate_mESC_rep1_25	73336.000000
plate_mESC_rep1_26	15161.000000
plate_mESC_rep1_27	82569.000000
plate_mESC_rep1_28	74924.000000
plate_mESC_rep1_29	28081.000000
plate_mESC_rep1_30	16803.000000
plate_mESC_rep1_31	17087.000000
plate_mESC_rep1_32	39682.000000
plate_mESC_rep1_33	40568.000000
plate_mESC_rep1_34	51749.000000
plate_mESC_rep1_35	4322.000000
plate_mESC_rep1_36	9926.000000
plate_mESC_rep1_37	16814.000000
plate_mESC_rep1_38	53475.000000
plate_mESC_rep1_39	89701.000000
plate_mESC_rep1_40	19880.000000
plate_mESC_rep1_41	67342.000000
plate_mESC_rep1_42	53493.000000
plate_mESC_rep1_43	46469.000000
plate_mESC_rep1_44	27105.000000
plate_mESC_rep1_45	82108.000000
plate_mESC_rep1_46	14778.000000
plate_mESC_rep1_47	71371.000000
plate_mESC_rep1_48	50840.000000
plate_mESC_rep1_49	42751.000000
plate_mESC_rep1_50	4181.000000
plate_mESC_rep1_51	57875.000000
plate_mESC_rep1_52	53283.000000
plate_mESC_rep1_53	65265.000000
plate_mESC_rep1_54	5365.000000
plate_mESC_rep1_55	30235.000000
plate_mESC_rep1_56	18006.000000
plate_mESC_rep1_57	44363.000000
plate_mESC_rep1_58	18943.000000
plate_mESC_rep1_59	55313.000000
plate_mESC_rep1_60	50058.000000
plate_mESC_rep1_61	23569.000000
plate_mESC_rep1_62	11202.000000
plate_mESC_rep1_63	35973.000000
plate_mESC_rep1_64	23698.000000
plate_mESC_rep1_65	73307.000000
plate_mESC_rep1_66	58486.000000
plate_mESC_rep1_67	63970.000000
plate_mESC_rep1_68	58338.000000
plate_mESC_rep1_69	59553.000000
plate_mESC_rep1_70	14983.000000
plate_mESC_rep1_71	3571.000000
plate_mESC_rep1_72	21517.000000
plate_mESC_rep1_73	79483.000000
plate_mESC_rep1_74	15582.000000
plate_mESC_rep1_75	41770.000000
plate_mESC_rep1_76	81237.000000
plate_mESC_rep1_77	8673.000000
plate_mESC_rep1_78	7388.000000
plate_mESC_rep1_79	18249.000000
plate_mESC_rep1_80	58782.000000
plate_mESC_rep1_81	15077.000000
plate_mESC_rep1_82	36960.000000
plate_mESC_rep1_83	32036.000000
plate_mESC_rep1_84	30961.000000
plate_mESC_rep1_85	69586.000000
plate_mESC_rep1_86	30650.000000
plate_mESC_rep1_87	58592.000000
plate_mESC_rep1_88	32064.000000
plate_mESC_rep1_89	14479.000000
plate_mESC_rep1_90	23527.000000
plate_mESC_rep1_91	41032.000000
plate_mESC_rep1_92	18766.000000
plate_mESC_rep1_93	77112.000000
plate_mESC_rep1_94	33721.000000
plate_mESC_rep1_95	43541.000000
plate_mESC_rep1_96	59464.000000
plate_mESC_rep2_01	55700.000000
plate_mESC_rep2_02	31798.000000
plate_mESC_rep2_03	12304.000000
plate_mESC_rep2_04	61923.000000
plate_mESC_rep2_05	21268.000000
