peak	class_	weight	Chr	Start	End	Annotation	Distance to TSS	Gene Name	in_cell_type
spleen_uPk_102966	0	0.017903228708946308	chr6	125483405	125483926	intron (NM_007657, intron 1 of 7)	11090.0	Cd9	Granulocyte
spleen_uPk_30938	0	0.01601958897687827	chr13	13529031	13529798	Intergenic	-60995.0	Lyst	Granulocyte
spleen_uPk_4841	0	0.014703716756796388	chr1	128712570	128713353	Intergenic	-120662.0	Cxcr4	Granulocyte
spleen_uPk_23812	0	0.014417327527054005	chr11	114907583	114908075	Intergenic	17788.0	Cd300a	Granulocyte
spleen_uPk_2776	0	0.014354239623513312	chr1	74155372	74155946	intron (NM_009909, intron 1 of 1)	1665.0	Cxcr2	Granulocyte
spleen_uPk_111825	0	0.014145305284274044	chr7	141392865	141393215	intron (NM_011528, intron 1 of 7)	880.0	Taldo1	Granulocyte
spleen_uPk_19579	0	0.013802181084918338	chr11	60935264	60935917	intron (NM_008928, intron 1 of 11)	3533.0	Map2k3	Granulocyte
spleen_uPk_92598	0	0.013709185582514423	chr5	90742017	90742502	Intergenic	-17039.0	Cxcl5	Granulocyte
spleen_uPk_47047	0	0.013707517900275043	chr15	103257994	103258781	promoter-TSS (NM_001302341)	16.0	Nfe2	Granulocyte
spleen_uPk_99753	0	0.013677934338157506	chr6	67532256	67533473	Intergenic	2958.0	Tacstd2	Granulocyte
spleen_uPk_78508	0	0.013571134440779991	chr3	95293518	95294064	intron (NM_199475, intron 7 of 9)	10856.0	Fam63a	Granulocyte
spleen_uPk_2775	0	0.013539141292142329	chr1	74153818	74154098	promoter-TSS (NM_009909)	-36.0	Cxcr2	Granulocyte
spleen_uPk_94296	0	0.013208875384733585	chr5	115543339	115543777	intron (NM_133915, intron 1 of 11)	-15909.0	Rplp0	Granulocyte
spleen_uPk_73369	0	0.013091200001030456	chr2	156850470	156850966	intron (NM_173396, intron 2 of 2)	10711.0	Tgif2	Granulocyte
spleen_uPk_111826	0	0.013089993659875369	chr7	141394161	141394513	intron (NM_011528, intron 1 of 7)	2177.0	Taldo1	Granulocyte
spleen_uPk_27080	0	0.013032609932453535	chr12	70226809	70227953	promoter-TSS (NR_045174)	302.0	Pygl	Granulocyte
spleen_uPk_87886	0	0.012947065837232081	chr4	136178701	136178900	intron (NM_177733, intron 2 of 6)	-1982.0	E2f2	Granulocyte
spleen_uPk_88493	0	0.012824650278581854	chr4	143106566	143107176	TTS (NM_001081355)	29291.0	Mir7021	Granulocyte
spleen_uPk_102686	0	0.012806981037427268	chr6	122741982	122743164	5' UTR (NM_011401, exon 1 of 10)	172.0	Slc2a3	Granulocyte
spleen_uPk_3408	0	0.012790932040227871	chr1	86479058	86479538	Intergenic	-47438.0	Ptma	Granulocyte
spleen_uPk_99754	0	0.012772126851636308	chr6	67534896	67535444	exon (NM_020047, exon 1 of 1)	652.0	Tacstd2	Granulocyte
spleen_uPk_117283	0	0.012767281808241642	chr8	121570180	121570655	intron (NM_133765, intron 1 of 8)	8389.0	Fbxo31	Granulocyte
spleen_uPk_2778	0	0.012618508851576622	chr1	74166964	74167506	Intergenic	13241.0	Cxcr2	Granulocyte
spleen_uPk_111740	0	0.012550623929203133	chr7	140946929	140947564	3' UTR (NM_145387, exon 14 of 14)	2993.0	Ifitm5	Granulocyte
spleen_uPk_13884	0	0.012488944081187676	chr10	84516149	84516903	Intergenic	17362.0	Ckap4	Granulocyte
spleen_uPk_120110	0	0.012458568749201676	chr9	48744934	48745552	intron (NM_001033324, intron 2 of 6)	90702.0	Zbtb16	Granulocyte
spleen_uPk_77740	0	0.012451038772523772	chr3	84597923	84598422	Intergenic	4598.0	Tigd4	Granulocyte
spleen_uPk_96030	0	0.012436674994104384	chr5	139404990	139405430	intron (NM_028469, intron 2 of 4)	-1177.0	C130050O18Rik	Granulocyte
spleen_uPk_86725	0	0.012317323446283843	chr4	126004729	126005519	Intergenic	-19535.0	Csf3r	Granulocyte
spleen_uPk_105441	0	0.012273367526704547	chr7	24978755	24979162	exon (NM_001290469, exon 22 of 23)	-6230.0	Rabac1	Granulocyte
spleen_uPk_104591	0	0.012218737299773777	chr7	3249527	3250071	promoter-TSS (NM_001033431)	-59.0	Nlrp12	Granulocyte
spleen_uPk_36553	0	0.012216217346105977	chr13	117235460	117236126	intron (NM_010330, intron 2 of 8)	15220.0	Emb	Granulocyte
spleen_uPk_44851	0	0.012089463869154493	chr15	77855264	77855648	Intergenic	-13281.0	Myh9	Granulocyte
spleen_uPk_88757	0	0.01205519647503879	chr4	149161276	149161511	intron (NM_001081274, intron 4 of 12)	5314.0	Pgd	Granulocyte
spleen_uPk_67926	0	0.01203847895089094	chr2	45279180	45279893	Intergenic	-166257.0	Zeb2	Granulocyte
spleen_uPk_32430	0	0.011950198276688367	chr13	40916894	40917717	promoter-TSS (NM_133219)	-329.0	Gcnt2	Granulocyte
spleen_uPk_13095	0	0.011921062280717742	chr10	77550835	77551378	intron (NM_008404, intron 8 of 15)	20758.0	Itgb2	Granulocyte
spleen_uPk_84218	0	0.011903042435887717	chr4	59439936	59440338	Intergenic	-1504.0	Susd1	Granulocyte
spleen_uPk_44701	0	0.0118067632444973	chr15	76246493	76247417	intron (NM_023168, intron 1 of 6)	148.0	Grina	Granulocyte
spleen_uPk_90397	0	0.011800520123858635	chr5	31602173	31602923	Intergenic	-11403.0	Mrpl33	Granulocyte
spleen_uPk_120387	0	0.011777337001892095	chr9	54501472	54502236	promoter-TSS (NM_172771)	-228.0	Dmxl2	Granulocyte
spleen_uPk_12478	0	0.011726737377845398	chr10	67098443	67098793	Intergenic	-1630.0	Reep3	Granulocyte
spleen_uPk_2779	0	0.01168460281948361	chr1	74178520	74179110	Intergenic	15816.0	Cxcr1	Granulocyte
spleen_uPk_2814	0	0.011658874755309415	chr1	74374772	74375377	promoter-TSS (NM_013612)	-129.0	Slc11a1	Granulocyte
spleen_uPk_37533	0	0.011631577485227945	chr14	26515782	26516642	intron (NM_001310445, intron 1 of 22)	18412.0	Slmap	Granulocyte
spleen_uPk_86726	0	0.011622716499589411	chr4	126017643	126018288	Intergenic	-6694.0	Csf3r	Granulocyte
spleen_uPk_104437	0	0.011613408365144622	chr6	146776618	146777026	3' UTR (NM_172734, exon 14 of 14)	-28708.0	Arntl2	Granulocyte
spleen_uPk_20012	0	0.011612683099692553	chr11	68863505	68864247	Intergenic	-10745.0	Ndel1	Granulocyte
spleen_uPk_87276	0	0.011607647712293412	chr4	132588488	132588823	Intergenic	24588.0	Ptafr	Granulocyte
spleen_uPk_10255	0	0.011503248715611742	chr10	20104338	20105055	intron (NM_008580, intron 18 of 29)	-44224.0	Map7	Granulocyte
spleen_uPk_53380	0	0.011499108408807236	chr17	28736240	28736934	intron (NM_001168508, intron 8 of 11)	-32730.0	Mapk13	Granulocyte
spleen_uPk_27349	0	0.011484227480745969	chr12	73779213	73780206	Intergenic	-121615.0	Hif1a	Granulocyte
spleen_uPk_53092	0	0.011478504670056785	chr17	26532479	26533065	Intergenic	-24300.0	Dusp1	Granulocyte
spleen_uPk_44895	0	0.01145838292709225	chr15	78258187	78258675	intron (NM_008677, intron 7 of 9)	13620.0	Ncf4	Granulocyte
spleen_uPk_24664	0	0.011397728079355386	chr11	120938787	120939199	Intergenic	-6121.0	Ccdc57	Granulocyte
spleen_uPk_66393	0	0.01138718688789154	chr2	25422661	25423386	promoter-TSS (NM_001177367)	-219.0	Fut7	Granulocyte
spleen_uPk_13733	0	0.011369989998432762	chr10	82969561	82970012	Intergenic	-15711.0	Chst11	Granulocyte
spleen_uPk_8432	0	0.011365640775755779	chr1	181865669	181866163	Intergenic	-23515.0	Lbr	Granulocyte
spleen_uPk_100254	0	0.011346749117415355	chr6	82763792	82764594	intron (NM_013820, intron 1 of 17)	10261.0	Hk2	Granulocyte
spleen_uPk_102146	0	0.011340198280717204	chr6	115666610	115667043	intron (NM_029780, intron 1 of 16)	9809.0	Raf1	Granulocyte
spleen_uPk_59706	0	0.011334511800780265	chr18	60723111	60723594	Intergenic	-9963.0	Ndst1	Granulocyte
spleen_uPk_86274	0	0.011306194192436234	chr4	119125553	119126323	intron (NM_011400, intron 2 of 9)	17193.0	Slc2a1	Granulocyte
